subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
MAA,1,0,2.8333333333333335,3,4,3,2,3,2,20,1,1,0,4,1,3,3,2,1,1,1,3,2,1,2,1,3,1,2,4,2,3,1,2,1,2,1,1,3,2,3,2,1,1,3,2,1,1,1,2,2,NA,NA
MAB,1,0,3.1666666666666665,4,4,3,3,4,1,19,0,1,0,4,2,4,4,3,1,2,1,4,2,1,2,1,2,3,3,4,3,4,1,1,1,2,1,1,2,3,2,1,1,1,2,4,1,1,1,1,1,NA,NA
MAC,1,0,2.5,4,3,2,2,2,2,20,0,1,0,4,1,3,3,2,2,4,1,4,2,2,3,2,4,3,3,3,4,3,4,2,2,2,4,3,4,5,2,1,4,1,3,4,3,3,1,2,3,NA,NA
MBA,2,0,4.666666666666667,7,2,2,3,7,7,19,1,1,0,3,1,2,2,1,1,1,1,2,1,2,3,1,1,2,3,4,1,4,1,1,1,3,2,1,3,3,3,3,2,1,2,2,1,1,2,1,1,NA,NA
MBB,2,0,2.1666666666666665,1,2,3,3,1,3,19,0,1,0,4,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,NA,NA
MBC,2,0,6,7,7,7,7,7,1,20,0,1,0,4,1,3,1,2,1,1,1,4,3,1,2,1,2,1,3,4,1,4,1,1,1,4,1,1,5,4,3,3,2,1,3,4,1,1,2,1,1,NA,NA
MCA,3,0,1,1,1,1,1,1,1,19,0,2,0,4,1,4,4,3,1,1,1,4,3,1,4,1,4,3,3,4,3,4,1,1,1,3,1,1,3,2,3,1,1,1,2,3,1,1,1,1,1,NA,NA
MCB,3,0,3.5,7,7,1,1,1,4,23,1,2,0,3,1,2,4,2,1,1,1,3,2,1,1,3,2,1,4,3,1,4,1,2,1,2,2,1,4,2,2,1,1,3,1,3,1,1,2,2,3,NA,NA
MCC,3,0,4.5,5,6,4,3,7,2,20,1,2,0,4,2,4,3,4,3,2,2,3,1,1,4,1,1,3,4,4,3,4,1,1,1,3,2,1,3,1,1,2,3,1,1,2,1,1,1,2,3,NA,NA
MDA,4,0,5.833333333333333,7,6,5,7,5,5,20,0,1,0,3,1,2,1,3,1,1,1,2,1,1,3,1,4,1,2,4,1,3,1,1,1,3,3,1,3,3,1,1,1,1,3,1,1,1,1,1,1,NA,NA
