subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
AAA,1,0,3,3,4,4,3,2,2,19,0,3,1,1,1,3,1,1,1,4,4,1,2,1,4,1,3,1,1,4,1,3,3,2,4,1,5,4,3,1,2,1,5,3,2,2,1,1,1,5,1
AAB,1,0,4,5,7,3,4,3,2,19,0,4,1,3,1,2,1,1,1,4,2,1,1,1,4,3,1,4,2,4,1,1,1,3,2,1,3,2,2,1,1,1,1,2,1,1,1,3,2,5,4
AAC,1,0,3.1666666666666665,1,2,3,4,7,2,20,0,4,1,3,2,2,1,1,1,2,2,1,1,2,1,3,4,3,2,4,1,1,1,4,2,1,4,3,3,1,1,1,2,3,1,1,1,1,2,4,1
ABA,2,0,4.5,4,2,5,3,6,7,21,0,5,1,3,1,3,1,1,1,4,1,1,3,1,3,1,3,4,1,5,1,1,1,3,1,1,3,4,2,1,1,1,1,2,1,1,1,1,1,1,1
ABB,2,0,5.833333333333333,7,7,5,6,7,3,38,0,4,2,3,2,3,2,1,1,3,3,2,1,2,3,2,4,4,1,3,1,1,1,3,2,1,3,2,3,1,2,1,2,3,1,1,1,2,2,2,5
ABC,2,0,3.8333333333333335,7,6,7,1,1,1,22,0,4,2,3,1,3,1,1,1,3,4,1,1,1,3,2,4,4,1,4,1,1,1,3,1,1,3,3,2,1,1,1,2,2,1,1,1,1,1,6,3
ACA,3,0,4.833333333333333,7,7,7,1,4,3,24,0,4,1,3,2,2,1,1,1,3,2,1,3,1,2,2,3,4,3,4,1,1,1,2,2,1,4,4,3,1,1,1,3,3,1,1,1,2,2,2,1
ACB,3,0,3.1666666666666665,2,1,3,4,2,7,21,0,5,3,2,4,3,5,4,1,4,2,4,4,5,2,4,2,5,5,4,1,1,1,4,1,1,5,5,4,1,1,1,5,5,3,1,1,1,5,4,3
ACC,3,0,4.166666666666667,4,5,7,1,2,6,21,0,5,1,1,1,2,1,2,1,2,3,1,2,1,2,1,1,3,1,3,1,2,1,2,1,1,1,2,1,1,1,1,3,4,2,2,1,2,2,2,2
AČA,4,0,6,7,7,7,7,7,1,23,0,4,1,5,2,5,1,1,1,5,4,1,1,1,2,1,4,4,1,5,1,1,1,3,1,1,3,3,3,1,1,1,1,4,1,1,1,1,1,7,3
