highschoolGPA,pre_intervention_GPA,gradegoal,gradegoal_E2,motivation,motivation_E2,importance,importance_E2,confidence,confidence_E2,grade,exam_1,exam_2,group
3.2,2.389,2,NA,4,NA,7,NA,3.25,NA,39.1,68,0,0
NA,2.557,NA,6,NA,5.5,NA,7,NA,4,64.6,55,64,0
4.3,2.216,8,7,6.25,7,7,7,4,4,64.2,59,74,1
NA,3.3,NA,2,NA,5.5,NA,6.25,NA,4.75,85.6,86,85,1
3.8,2.863,6,9,4,2.5,4,2.5,5.5,2.5,55.8,58,48,0
NA,3.243,NA,1,NA,7,NA,7,NA,4.75,78.3,83,75,0
NA,NA,NA,3,NA,4,NA,5.5,NA,4.75,78.7,77,79,1
NA,3.29,NA,2,NA,6.25,NA,7,NA,4,82.4,80,87,0
3.86,2.928,2,2,7,6.25,7,6.25,6.25,6.25,81,78,84,0
NA,2.283,NA,3,NA,7,NA,7,NA,6.25,60.7,77,55,1
NA,NA,NA,7,NA,6.25,NA,7,NA,4,72.4,74,74,0
NA,3.237,NA,4,NA,4.75,NA,4.75,NA,4.75,82.1,79,80,1
3.67,3.284,2,2,6.25,4.75,7,6.25,4.75,4.75,97.6,99,98,1
3,2.152,4,6,4.75,5.5,4,7,4,4,65.6,58,64,0
NA,2.517,NA,1,NA,4,NA,3.25,NA,2.5,71.8,84,72,0
3.7,2.567,3,NA,5.5,NA,6.25,NA,4,NA,62.4,64,56,1
3.9,3.26,4,3,5.5,5.5,6.25,7,4,3.25,73.6,70,71,0
3.5,2.443,4,NA,4.75,NA,7,NA,4,NA,67.6,67,54,0
3.9,3.324,3,6,7,7,7,7,4,3.25,64.4,62,53,0
NA,2.012,NA,2,NA,1,NA,7,NA,4,79.9,79,80,1
NA,2.859,NA,4,NA,6.25,NA,6.25,NA,4.75,80,72,91,0
NA,2.036,NA,2,NA,7,NA,7,NA,5.5,75.8,87,72,1
3.8,3.666,2,2,6.25,6.25,7,6.25,4.75,1.75,87.6,69,99,0
4.6,2.726,5,5,3.25,4.75,1.75,5.5,4,5.5,85.9,79,86,0
3.7,2.631,1,2,6.25,6.25,6.25,6.25,6.25,3.25,72.4,68,65,0
3.4,3.112,5,3,7,7,7,7,5.5,4.75,75.2,67,79,1
NA,3.533,NA,1,NA,7,NA,7,NA,5.5,78.1,56,94,0
3.1,1.915,3,NA,4,NA,7,NA,1.75,NA,53.4,60,40,1
3.9,3.783,4,4,7,7,7,7,4,4,78.4,71,75,0
