model,term,estimate,std.error,conf.low,conf.high,statistic
lm1,(Intercept),3.7972575757575764,0.04398337310002464,3.710222417865124,3.8842927336500286,86.33393275959203
lm1,group,0.004837662337662433,0.06293802533634513,-0.11970533167351961,0.1293806563488445,0.07686390400413158
lm2,(Intercept),3.0815999999999995,0.05722314084834198,2.9685734723191493,3.1946265276808496,53.85233935633031
lm2,group,0.04398333333333351,0.07872825231976921,-0.11151985747663379,0.19948652414330081,0.5586728021687456
lm3,(Intercept),2.391304347826081,0.1453090994947787,2.103984150706208,2.6786245449459543,16.456673093015805
lm3,group,-0.2082057562767907,0.2040457976567416,-0.6116662347193215,0.19525472216574005,-1.0203873770879968
lm4,(Intercept),2.898734177215188,0.1705545251839977,2.561889635906438,3.235578718523938,16.99593824372572
lm4,group,-0.3377585674590898,0.23898423807039004,-0.8097515325592299,0.13423439764105044,-1.413308970441837
lm5,(Intercept),5.742647058823527,0.12830170117261872,5.488939270332556,5.996354847314499,44.75893153666995
lm5,group,0.12707125103562636,0.1795190910168847,-0.22791540274635189,0.4820579048176046,0.7078425493123438
lm6,(Intercept),5.980769230769229,0.12124191405764558,5.7413052874335335,6.220233174104925,49.32922147637506
lm6,group,0.022279549718574352,0.1693580517899026,-0.31221819582162413,0.3567772952587729,0.13155294054878053
lm7,(Intercept),5.874999999999997,0.14319404607133046,5.591843623881855,6.158156376118139,41.02824217337524
lm7,group,0.26936619718309895,0.20035638463725355,-0.12682477138382642,0.6655571657500243,1.3444353054722369
lm8,(Intercept),6.1153846153846105,0.1083982027228764,5.90128818449042,6.329481046278801,56.41592260545864
lm8,group,0.11632270168855646,0.1514171775772587,-0.1827401654167246,0.41538556879383753,0.7682265879589802
lm9,(Intercept),4.573529411764704,0.14303273015526435,4.290692026774033,4.856366796755375,31.97540455810403
lm9,group,0.2821043910521958,0.2001306722238243,-0.11364024674340922,0.6778490288478008,1.4096009767892692
lm10,(Intercept),4.63461538461539,0.1310738217547596,4.375732518327489,4.893498250903292,35.35881782166084
lm10,group,0.25257973733583466,0.18309185619165166,-0.10904353640643677,0.614203011078106,1.3795246964531642
t.test1,NA,-3.6369047619047734,NA,-6.997291700457749,-0.27651782335179864,-2.137200467968872
t.test2,NA,-2.944581280788171,NA,-6.4437661044203365,0.5546035428439944,-1.6613137908288274
t.test3,NA,-5.250821018062382,NA,-9.63205519242096,-0.8695868437038033,-2.3683506382663304
