"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
4.12,3.362,1,2,5.5,5.5,7,6.25,4.75,3.25,87.8,79,95,0
3,2.928,2,2,7,5.5,5.5,6.25,4,4.75,68.5,87,71,0
4.1,NA,NA,2,4.75,7,6.25,7,4.75,NA,80.2,58,95,0
3.5,2.56,8,3,NA,5.5,7,7,4,4.75,71.8,88,88,0
3.7,3.516,2,3,6.25,7,NA,7,4.75,4,75.3,49,88,1
3.2,3.36,4,6,NA,7,NA,7,4,NA,95.5,83,89,1
3,3.402,2,2,5.5,5.5,NA,4,4,5.5,86.4,79,91,1
3.7,3.432,1,2,4.75,7,NA,6.25,NA,4.75,79.5,84,99,0
3.65,2.584,NA,4,NA,6.25,7,7,4.75,5.5,75.9,77,81,0
3.89,3.112,NA,2,NA,7,NA,6.25,NA,NA,96.1,98,79,0
4.3,3.203,2,NA,6.25,5.5,4,7,4,NA,92.9,87,81,1
4.3,3.255,NA,2,6.25,6.25,7,7,4.75,2.5,86.4,87,87,0
NA,3.108,2,3,5.5,5.5,7,4.75,6.25,4.75,64.2,66,81,0
NA,2.283,5,1,6.25,7,NA,5.5,NA,4,80.3,85,87,0
3.99,3.33,NA,5,4.75,6.25,7,4,5.5,5.5,98.8,75,59,0
3.85,3.432,2,2,NA,NA,6.25,7,5.5,7,64.4,87,96,0
3.4,3.891,NA,1,7,5.5,5.5,6.25,4,5.5,92.6,78,81,0
NA,NA,NA,2,NA,5.5,2.5,6.25,4.75,1.75,29.3,70,97,1
4.1,2.631,3,1,NA,5.5,7,7,NA,5.5,74,91,86,1
NA,2.896,1,1,7,6.25,6.25,6.25,5.5,2.5,75.1,91,92,1
3.97,3.112,NA,3,6.25,6.25,5.5,6.25,6.25,4.75,88,60,91,0
4,2.56,NA,7,6.25,7,6.25,6.25,5.5,4,88.2,58,87,1
4,3.58,2,4,6.25,5.5,7,7,NA,3.25,91.2,88,87,1
3.2,2.61,6,2,6.25,5.5,7,6.25,3.25,4.75,82,86,89,1
3.9,3.362,4,3,NA,7,6.25,7,4,5.5,93.7,94,93,0
3.9,3.36,3,1,1,5.5,6.25,7,6.25,6.25,85.6,60,95,0
3.9,3.711,2,5,6.25,7,6.25,3.25,4,6.25,60.7,91,99,0
4.02,3.09,2,2,NA,6.25,7,7,5.5,4.75,74.7,58,71,0
3.5,2.674,5,2,5.5,7,4.75,7,5.5,4.75,93.5,86,80,0
3.98,3.666,NA,3,5.5,5.5,5.5,7,NA,6.25,93.5,71,84,1
NA,2.152,NA,2,7,7,6.25,7,NA,3.25,93.5,58,55,0
NA,2.765,2,1,NA,4,5.5,7,5.5,4,86.2,60,85,NA
3.8,3.368,NA,5,6.25,6.25,7,6.25,4,NA,80,78,94,0
3.9,3.783,2,3,6.25,6.25,7,6.25,5.5,4.75,82.7,90,76,0
3.8,3.668,1,2,NA,7,5.5,7,NA,4.75,87.9,79,88,1
4,3.408,2,2,6.25,7,4,7,NA,1,89.6,85,71,1
4.18,3.294,2,NA,6.25,6.25,7,7,6.25,5.5,82,81,90,1
NA,3.277,2,2,7,7,5.5,5.5,4,4.75,80.2,90,87,0
4.18,3.783,2,3,5.5,4,6.25,7,NA,3.25,60.7,72,89,0
4,3.112,3,3,4,7,7,7,NA,NA,85.4,69,88,0
4.2,3.533,1,5,NA,6.25,5.5,7,4,4,29.3,81,97,0
4.2,NA,5,6,6.25,4,7,5.5,5.5,3.25,80.9,81,76,1
3.8,NA,2,2,6.25,5.5,5.5,6.25,7,4.75,89,88,91,1
3.85,3.546,1,5,5.5,NA,NA,7,5.5,5.5,72.4,85,99,1
3.9,3.368,1,2,7,7,6.25,NA,4.75,4,90.5,91,71,1
NA,3.812,2,2,5.5,6.25,4.75,6.25,6.25,3.25,89.6,78,68,0
4.1,2.833,1,2,3.25,5.5,5.5,5.5,5.5,5.5,91.8,91,71,1
3.9,3.576,2,1,NA,NA,7,5.5,5.5,5.5,97.6,56,84,1
4.3,3.511,NA,1,3.25,NA,6.25,7,5.5,3.25,89,73,78,1
3.65,3.711,1,6,NA,5.5,7,4,4,NA,83.6,97,99,NA
3.5,3.205,2,2,4.75,4.75,7,6.25,5.5,4.75,84.1,99,87,0
NA,3.32,NA,2,NA,5.5,7,NA,3.25,5.5,63,87,56,0
3.78,2.541,1,3,7,5.5,NA,7,5.5,4,74.7,69,83,1
NA,2.488,1,4,5.5,5.5,5.5,7,NA,4,94.5,88,92,1
3.89,3.3,4,2,6.25,7,6.25,7,NA,4.75,78.3,94,97,NA
4.2,3.065,NA,2,NA,7,NA,7,3.25,6.25,55.8,72,93,0
3.7,3.916,2,3,5.5,6.25,NA,6.25,6.25,4.75,88.2,81,88,1
NA,3.768,5,6,6.25,NA,NA,6.25,4,5.5,69.9,91,90,0
4,2.631,2,3,7,6.25,NA,5.5,2.5,5.5,80,87,81,0
NA,3.048,2,2,6.25,7,7,NA,1.75,4,60.7,82,90,0
NA,2.302,1,7,6.25,6.25,5.5,7,4,NA,89.6,64,74,1
NA,2.666,2,1,NA,5.5,6.25,7,4.75,5.5,80.9,70,78,1
3.7,3.114,1,7,5.5,6.25,7,5.5,4.75,1.75,75.1,64,80,1
4.12,3.248,2,3,5.5,7,NA,5.5,4.75,1,90.5,83,53,0
3.7,3.816,1,2,NA,7,NA,7,3.25,5.5,91.3,87,69,0
3.5,3.812,3,3,5.5,NA,5.5,7,4.75,NA,72.6,60,98,1
4.2,3.368,2,1,4.75,6.25,7,6.25,4,4,71.8,70,79,1
NA,3.09,2,5,7,6.25,6.25,5.5,5.5,5.5,75.3,96,79,0
3.67,NA,1,6,NA,7,4,6.25,4,5.5,90.3,77,96,0
3.8,3.576,3,3,5.5,5.5,5.5,6.25,1.75,3.25,58.5,80,86,0
3.76,NA,2,NA,6.25,NA,NA,6.25,4,5.5,86,66,87,0
3.65,3.33,NA,2,NA,5.5,4.75,6.25,5.5,4,77.3,55,92,1
3.45,3.25,1,3,7,6.25,NA,6.25,4,3.25,77.3,87,98,0
NA,3.33,2,2,5.5,7,7,4.75,6.25,5.5,91.8,78,97,1
3.9,3.402,1,3,6.25,4,NA,7,4.75,7,95.9,94,81,0
1.8,2.833,2,3,5.5,4.75,NA,6.25,3.25,5.5,91.7,68,76,NA
3.7,3.576,1,3,5.5,5.5,NA,NA,3.25,4.75,71.8,74,96,1
NA,2.557,1,2,5.5,5.5,5.5,4,2.5,5.5,85.4,88,85,1
3.7,NA,1,7,6.25,5.5,5.5,5.5,3.25,2.5,91.3,58,48,0
NA,3.055,2,2,7,5.5,5.5,5.5,6.25,6.25,95.5,80,86,NA
4,2.934,2,4,7,7,NA,NA,5.5,4.75,97.6,80,87,1
3.9,2.726,2,3,NA,7,4,6.25,5.5,3.25,77.3,88,91,1
4.12,NA,NA,1,4,5.5,7,7,2.5,2.5,72.4,81,87,0
NA,3.055,2,3,NA,7,7,NA,5.5,2.5,83.7,69,66,1
3.6,3.511,1,2,5.5,7,7,6.25,1.75,5.5,90.5,78,92,1
4.25,2.49,2,4,7,7,6.25,7,6.25,NA,75.2,48,96,0
NA,3.065,2,2,NA,4.75,7,7,6.25,2.5,83.9,64,69,0
4.037,3.284,NA,3,7,6.25,5.5,NA,4.75,NA,72.6,74,53,1
3.7,3.816,2,3,5.5,7,NA,7,NA,5.5,94.6,91,80,0
4.4,3.408,1,2,5.5,6.25,6.25,6.25,NA,4.75,84.4,77,65,0
3.79,3.104,NA,2,6.25,7,6.25,NA,4,5.5,55.8,69,81,1
4.3,3.212,4,NA,7,NA,4,7,3.25,4,59.7,75,78,0
3.4,2.311,4,5,3.25,5.5,6.25,6.25,3.25,2.5,78.3,75,92,0
3.9,3.865,NA,3,6.25,6.25,NA,NA,NA,6.25,82,78,40,0
3.8,3.182,2,3,NA,7,6.25,6.25,NA,4,85.4,78,79,1
NA,NA,2,7,NA,7,6.25,6.25,5.5,4.75,75.2,79,87,1
3.9,3.216,1,2,6.25,4.75,NA,2.5,6.25,3.25,69.9,78,78,0
NA,2.965,5,4,6.25,5.5,6.25,6.25,4,4.75,96.1,82,99,0
4,3.022,1,3,7,5.5,6.25,NA,4,NA,86.2,68,84,1
3.93,2.948,NA,2,5.5,6.25,6.25,5.5,4.75,4,58.7,84,82,0
3.9,3.666,2,3,NA,6.25,6.25,6.25,NA,4.75,64.4,77,79,1
3.76,3.4,1,2,3.25,7,6.25,7,1.75,4.75,85.9,79,76,0
3.3,3.516,2,7,NA,3.25,7,6.25,NA,7,83.3,86,88,0
3.9,3.585,1,2,NA,5.5,7,6.25,5.5,4,90.3,83,88,1
NA,NA,3,NA,6.25,7,NA,NA,4.75,4.75,79.8,81,64,1
3.435,2.985,2,2,5.5,5.5,7,6.25,NA,4,86,87,94,0
3.7,3.182,2,NA,NA,5.5,5.5,7,NA,4.75,95.5,79,80,0
3.6,2.036,NA,5,NA,NA,6.25,5.5,3.25,4.75,84.1,93,79,1
4,2.938,NA,5,5.5,6.25,5.5,6.25,2.5,NA,91.7,88,84,0
4.3,NA,4,3,NA,7,6.25,7,6.25,5.5,71.8,82,74,0
4.6,3.546,2,3,5.5,7,5.5,6.25,4,4.75,93.5,96,87,1
4.17,NA,1,1,7,4,7,7,5.5,4,58.7,92,64,0
4,2.833,NA,3,7,6.25,6.25,5.5,3.25,NA,75.9,60,82,1
NA,3.362,1,NA,6.25,7,7,6.25,4,2.5,74,72,75,0
4.4,2.568,NA,NA,NA,7,7,6.25,4,4.75,94.6,85,86,1
3.7,3.585,3,3,7,5.5,7,4.75,4.75,4,86.2,80,81,1
3.8,3.511,NA,2,6.25,7,5.5,5.5,5.5,4,79.9,86,94,0
1.8,3.891,4,2,4,7,5.5,7,NA,7,77.6,75,79,0
NA,3.203,2,4,NA,5.5,NA,3.25,NA,4.75,95.5,81,66,1
4,3.484,NA,3,4,7,6.25,6.25,6.25,4,64.2,60,91,0
4.1,3.662,2,5,4,5.5,7,7,NA,6.25,93.5,38,94,1
3.8,NA,2,2,7,6.25,4.75,7,5.5,4,72.6,72,85,NA
4.1,2.859,2,5,7,6.25,5.5,3.25,NA,NA,72.6,86,94,0
3.7,2.49,1,NA,7,5.5,6.25,5.5,5.5,2.5,92.5,87,73,1
4.6,3.641,1,2,4,6.25,3.25,6.25,4.75,4.75,55.8,71,94,0
3.5,NA,2,2,7,5.5,NA,7,6.25,6.25,82.1,79,91,0
NA,3.1,4,1,NA,5.5,6.25,NA,NA,2.5,85,69,87,1
3.2,NA,4,4,NA,6.25,7,7,4.75,NA,93.6,71,85,1
3.957,NA,NA,3,6.25,7,7,7,NA,4,79.8,91,88,0
3.97,2.95,2,5,5.5,6.25,6.25,7,6.25,4,89.3,80,91,1
4.32,2.965,2,NA,NA,7,5.5,7,NA,4,81.7,81,64,1
3.7,3.108,4,2,4,5.5,4.75,6.25,4.75,4,92.2,80,66,1
3.435,3.065,1,2,NA,7,7,5.5,5.5,NA,85.6,60,88,1
NA,3.022,2,2,5.5,5.5,NA,6.25,4.75,4.75,85.7,78,54,0
3.994,2.783,NA,1,NA,5.5,6.25,6.25,5.5,5.5,83.6,72,87,1
3.9,3.14,1,NA,4,6.25,6.25,5.5,4,4.75,91.2,58,88,1
4.32,3.816,NA,4,5.5,5.5,5.5,7,4,NA,78.4,93,59,NA
NA,2.69,1,4,7,4.75,NA,7,NA,6.25,55.8,88,94,1
3.7,3.816,1,1,3.25,NA,7,6.25,4,4.75,76.5,86,74,0
3.2,2.783,1,2,5.5,5.5,4,6.25,4,4.75,75.2,97,84,1
3.7,3.112,3,2,6.25,4,NA,4,6.25,4,53.4,78,91,1
4,2.934,2,1,6.25,7,7,7,NA,2.5,81.8,85,73,0
4,3.205,1,2,7,6.25,7,5.5,3.25,5.5,78.9,88,94,0
3.7,3.205,NA,3,7,5.5,6.25,7,5.5,4.75,78.9,94,94,1
3.8,3.641,1,4,NA,7,7,7,NA,5.5,96.4,80,81,1
3.435,3.107,NA,5,6.25,7,7,5.5,4,5.5,85.6,60,53,1
NA,3.048,2,NA,NA,6.25,3.25,4.75,4,3.25,75.8,90,96,1
NA,2.576,NA,4,NA,6.25,7,7,2.5,4,90,77,81,1
4.1,3.277,5,2,NA,4,5.5,7,4,4.75,78.3,85,88,1
NA,3.022,2,2,NA,6.25,NA,6.25,4,NA,94.5,83,54,1
3.97,3.408,2,2,4.75,6.25,6.25,6.25,4,2.5,79.5,99,84,1
3.45,3.68,1,2,6.25,6.25,5.5,5.5,4,6.25,85.5,86,78,0
NA,NA,4,3,7,5.5,6.25,NA,7,4,87.9,82,96,0
NA,3.294,1,2,7,4.75,6.25,7,5.5,4,86,60,77,0
3.05,3.132,2,2,5.5,2.5,6.25,6.25,4,4,69.9,94,84,0
NA,3.055,2,2,NA,7,7,7,1.75,4,77.5,74,84,1
NA,4,2,2,NA,NA,5.5,7,4.75,3.25,83.9,80,81,1
3.4,2.934,2,3,6.25,6.25,6.25,7,5.5,4.75,83.3,63,79,1
NA,NA,2,2,6.25,5.5,5.5,7,4,4.75,90.3,83,93,1
NA,3.851,2,2,6.25,5.5,7,6.25,NA,4,63,84,29,0
3.8,3.108,3,6,5.5,7,6.25,7,4,4.75,64.6,76,81,1
NA,2.036,1,1,NA,4.75,7,6.25,NA,5.5,89.4,74,59,1
3.4,3.641,2,1,7,5.5,7,7,6.25,6.25,64.4,77,87,0
3.98,2.567,3,3,6.25,NA,5.5,6.25,3.25,4,87.8,81,80,0
