model,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
mixed1,fixed,NA,(Intercept),88.40924960934039,1.74506237659695,50.66251544643777,84.9889902004345,91.82950901824628
mixed1,fixed,NA,repetition_centered,-2.4597554013203977,0.4824346811437822,-5.098628886896516,-3.405310001255275,-1.5142008013855202
mixed1,fixed,NA,conditionVaried,0.05350337877748772,2.0943609837422072,0.025546397776131123,-4.051368719983115,4.15837547753809
mixed1,fixed,NA,repetition_centered:conditionVaried,-1.338248721415485,0.3286367186558838,-4.072121724221474,-1.9823648539784395,-0.6941325888525305
mixed1,ran_pars,sub_num,sd__(Intercept),11.04654724168769,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).repetition,-0.24284115834783762,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.7037786703740824,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__repetition,0.2319853453200553,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__repetition.conditionVaried,0.295957502290282,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__conditionVaried,13.081946325000867,NA,NA,NA,NA
mixed1,ran_pars,Residual,sd__Observation,6.56118231105855,NA,NA,NA,NA
quadrartic1,fixed,NA,(Intercept),86.57657845240475,1.7803908100630859,48.62785067360408,83.087076586275,90.06608031853449
quadrartic1,fixed,NA,repetition_centered,-2.4540131232701703,0.47783608555605456,-5.13567978109994,-3.3905546414736367,-1.5174716050667036
quadrartic1,fixed,NA,I(repetition_centered^2),1.8341868013663891,0.27292234503842816,6.720544633705719,1.299268834514856,2.3691047682179223
quadrartic1,fixed,NA,conditionVaried,-0.5867196339304489,2.1250349835645084,-0.2760988117693443,-4.7517116676045505,3.5782723997436525
quadrartic1,fixed,NA,repetition_centered:conditionVaried,-1.3387481462005686,0.3110896433284538,-4.303415992499292,-1.948472643087749,-0.7290236493133881
quadrartic1,fixed,NA,I(repetition_centered^2):conditionVaried,0.6391520968767715,0.3490674578377601,1.831027449066413,-0.045007548660191965,1.323311742413735
quadrartic1,ran_pars,sub_num,sd__(Intercept),11.064968719858522,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.5753774062200522,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).repetition_centered,0.19483870136298537,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).I(repetition_centered^2),-0.18356475677620857,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__conditionVaried,13.110967804410883,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.repetition_centered,0.2940251099326438,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.I(repetition_centered^2),0.04088218249546612,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__repetition_centered,2.6832943027713916,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__repetition_centered.I(repetition_centered^2),0.004887768412291724,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__I(repetition_centered^2),0.7403948526594446,NA,NA,NA,NA
quadrartic1,ran_pars,Residual,sd__Observation,6.21056877175122,NA,NA,NA,NA
