"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
239,5,"Fixed",1,34,20.34848785,19.00402959,102.7114495,107.4699378
159,4,"Fixed",2,28,40.37129974,42.546267,109.9062723,96.14932909
1492,73,"Fixed",2,34,30.09371567,39.28418,78.66351427,82.16986079
469,14,"Fixed",1,4,42.497352,47.249716,89.32153656,84.39983331
1004,60,"Fixed",2,40,21.959574,32.72626368,66.66221222,82.52759993
806,51,"Fixed",1,10,21.5885601,25.687984,86.88511063,90.43184777
1177,62,"Fixed",2,20,33.53210068,43.83264796,72.23581422,82.16986079
1406,71,"Varied",2,24,42.601704,49.0100619,83.79531186,84.11297112
1259,61,"Varied",1,14,40.560318,45.949543,91.72313626,87.90751323
1134,61,"Varied",1,4,21.97686768,30.51542346,78.36980539,77.67528697
931,54,"Fixed",1,22,15.05625153,26.45282428,61.59069022,73.72932027
952,53,"Fixed",1,18,15.548448,25.687984,74.03075754,77.67528697
1458,70,"Fixed",1,36,19.92260361,31.658875,71.16673923,88.70503597
111,6,"Fixed",2,16,24.2941761,26.45282428,84.64476924,79.11590964
285,7,"Varied",1,36,41.97462463,47.93909073,87.58641443,92.49493881
484,8,"Fixed",2,4,46.74703217,50.72195053,90.15033559,86.5506652
1523,72,"Fixed",2,2,46.201848,46.85350291,99.57125011,92.86918546
17,4,"Varied",2,28,24.092268,32.72626368,78.16172788,84.2228902
2,3,"Fixed",2,38,38.37340164,46.85350291,76.94704036,77.44301849
1317,70,"Fixed",1,16,16.29006386,16.48212814,92.85063122,96.14932909
1273,64,"Fixed",1,30,50.030262,56.34573237,83.44501782,77.67528697
1129,59,"Fixed",2,24,32.394774,47.52990723,64.97562136,68.79695221
794,56,"Varied",2,36,29.14800262,32.53608386,90.69190427,91.57949605
478,8,"Fixed",2,38,27.58851433,40.44618225,57.7976358,73.72932027
1335,63,"Fixed",1,28,20.172546,41.76377106,35.69098712,57.52282114
656,50,"Fixed",1,20,25.8536644,18.10942014,127.0902225,123.3584165
966,58,"Varied",2,16,22.181322,27.21630605,89.25569092,89.43758732
164,6,"Fixed",2,32,28.93506,24.42152468,103.8928426,103.7139783
644,18,"Varied",1,20,35.21685028,34.23146947,105.6448883,91.81754314
220,4,"Varied",1,6,24.346626,24.42152468,91.64717002,90.3243744
464,16,"Varied",2,30,29.37347031,34.047014,81.75556342,84.40930178
889,52,"Fixed",1,16,36.484068,30.09789022,122.2849333,111.9233709
64,5,"Varied",2,34,14.51763439,16.11586253,88.18291899,92.86918546
1424,70,"Fixed",2,36,27.138042,25.67621231,105.4536782,91.57949605
525,18,"Varied",1,34,16.060425,20.70965322,79.37108802,76.38180235
877,50,"Fixed",2,22,30.790362,29.89121183,89.99140619,90.3256497
340,6,"Varied",1,20,24.51964569,20.70965322,116.5605117,95.64948962
1532,73,"Varied",1,10,43.899582,51.65722275,82.99409309,78.87477314
743,25,"Varied",1,18,24.56974983,24.83142853,94.2442663,92.86918546
590,15,"Varied",1,16,27.483708,30.86615181,91.74796245,81.37311272
359,8,"Fixed",2,30,19.784487,26.796724,77.89473684,85.25848274
1418,70,"Varied",2,2,20.42364311,29.89121183,69.95260634,77.44301849
374,10,"Varied",1,6,32.205636,26.94890404,122.5913108,111.9233709
1082,59,"Varied",1,16,33.829614,46.85350291,65.45916213,72.82909433
1203,62,"Varied",2,8,29.81188011,32.37629445,86.28293169,90.3243744
489,11,"Varied",1,26,23.02266,25.49014918,92.8779834,86.71502142
1095,60,"Varied",2,20,23.713992,24.42152468,98.38065916,94.91029113
264,8,"Fixed",2,4,39.97986,39.69615173,102.5689804,90.91947836
1231,71,"Varied",2,38,26.061912,31.658875,82.92553783,88.70503597
233,6,"Fixed",2,14,21.61987686,16.55519708,113.1222298,121.5746213
325,8,"Fixed",1,24,26.16055107,27.14801725,89.42400473,90.3243744
209,5,"Varied",1,4,28.0394516,25.687984,109.9824763,102.7201656
1557,72,"Varied",2,38,15.51345062,18.10942014,84.06923535,95.91078598
1219,64,"Varied",2,30,25.585806,32.46112824,84.81466183,85.12907862
735,21,"Varied",1,36,21.809568,19.00402959,109.6988461,121.5746213
31,6,"Fixed",1,32,33.03732681,41.76377106,75.93140304,84.39983331
582,8,"Varied",1,30,29.57388687,34.73617172,86.4133706,88.60757697
1473,71,"Fixed",2,40,26.47370148,45.8714002,35.69098712,57.52282114
947,55,"Varied",1,4,24.03113174,32.53608386,85.2613779,81.37311272
894,53,"Varied",2,28,16.99151993,24.59480095,75.69556301,88.60757697
571,19,"Fixed",1,14,14.061432,16.48212814,89.54152578,91.81754314
242,10,"Fixed",2,34,18.112596,17.988763,96.70288213,121.5746213
1507,72,"Varied",1,10,16.95394135,17.96811,87.32622882,83.35488399
316,7,"Varied",1,32,13.911426,17.988763,82.07185712,90.96024107
124,4,"Varied",2,30,43.271067,41.76377106,99.32901971,103.7139783
110,3,"Fixed",1,6,25.8536644,27.14801725,92.11775016,79.79075041
1348,65,"Fixed",1,12,17.29214287,24.59480095,74.2491653,76.38180235
1009,55,"Varied",1,14,37.12393188,46.85350291,81.95564871,83.60241488
209,6,"Fixed",1,18,19.53429794,24.59480095,85.2613779,90.78519349
1195,62,"Varied",1,24,29.37508774,32.72626368,85.30413178,87.99787063
989,57,"Varied",2,28,49.821558,54.94458962,95.49991286,93.4340905
1409,71,"Varied",2,22,40.651626,51.65722275,69.18861498,84.11297112
434,15,"Varied",2,20,38.62392044,43.83264796,89.44782428,87.90751323
338,6,"Fixed",1,6,16.99151993,20.70965322,88.4439433,101.029673
103,4,"Fixed",1,26,36.23771667,40.65104548,86.47501789,82.52759993
900,51,"Fixed",1,12,34.30558395,30.09789022,109.1962765,97.06399015
383,11,"Fixed",2,36,30.2252388,27.04780897,109.2316918,121.5746213
49,4,"Varied",2,32,30.366432,42.546267,66.91651625,75.75244635
1392,65,"Varied",2,16,37.188444,41.76377106,85.5296283,81.95116885
985,62,"Varied",1,36,28.60938454,35.46110534,80.96780068,82.52759993
252,6,"Varied",2,22,26.79311371,24.42152468,99.74321915,90.91947836
665,14,"Fixed",2,8,49.270449,47.52990723,111.765993,104.1968779
1023,61,"Varied",2,20,36.07487869,43.83264796,84.48693115,83.35488399
973,58,"Fixed",1,40,24.97926,18.38116964,109.9824763,103.7139783
502,14,"Varied",1,24,27.25031281,32.46112824,82.6463607,84.71422112
280,6,"Varied",2,8,35.83839,41.76377106,88.16367647,80.97062644
1440,70,"Varied",2,26,46.032276,51.65722275,89.65135584,89.43758732
539,10,"Fixed",1,38,36.72623062,43.96104177,86.6609836,84.52606078
871,55,"Fixed",2,14,29.6751,24.83142853,110.9167158,111.9233709
1591,73,"Varied",2,16,26.39228249,34.23146947,91.34597938,87.90751323
226,6,"Fixed",2,16,23.12049,24.42152468,85.91595002,90.78519349
1542,72,"Varied",2,32,41.53621674,46.85350291,87.51803991,84.2228902
1073,61,"Fixed",2,32,32.107806,42.546267,80.06230515,77.67528697
586,14,"Fixed",1,36,47.37959671,53.64562352,83.52351155,80.97062644
1090,56,"Fixed",1,24,21.50087929,34.23146947,71.41601882,84.71422112
266,7,"Fixed",1,26,19.477953,24.42152468,82.65144186,81.95116885
16,3,"Fixed",1,18,22.363938,24.59480095,88.18291899,89.43758732
1316,63,"Fixed",2,4,37.905864,34.23146947,115.554144,103.7139783
265,7,"Fixed",1,38,23.387892,26.76806195,88.22058802,94.91029113
1568,73,"Fixed",2,14,20.661637,17.988763,93.80171994,94.85076976
1085,58,"Varied",1,26,18.55726814,20.70965322,87.18483375,92.86918546
562,14,"Varied",1,8,14.596236,14.14185397,91.90159381,91.70225833
851,50,"Varied",1,40,17.04788589,18.10942014,88.61687851,111.9233709
687,24,"Fixed",1,18,35.4203949,47.93909073,76.62832488,75.75244635
686,15,"Varied",2,16,22.298718,18.38116964,106.3808242,103.7139783
546,12,"Varied",1,6,26.994558,20.5638663,135.6642216,123.3584165
556,19,"Fixed",2,26,23.92269516,39.28418,58.4296219,74.10977839
837,50,"Varied",2,34,25.72840309,27.21630605,97.92439898,93.06941355
1205,65,"Varied",2,16,29.241947,39.69615173,72.17618302,80.57963778
643,21,"Varied",2,8,50.388972,56.34573237,85.81659547,72.82909433
1132,60,"Varied",2,6,26.061912,35.46110534,75.76755582,80.37301348
93,6,"Varied",2,26,22.55932617,22.89335251,94.23862661,89.43758732
1145,62,"Varied",2,2,58.789308,56.34573237,122.2849333,106.2033918
1476,70,"Fixed",1,12,23.02266,24.59480095,89.75607286,85.12907862
1508,72,"Fixed",1,22,27.58851433,26.94890404,97.20256176,90.96024107
1291,64,"Varied",1,4,40.684448,32.37629445,135.4269154,123.3584165
979,54,"Fixed",1,18,33.03732681,32.72626368,100.3721481,95.91078598
163,4,"Varied",1,34,27.275004,32.46112824,88.4219964,80.37301348
369,10,"Fixed",2,18,34.7753067,40.44618225,84.15929635,90.43184777
933,53,"Fixed",2,20,20.433426,32.53608386,61.18834365,68.79695221
484,16,"Varied",2,30,16.48421669,24.42152468,77.52028058,84.11297112
340,9,"Fixed",1,34,43.09570313,50.72195053,82.12376051,83.35488399
611,21,"Varied",2,24,44.96919,47.52990723,93.92750835,91.81754314
1258,65,"Varied",1,40,15.7890234,24.42152468,76.0584673,90.43184777
258,6,"Fixed",1,28,24.43196297,25.67621231,100.7730712,96.14932909
1573,73,"Varied",1,14,50.74116,53.64562352,97.06070643,82.16986079
256,6,"Fixed",1,18,37.181922,42.546267,86.92709874,88.54136496
400,10,"Varied",1,40,21.030189,26.76806195,77.09648152,89.43758732
1072,57,"Varied",1,22,23.16683769,31.658875,77.00372118,83.60241488
767,24,"Varied",2,26,18.56979561,20.5638663,94.20497228,89.43758732
971,59,"Varied",1,14,13.57192135,24.42152468,63.97285153,79.95284326
582,12,"Fixed",1,34,24.40064812,29.89121183,81.23411978,84.96332945
1005,59,"Fixed",2,30,25.10836792,29.89121183,86.88511063,87.99787063
1561,73,"Varied",1,16,23.64225006,29.89121183,78.20147932,82.52759993
