model,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
mixed1,fixed,NA,(Intercept),93.01115187009732,0.6195920398667603,150.1167637500618,91.79677378685076,94.22552995334388
mixed1,fixed,NA,repetition_centered,-0.15132821362587076,0.6097360877656219,-0.24818641484779594,-1.3463889857208429,1.0437325584691015
mixed1,fixed,NA,conditionVaried,-1.344819465346208,0.8816932482186389,-1.5252690979127526,-3.072906477266874,0.38326754657445816
mixed1,fixed,NA,repetition_centered:conditionVaried,-0.3128515132939068,0.833821722374028,-0.3752019225442664,-1.9471120586741568,1.3214090320863434
mixed1,ran_pars,sub_num,sd__(Intercept),2.971534631384063,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).repetition,-0.9999722590262036,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.9998805671513598,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__repetition,0.08491707123647595,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__repetition.conditionVaried,0.9997383802599591,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__conditionVaried,1.7048957670377671,NA,NA,NA,NA
mixed1,ran_pars,Residual,sd__Observation,15.393372097817604,NA,NA,NA,NA
quadrartic1,fixed,NA,(Intercept),93.45126997533171,0.9082494287644661,102.89163638941983,91.67113380597428,95.23140614468915
quadrartic1,fixed,NA,repetition_centered,-0.14622322308669058,0.6081640755855684,-0.24043383842740157,-1.3382029079254996,1.0457564617521182
quadrartic1,fixed,NA,I(repetition_centered^2),-0.440467260569064,0.6572861371532746,-0.670130154390203,-1.7287244169269362,0.8477898957888081
quadrartic1,fixed,NA,conditionVaried,-1.5991291281269608,1.2870970463450535,-1.2424308894717606,-4.1217929835711455,0.9235347273172241
quadrartic1,fixed,NA,repetition_centered:conditionVaried,-0.3176814742052152,0.8345437168114898,-0.3806648684852233,-1.9533571026799288,1.3179941542694984
quadrartic1,fixed,NA,I(repetition_centered^2):conditionVaried,0.2556885616858227,0.9387568700167281,0.2723693107899881,-1.584241093786513,2.0956182171581585
quadrartic1,ran_pars,sub_num,sd__(Intercept),1.36166327527621,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-1,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).repetition_centered,-0.9926739031032531,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).I(repetition_centered^2),-0.9844737583116132,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__conditionVaried,1.7584715829833646,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.repetition_centered,0.9926739031032531,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.I(repetition_centered^2),0.9844737583116132,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__repetition_centered,0.9488462924366782,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__repetition_centered.I(repetition_centered^2),0.9560531090931788,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__I(repetition_centered^2),0.1508738495703638,NA,NA,NA,NA
quadrartic1,ran_pars,Residual,sd__Observation,15.401425716253081,NA,NA,NA,NA
