model,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
mixed1,fixed,NA,(Intercept),92.06595371448746,2.1625845501127934,42.57218692775994,87.82736588274363,96.30454154623129
mixed1,fixed,NA,repetition_centered,-1.9119285006826907,0.5438006663842136,-3.5158627395499518,-2.9777582215646303,-0.8460987798007509
mixed1,fixed,NA,conditionVaried,0.7011633953031347,2.4153016766303015,0.2903005459265693,-4.032740902691463,5.435067693297732
mixed1,fixed,NA,repetition_centered:conditionVaried,-1.6209735383764852,0.41137555421644206,-3.9403740007448826,-2.4272548087609156,-0.8146922679920545
mixed1,ran_pars,sub_num,sd__(Intercept),10.587929759711367,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).repetition,0.23044470511941767,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.36795258799989666,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__repetition,0.23418988386989595,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__repetition.conditionVaried,-0.07526616885019274,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__conditionVaried,13.904931835083795,NA,NA,NA,NA
mixed1,ran_pars,Residual,sd__Observation,7.277743903262858,NA,NA,NA,NA
quadrartic1,fixed,NA,(Intercept),91.15584999941844,2.428865944709306,37.530210425148944,86.39536022451234,95.91633977432453
quadrartic1,fixed,NA,repetition_centered,-1.9816052256763923,0.5133018999083472,-3.8605063141792746,-2.9876584626927363,-0.9755519886600483
quadrartic1,fixed,NA,I(repetition_centered^2),0.9670249507474973,0.4559250322152834,2.121017453349386,0.0734283079552781,1.8606215935397166
quadrartic1,fixed,NA,conditionVaried,-0.23534855707725044,2.4521177392497386,-0.09597767403667117,-5.041411011858516,4.570713897704016
quadrartic1,fixed,NA,repetition_centered:conditionVaried,-1.6717572089520205,0.3980117933425488,-4.200270536991909,-2.451845989325615,-0.8916684285784261
quadrartic1,fixed,NA,I(repetition_centered^2):conditionVaried,0.7564818785423978,0.4565550251227167,1.6569347327609947,-0.1383495276589063,1.651313284743702
quadrartic1,ran_pars,sub_num,sd__(Intercept),14.17344704838091,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.37001294249926375,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).repetition_centered,0.4227988133837294,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).I(repetition_centered^2),-0.8215493965181415,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__conditionVaried,13.906246639601328,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.repetition_centered,0.0026489220543277027,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.I(repetition_centered^2),0.4651885838031648,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__repetition_centered,2.550805267795571,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__repetition_centered.I(repetition_centered^2),-0.02615869364079805,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__I(repetition_centered^2),1.9808632932301233,NA,NA,NA,NA
quadrartic1,ran_pars,Residual,sd__Observation,6.980808765550338,NA,NA,NA,NA
