"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
415,11,"Varied",2,30,19.01446724,19.97270711,95.20225342,91.0912509
463,13,"Fixed",1,6,33.45068359,36.11454646,92.6238507,91.08387589
179,5,"Varied",2,38,20.68668938,25.20231183,82.08250701,87.13966255
526,14,"Varied",1,12,28.04571342,23.41526922,119.7753191,117.814729
195,6,"Fixed",2,30,35.40160751,41.45375315,85.40024683,84.58665869
938,24,"Varied",1,36,24.55943318,26.4955833,92.69255518,90.69123437
1142,31,"Fixed",1,4,24.70854336,31.06081751,79.54891513,88.33495655
1323,35,"Varied",2,8,22.94763184,23.75802647,96.58896484,91.72171235
1253,33,"Varied",2,26,12.22360564,12.32267157,99.19606773,108.4290967
1268,34,"Fixed",2,16,18.99389193,20.34860547,93.34247478,92.10375233
1038,28,"Fixed",2,36,18.06423121,22.87206536,78.97944905,79.79069751
665,18,"Fixed",2,10,21.0248909,22.56558927,93.17235481,96.81931641
602,16,"Varied",1,4,24.77016449,27.54258664,89.93405307,76.7850369
709,19,"Fixed",1,18,14.17943192,16.06668282,88.25363691,96.20387035
1011,26,"Varied",1,22,22.73034674,24.11460821,94.25965599,95.43537165
1115,30,"Fixed",2,30,20.39365649,20.85569392,97.78459813,95.98112632
953,25,"Fixed",1,26,15.73074712,17.0823675,92.08762851,94.98132155
348,10,"Fixed",2,16,27.10626411,31.0102005,87.41079928,88.421638
1017,26,"Varied",1,34,24.04991913,24.11460821,99.73174316,95.43537165
1379,36,"Varied",1,40,21.62868166,19.42486305,111.3453495,89.62137362
840,22,"Fixed",2,40,19.6094532,19.92260297,98.42816839,100.227915
26,1,"Varied",2,12,39.16254044,44.77627563,87.4627018,87.0962308
519,14,"Fixed",2,38,23.84950447,25.40690358,93.87017348,102.7728011
211,6,"Varied",1,22,33.306633,41.4527092,80.34850711,83.72910025
932,24,"Varied",1,24,23.33993787,26.4955833,88.08991898,90.69123437
593,16,"Fixed",2,26,19.09588623,25.35471153,75.31494178,79.45739057
555,15,"Fixed",1,30,21.88292122,25.6678613,85.25416653,85.948354
373,10,"Varied",1,26,29.36094475,35.928744,81.71993084,83.53457134
844,22,"Varied",1,8,18.30048561,20.30047035,90.14808669,87.56736073
1167,31,"Varied",2,14,24.70365008,33.03254708,74.78578634,92.12428433
544,15,"Fixed",1,8,22.49669647,25.6678613,87.64538738,85.948354
490,13,"Varied",2,20,34.69702148,42.64267858,81.36689026,82.6050141
905,24,"Fixed",2,10,24.61218581,25.85728185,95.18473731,85.40678922
