"STUDY","METHOD","CI_OVERLAP"
"Study_1_Chen","boot",0.923409696107004
"Study_1_Chen","boot",0.925258817037142
"Study_1_Chen","boot",0.696680860173606
"Study_1_Chen","boot",0.641220001261253
"Study_1_Chen","boot",0.879148700630038
"Study_1_Chen","boot",0.869770317681438
"Study_1_Chen","boot",0.95264049318887
"Study_1_Chen","boot",0.856078282361843
"Study_1_Chen","boot",0.934574269678495
"Study_1_Chen","boot",0.867440847875947
"Study_1_Chen","boot",0.975337341710636
"Study_1_Chen","boot",0.918639325438271
"Study_1_Chen","boot",0.705260637048109
"Study_1_Chen","boot",0.847498875337631
"Study_1_Chen","boot",0.875496629339645
"Study_1_Chen","boot",0.909261349031797
"Study_1_Chen","boot",0.791612469356942
"Study_1_Chen","boot",0.740699972388614
"Study_1_Chen","boot",0.793618661955283
"Study_1_Chen","boot",0.901214838914701
"Study_1_Chen","boot",0.890287115513468
"Study_1_Chen","boot",0.972054357676551
"Study_1_Chen","boot",0.92032768016669
"Study_1_Chen","independent",0.898204579544819
"Study_1_Chen","independent",0.810076474750884
"Study_1_Chen","independent",0.330964484097176
"Study_1_Chen","independent",0.519957433015774
"Study_1_Chen","independent",0.766033908539437
"Study_1_Chen","independent",0.93719765063601
"Study_1_Chen","independent",0.855564359768741
"Study_1_Chen","independent",0.405087018520569
"Study_1_Chen","independent",0.983260925829017
"Study_1_Chen","independent",0.952583705994551
"Study_1_Chen","independent",0.891664910279075
"Study_1_Chen","independent",0.917889595885597
"Study_1_Chen","independent",0.579354345458689
"Study_1_Chen","independent",0.619325769469777
"Study_1_Chen","independent",0.5571989891098
"Study_1_Chen","independent",0.769464866248493
"Study_1_Chen","independent",0.91679175558041
"Study_1_Chen","independent",0.77731425311323
"Study_1_Chen","independent",0.942028020729952
"Study_1_Chen","independent",0.413301897754777
"Study_1_Chen","independent",0.960335655662884
"Study_1_Chen","independent",0.083372689173829
"Study_1_Chen","independent",0.591174221047991
