"sujet","trialNo","homo","population","populationC"
"ENG5008",11,1,"THK",0.5
"ENG2020",8,NA,"ENG",0.5
"THK0181",12,1,"ENG",-0.5
"ENG4008",4,1,"THK",-0.5
"THK0193",12,1,"ENG",0.5
"THK0082",3,1,"ENG",-0.5
"THK0328",1,1,"ENG",0.5
"THK0250",7,0,"ENG",-0.5
"THK0283",15,1,"ENG",0.5
"THK0022",9,1,"ENG",0.5
"ENG4020",3,1,"THK",0.5
"ENG4018",1,NA,"ENG",-0.5
"ENG2012",14,1,"ENG",-0.5
"ENG2012",14,1,"ENG",-0.5
"ENG3006",13,0,"THK",-0.5
"ENG4016",10,1,"THK",-0.5
"THK0073",15,1,"THK",-0.5
"ENG5006",0,0,"ENG",-0.5
"ENG2014",3,1,"ENG",-0.5
"ENG5002",3,1,"ENG",0.5
"THK0034",1,1,"THK",0.5
"ENG4008",8,1,"ENG",0.5
"ENG4024",10,1,"THK",-0.5
"ENG2014",6,1,"ENG",0.5
"ENG3006",10,1,"THK",0.5
"THK0202",9,1,"THK",-0.5
"ENG2018",10,1,"ENG",-0.5
"ENG2012",1,0,"ENG",-0.5
"ENG4004",14,1,"THK",0.5
"ENG4020",13,1,"THK",-0.5
"THK0136",14,1,"ENG",-0.5
"ENG4006",10,1,"THK",0.5
"ENG2006",2,1,"ENG",-0.5
"ENG2010",6,1,"ENG",-0.5
"ENG3004",4,1,"THK",0.5
"THK0034",6,1,"ENG",-0.5
"THK0331",6,0,"THK",-0.5
"THK0136",5,1,"THK",-0.5
"THK0202",0,1,"THK",-0.5
"THK0178",13,0,"ENG",-0.5
"THK0202",15,1,"ENG",-0.5
"THK0328",12,1,"ENG",-0.5
"ENG2018",7,1,"ENG",-0.5
"THK0055",2,1,"THK",0.5
"ENG2018",13,1,"THK",-0.5
"ENG4002",11,1,"ENG",-0.5
"THK0136",6,0,"ENG",-0.5
"ENG4010",1,1,"ENG",-0.5
"THK0154",10,1,"THK",-0.5
"THK0328",10,1,"THK",0.5
"THK0295",2,1,"ENG",-0.5
"ENG2020",12,1,"ENG",-0.5
"THK0046",15,1,"ENG",-0.5
"ENG4024",8,1,"THK",-0.5
"THK0073",5,1,"ENG",-0.5
"THK0331",14,1,"THK",-0.5
"THK0202",2,1,"ENG",0.5
"ENG4008",3,1,"THK",-0.5
"THK0082",12,1,"ENG",-0.5
"ENG2012",3,1,"ENG",-0.5
"ENG3004",3,0,"THK",-0.5
"ENG4012",11,0,"THK",-0.5
"ENG2020",14,1,"ENG",-0.5
"ENG2012",0,1,"THK",-0.5
"THK0046",6,NA,"ENG",0.5
"THK0154",11,1,"THK",-0.5
"ENG4012",13,1,"ENG",0.5
"THK0202",15,0,"THK",0.5
