"sujet","trialNo","homo","population","populationC"
"ENG5008",9,1,"ENG",-0.5
"ENG2020",8,1,"ENG",-0.5
"THK0181",1,1,"THK",0.5
"ENG4008",7,1,"ENG",-0.5
"THK0193",14,1,"THK",0.5
"THK0082",12,1,"THK",0.5
"THK0328",7,1,"THK",0.5
"THK0250",13,1,"THK",0.5
"THK0283",4,1,"THK",0.5
"THK0022",0,0,"THK",0.5
"ENG4020",9,0,"ENG",-0.5
"ENG4018",8,1,"ENG",-0.5
"ENG2012",1,1,"ENG",-0.5
"ENG2012",6,1,"ENG",-0.5
"ENG3006",2,1,"ENG",-0.5
"ENG4016",10,1,"ENG",-0.5
"THK0073",7,NA,"THK",0.5
"ENG5006",15,1,"ENG",-0.5
"ENG2014",11,1,"ENG",-0.5
"ENG5002",5,0,"ENG",-0.5
"THK0034",11,1,"THK",0.5
"ENG4008",8,1,"ENG",-0.5
"ENG4024",9,1,"ENG",-0.5
"ENG2014",11,1,"ENG",-0.5
"ENG3006",13,1,"ENG",-0.5
"THK0202",0,1,"THK",0.5
"ENG2018",12,1,"ENG",-0.5
"ENG2012",10,1,"ENG",-0.5
"ENG4004",6,1,"ENG",-0.5
"ENG4020",12,0,"ENG",-0.5
"THK0136",10,0,"THK",0.5
"ENG4006",4,0,"ENG",-0.5
"ENG2006",7,1,"ENG",-0.5
"ENG2010",12,1,"ENG",-0.5
"ENG3004",11,1,"ENG",-0.5
"THK0034",13,1,"THK",0.5
"THK0331",5,1,"THK",0.5
"THK0136",0,0,"THK",0.5
"THK0202",10,1,"THK",0.5
"THK0178",6,1,"THK",0.5
"THK0202",5,1,"THK",0.5
"THK0328",3,1,"THK",0.5
"ENG2018",10,1,"ENG",-0.5
"THK0055",14,0,"THK",0.5
"ENG2018",1,1,"ENG",-0.5
"ENG4002",12,1,"ENG",-0.5
"THK0136",14,0,"THK",0.5
"ENG4010",2,1,"ENG",-0.5
"THK0154",4,0,"THK",0.5
"THK0328",6,1,"THK",0.5
"THK0295",5,0,"THK",0.5
"ENG2020",8,1,"ENG",-0.5
"THK0046",15,1,"THK",0.5
"ENG4024",8,1,"ENG",-0.5
"THK0073",9,1,"THK",0.5
"THK0331",9,1,"THK",0.5
"THK0202",1,1,"THK",0.5
"ENG4008",10,1,"ENG",-0.5
"THK0082",2,1,"THK",0.5
"ENG2012",11,1,"ENG",-0.5
"ENG3004",1,1,"ENG",-0.5
"ENG4012",9,1,"ENG",-0.5
"ENG2020",3,1,"ENG",-0.5
"ENG2012",15,1,"ENG",-0.5
"THK0046",0,1,"THK",0.5
"THK0154",0,0,"THK",0.5
"ENG4012",3,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG4020",9,0,"ENG",-0.5
"THK0046",10,1,"THK",0.5
"ENG4008",0,1,"ENG",-0.5
"THK0022",14,0,"THK",0.5
"THK0055",0,1,"THK",0.5
"ENG3006",8,1,"ENG",-0.5
"ENG5008",11,1,"ENG",-0.5
"THK0331",0,1,"THK",0.5
"THK0295",13,0,"THK",0.5
"THK0073",0,NA,"THK",0.5
"ENG4006",14,0,"ENG",-0.5
"THK0328",13,1,"THK",0.5
"ENG4024",7,1,"ENG",-0.5
"THK0295",3,0,"THK",0.5
"ENG4018",14,1,"ENG",-0.5
"THK0082",9,1,"THK",0.5
"THK0076",0,1,"THK",0.5
"THK0154",7,0,"THK",0.5
"THK0049",4,1,"THK",0.5
"ENG2006",2,1,"ENG",-0.5
"ENG2008",13,0,"ENG",-0.5
"ENG2008",5,1,"ENG",-0.5
"ENG4016",13,0,"ENG",-0.5
"THK0055",7,1,"THK",0.5
"ENG4018",3,1,"ENG",-0.5
"THK0073",10,0,"THK",0.5
"THK0178",11,1,"THK",0.5
