"sujet","trialNo","homo","population","populationC"
"THK0250",8,1,"THK",0.5
"THK0154",1,0,"THK",0.5
"ENG2010",13,1,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"ENG2008",7,1,"ENG",-0.5
"ENG2008",9,1,"ENG",-0.5
"THK0154",8,0,"THK",0.5
"ENG4020",11,0,"ENG",-0.5
"THK0250",3,1,"THK",0.5
"THK0076",5,1,"THK",0.5
"ENG3004",15,1,"ENG",-0.5
"ENG4016",8,1,"ENG",-0.5
"ENG2022",11,1,"ENG",-0.5
"THK0076",12,1,"THK",0.5
"THK0295",8,0,"THK",0.5
"ENG2006",5,1,"ENG",-0.5
"ENG2010",4,1,"ENG",-0.5
"ENG2002",15,0,"ENG",-0.5
"THK0034",14,1,"THK",0.5
"THK0022",1,0,"THK",0.5
"THK0328",2,1,"THK",0.5
"THK0283",6,1,"THK",0.5
"THK0076",13,1,"THK",0.5
"ENG3008",14,1,"ENG",-0.5
"ENG2008",9,1,"ENG",-0.5
"THK0331",12,1,"THK",0.5
"ENG2018",7,1,"ENG",-0.5
"ENG2014",13,1,"ENG",-0.5
"THK0178",3,1,"THK",0.5
"ENG2014",11,1,"ENG",-0.5
"THK0202",9,1,"THK",0.5
"ENG2010",5,1,"ENG",-0.5
"ENG2020",6,1,"ENG",-0.5
"THK0049",8,1,"THK",0.5
"ENG4022",13,1,"ENG",-0.5
"ENG4008",5,1,"ENG",-0.5
"ENG5006",5,1,"ENG",-0.5
"ENG2002",13,1,"ENG",-0.5
"ENG4012",9,1,"ENG",-0.5
"ENG2018",7,1,"ENG",-0.5
"ENG5002",3,0,"ENG",-0.5
"ENG4022",9,1,"ENG",-0.5
"ENG4014",9,NA,"ENG",-0.5
"ENG4020",9,0,"ENG",-0.5
"THK0049",3,1,"THK",0.5
"THK0181",9,NA,"THK",0.5
"ENG2006",14,1,"ENG",-0.5
"THK0055",6,1,"THK",0.5
"ENG2018",0,1,"ENG",-0.5
"THK0286",14,NA,"THK",0.5
"THK0193",14,1,"THK",0.5
"THK0250",13,1,"THK",0.5
"ENG2016",5,1,"ENG",-0.5
"ENG5004",14,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG4006",6,0,"ENG",-0.5
"THK0193",5,1,"THK",0.5
"ENG4010",5,1,"ENG",-0.5
"THK0034",1,1,"THK",0.5
"ENG2018",0,1,"ENG",-0.5
"ENG2020",7,1,"ENG",-0.5
"ENG4014",6,1,"ENG",-0.5
"ENG4002",1,1,"ENG",-0.5
"THK0283",5,1,"THK",0.5
"ENG2006",10,1,"ENG",-0.5
"THK0331",5,1,"THK",0.5
"THK0082",12,NA,"THK",0.5
"THK0076",1,1,"THK",0.5
"ENG5004",13,1,"ENG",-0.5
"ENG2014",2,1,"ENG",-0.5
"THK0202",12,NA,"THK",0.5
"THK0178",9,1,"THK",0.5
"ENG4022",2,NA,"ENG",-0.5
"ENG2022",7,1,"ENG",-0.5
"ENG5006",6,1,"ENG",-0.5
"THK0076",6,1,"THK",0.5
"ENG4020",14,0,"ENG",-0.5
"THK0049",13,NA,"THK",0.5
"ENG5002",8,0,"ENG",-0.5
"THK0283",15,1,"THK",0.5
"ENG4018",1,1,"ENG",-0.5
"ENG2002",9,0,"ENG",-0.5
"THK0295",15,0,"THK",0.5
"ENG5008",5,NA,"ENG",-0.5
"ENG4006",8,0,"ENG",-0.5
"ENG4002",14,1,"ENG",-0.5
"THK0250",2,1,"THK",0.5
"ENG4008",13,1,"ENG",-0.5
"THK0049",5,1,"THK",0.5
"ENG2018",9,1,"ENG",-0.5
"THK0055",0,1,"THK",0.5
"THK0286",9,0,"THK",0.5
"THK0022",15,0,"THK",0.5
"THK0328",15,1,"THK",0.5
"THK0286",13,1,"THK",0.5
"ENG4006",6,0,"ENG",-0.5
"THK0049",5,1,"THK",0.5
"ENG4002",3,1,"ENG",-0.5
"ENG5010",1,1,"ENG",-0.5
"ENG5010",1,1,"ENG",-0.5
"ENG5010",7,1,"ENG",-0.5
"ENG4004",13,1,"ENG",-0.5
"ENG4004",7,1,"ENG",-0.5
"THK0181",5,1,"THK",0.5
"ENG3008",12,1,"ENG",-0.5
"ENG2014",12,1,"ENG",-0.5
"ENG2016",5,1,"ENG",-0.5
"THK0076",6,1,"THK",0.5
"ENG3008",8,1,"ENG",-0.5
"THK0073",2,1,"THK",0.5
"THK0082",12,1,"THK",0.5
"ENG2020",2,1,"ENG",-0.5
"ENG2006",8,1,"ENG",-0.5
"THK0286",8,1,"THK",0.5
"ENG3008",3,1,"ENG",-0.5
"ENG2016",10,1,"ENG",-0.5
"THK0178",2,1,"THK",0.5
