"SOP","SPP","HP","OP","eat_disorder","psy_wb","PHYS_H"
5.5,5.25,4.33333333333333,4.16666666666667,4.95238095238095,6,5
4.75,5.75,4.5,5.83333333333333,1.40909090909091,7,10
5,5,4.66666666666667,4.5,4.81818181818182,4.5,7.33333333333333
6.75,3.25,5.66666666666667,1.33333333333333,4.61904761904762,2.75,7
4.5,6,2.5,5.83333333333333,0.636363636363636,3,8.33333333333333
5.75,1.5,5.16666666666667,1.66666666666667,0.181818181818182,3,4
4.75,2,4.66666666666667,3.16666666666667,5.59090909090909,4,7.66666666666667
5.5,3.5,5.16666666666667,3.16666666666667,0.904761904761905,4,9
5,5.25,6,4.33333333333333,1.72727272727273,5,9
4.75,4,4.66666666666667,5.83333333333333,4.77272727272727,7,5.33333333333333
6.75,4.25,4.83333333333333,4.33333333333333,1.68181818181818,7,5.66666666666667
5.5,2.5,4,4.16666666666667,1.5,4.75,9
6,4,6.16666666666667,4.66666666666667,0.272727272727273,6,8.66666666666667
2.5,6,3.83333333333333,4,1.45454545454545,3,10
4,6,4.83333333333333,1.83333333333333,0.909090909090909,4.5,8.66666666666667
3.5,1.75,5.16666666666667,3,0.818181818181818,5.5,7.33333333333333
4,4.5,4.33333333333333,1.33333333333333,3.72727272727273,5,2.33333333333333
6.5,5,5,3,3.31818181818182,1.5,7.66666666666667
6,4,5,2.83333333333333,4.77272727272727,4.25,7.33333333333333
5,2,5.83333333333333,5.33333333333333,1.18181818181818,4,8
4.75,3,5.16666666666667,1.83333333333333,2.04545454545455,6.75,8.33333333333333
6,5.75,4.66666666666667,1.83333333333333,1.40909090909091,5.25,7
5.5,3.75,2.66666666666667,3.2,0.454545454545455,5,9.66666666666667
5.25,1,6.33333333333333,4,4.81818181818182,5.25,8.66666666666667
5.5,4.75,6.33333333333333,5.5,0.863636363636364,5.75,7
5.75,3.5,5.33333333333333,2.83333333333333,1.45454545454545,5.25,10
5,5,4.83333333333333,4.5,4.68181818181818,2.5,9
6,6.25,4.66666666666667,5.83333333333333,1.68181818181818,2.75,5
2,1,3.16666666666667,1.33333333333333,5.72727272727273,6,5.66666666666667
5.25,5,5.83333333333333,3.5,2.68181818181818,4.5,9.33333333333333
6.75,4.5,4,4.5,3.09090909090909,1,9
5,5.5,4.66666666666667,4.66666666666667,2.61904761904762,1.5,9.33333333333333
6.5,5.75,5.83333333333333,7,0.285714285714286,5.75,8.66666666666667
1,7,5.5,2.66666666666667,1.04545454545455,1,6
7,1,5.5,1.16666666666667,0.5,1.75,8.33333333333333
4.25,4.5,7,5.16666666666667,3.72727272727273,4,8
4.75,4,4.16666666666667,2.83333333333333,0.5,2,5
6.5,3.75,5,1,2.31818181818182,2,10
5.5,5.75,2.83333333333333,2.66666666666667,1.81818181818182,4.5,2.33333333333333
5,3.5,5.83333333333333,4.33333333333333,2.18181818181818,4.25,8
6,3,6,1,1.04545454545455,5,7.33333333333333
4.75,5.25,4.66666666666667,4,2.13636363636364,7,7.66666666666667
6.25,4.75,5.33333333333333,4.66666666666667,0.363636363636364,5.5,9
6.75,2,5.33333333333333,2.33333333333333,3.63636363636364,5.75,9
4.75,3.75,5.5,1.66666666666667,0.363636363636364,5.75,7
4,5.75,3.16666666666667,4,2.90909090909091,5,4.66666666666667
5.25,4.25,7,4.83333333333333,3.63636363636364,6,2
4,4.25,5.33333333333333,3.16666666666667,0.954545454545455,2.75,8
6.75,4,7,1.33333333333333,3.54545454545455,1,8
3.25,5.5,4.16666666666667,2.16666666666667,4.63636363636364,6.5,2.66666666666667
5,3.5,5.66666666666667,3,3.04545454545455,5.75,6
3,1,5,1,0.454545454545455,4.25,9.33333333333333
6,4.75,5.16666666666667,2.33333333333333,2.45454545454545,4,8
4.75,5,6.83333333333333,4.83333333333333,1.40909090909091,4,8.33333333333333
5.5,5,2.5,2.16666666666667,3.13636363636364,4.75,9
5.5,3,4.66666666666667,5.83333333333333,4.61904761904762,2,8
7,3.5,5.5,3.66666666666667,1.04761904761905,5.5,8.66666666666667
4.75,1.25,4.16666666666667,4.66666666666667,4.14285714285714,1,6.33333333333333
5.25,6.25,4.66666666666667,2.33333333333333,1.63636363636364,6,3.33333333333333
6.5,3.25,3.16666666666667,3,2.77272727272727,1,7
5,6.5,4.83333333333333,4.16666666666667,4.81818181818182,2,4.66666666666667
4,2.75,5,2.83333333333333,0.0909090909090909,5.25,9.33333333333333
6,2.25,2.83333333333333,2.33333333333333,1.31818181818182,3.25,8
2.5,3.25,5.83333333333333,3,4.77272727272727,1.25,9
5.25,5.25,4.16666666666667,5.83333333333333,0.272727272727273,4,10
4.75,3.5,7,1,0.227272727272727,6.25,7
7,3.75,4,1,3.52380952380952,5,6.66666666666667
