"SOP","SPP","HP","OP","eat_disorder","psy_wb","PHYS_H"
5.5,4.5,3.16666666666667,2.6,4.95238095238095,1,3.33333333333333
5.5,5,4.4,4.16666666666667,2.95454545454545,4.25,6.66666666666667
4.75,5.75,5,6.16666666666667,1.33333333333333,4.75,5
6,3,5.33333333333333,2.33333333333333,3.18181818181818,4,7.33333333333333
6.5,3.25,6,2.66666666666667,1.86363636363636,4,9
2.5,1,4.83333333333333,2.33333333333333,0,1,6
6,3.5,5.66666666666667,2.83333333333333,0.863636363636364,4,7.66666666666667
4.75,2.75,5.16666666666667,2.33333333333333,5.42857142857143,5.25,6.66666666666667
4.5,6,5.83333333333333,4.5,1.22727272727273,5.75,8
7,7,5.16666666666667,4.16666666666667,0.136363636363636,2.75,7.33333333333333
5,4.5,4.66666666666667,4.5,1.45454545454545,5,9
3.75,3.75,5.5,4.33333333333333,3.45454545454545,6,8.33333333333333
6.75,4.5,4,2.83333333333333,1.86363636363636,5,9
4.5,4,4.33333333333333,3.83333333333333,1.86363636363636,6,8
5.5,5,4.16666666666667,3.66666666666667,3.04545454545455,4.25,6.66666666666667
6.75,3.75,6.5,6.16666666666667,2.04545454545455,7,8.66666666666667
6.25,4,6,5.83333333333333,4.77272727272727,5.25,9
4.25,3,5.66666666666667,4.5,3.77272727272727,5.25,7
5.5,3,4.83333333333333,1.66666666666667,4.40909090909091,3.5,6.33333333333333
5,4,5,4.5,2.04545454545455,4.5,7
5.25,4.25,4.66666666666667,4.16666666666667,2.09090909090909,1.25,5
4,2.25,6.33333333333333,2.33333333333333,0.363636363636364,5,9
5,4,5,4.8,0.590909090909091,4.25,7.33333333333333
5.25,4,5.66666666666667,5.16666666666667,2.86363636363636,5,8.66666666666667
6.5,4.75,4,4,1.63636363636364,5.75,9
5.75,5,4.66666666666667,1.5,3.36363636363636,4,7
1.25,1.25,6.66666666666667,2.33333333333333,0.636363636363636,7,8
3.75,1.75,7,1.33333333333333,0.590909090909091,7,9.33333333333333
4.25,5.75,5,6.16666666666667,3.63636363636364,1,4.66666666666667
2,1,2.16666666666667,1.83333333333333,1.77272727272727,2,6.33333333333333
6,4,7,5.83333333333333,1.04761904761905,7,10
2,1.25,4.83333333333333,2.66666666666667,0,3,6.33333333333333
3.25,4.75,3.33333333333333,1.33333333333333,1.09090909090909,5.25,8.33333333333333
6.5,6.25,5,5.83333333333333,2.18181818181818,4.5,7.66666666666667
4.5,3.75,5.83333333333333,5.16666666666667,0.863636363636364,6,10
5.75,4.75,3.5,4,1.63636363636364,5.75,9
4.75,2.5,5,1.5,4,6,8.33333333333333
4.25,2.25,6.33333333333333,5,2.77272727272727,6.5,9.33333333333333
4,3.75,5.16666666666667,5.33333333333333,0.863636363636364,3.75,5.33333333333333
3.75,2.25,5,3.83333333333333,2.61904761904762,1.25,4.66666666666667
6.5,7,5.83333333333333,7,2.95454545454545,6,8
4.75,4,5,4.33333333333333,3.09090909090909,5,7.66666666666667
6.5,5,2.83333333333333,3.33333333333333,2.18181818181818,5,5.66666666666667
5,4.5,3.16666666666667,2.6,3.31818181818182,5.5,7.33333333333333
4,2.25,5,3.33333333333333,1.5,2.75,7
5.25,4,7,2.83333333333333,0.0454545454545455,7,9.33333333333333
6.5,5,2.83333333333333,3.33333333333333,3.18181818181818,1.5,6
5,4.75,4.66666666666667,4.33333333333333,1.04545454545455,4,8.33333333333333
5.5,4.75,5.16666666666667,4.16666666666667,2.13636363636364,4.75,5.66666666666667
5.25,5.25,4.83333333333333,4,1.59090909090909,5.75,9
5.5,4.5,3.16666666666667,1.83333333333333,1.18181818181818,1,6
5.75,2.75,4.66666666666667,3.33333333333333,3.54545454545455,1.5,4.33333333333333
5,5.25,5,4.6,0.636363636363636,5.75,9
1.25,1.25,6.66666666666667,1,0.363636363636364,6,10
5.25,5.25,6.16666666666667,5.66666666666667,5.40909090909091,5.75,7
6,5.75,6,5.5,0.363636363636364,5.75,8
4.75,4,3.16666666666667,1.33333333333333,0,1,5.33333333333333
4,4.25,5,4.16666666666667,1.59090909090909,4.75,6.33333333333333
5.5,5.25,3.16666666666667,1.33333333333333,3.59090909090909,1.5,5
5,3.75,4,3.83333333333333,0.363636363636364,5.25,7.66666666666667
5.25,5.25,5.16666666666667,2.16666666666667,3.59090909090909,5,7
4.5,3.75,4.66666666666667,1.66666666666667,1.31818181818182,5,5.33333333333333
5.25,4,7,4.5,1.04761904761905,6.75,10
5.5,6.5,7,5.83333333333333,4.40909090909091,7,8.66666666666667
5.5,5,4.5,3.66666666666667,3.59090909090909,4.25,6.66666666666667
6,4,4.83333333333333,2.83333333333333,3.95454545454545,1.5,2.33333333333333
4.75,2.25,5,2.33333333333333,3.18181818181818,7,8.66666666666667
4.75,4.25,4.66666666666667,3.66666666666667,0.5,6,9
5,4.5,4.16666666666667,3.66666666666667,0.363636363636364,5.75,8.33333333333333
4.75,4,3.16666666666667,1.16666666666667,1.40909090909091,5.75,8
3.25,3.75,5.5,3,0.363636363636364,2.75,8
5.5,3.75,3.66666666666667,3.83333333333333,0.454545454545455,5.75,8
6,4,7,5.83333333333333,2.04545454545455,7,8.66666666666667
3.25,4,4,3.33333333333333,2.45454545454545,2,4
6.5,4,5.66666666666667,5.83333333333333,3.09090909090909,4.25,5
6.75,3.5,5.83333333333333,3.83333333333333,0.863636363636364,4.5,7.66666666666667
7,7,5,4.16666666666667,0.454545454545455,6.5,8
4.75,2.25,4.16666666666667,1.16666666666667,2.90909090909091,4.5,5.66666666666667
4.25,5.75,5.83333333333333,4.5,1.22727272727273,5.75,9.33333333333333
5,2.5,5.83333333333333,1.83333333333333,0.863636363636364,3.25,9
4.75,4.5,3.83333333333333,3.33333333333333,2.90909090909091,5.5,7.66666666666667
4.75,3.5,4.66666666666667,3.33333333333333,0.772727272727273,3.5,6.33333333333333
4.5,1.5,4.16666666666667,2,0.681818181818182,4.25,9
5.5,5.75,5.16666666666667,4.6,0.863636363636364,6,10
4,2.25,5,2,1.5,2,9.33333333333333
5.25,3,3.16666666666667,3.16666666666667,0.0909090909090909,4.25,8.33333333333333
6.5,3.25,6.83333333333333,3.16666666666667,0.363636363636364,7,10
2,3,4.83333333333333,1.83333333333333,0.636363636363636,2,8.66666666666667
5,4.75,4.66666666666667,4.5,3.23809523809524,4.25,5.66666666666667
6,5.75,5.33333333333333,4.8,0.727272727272727,4,8.33333333333333
5.25,1.5,7,1.83333333333333,0.363636363636364,7,9.33333333333333
3,1.5,5.83333333333333,1,0.181818181818182,7,9
6,3.5,4,3,4.81818181818182,3,7
5.5,5,4.5,4.16666666666667,0.636363636363636,6,10
4,2.75,5.33333333333333,4.16666666666667,3.77272727272727,6.5,8.66666666666667
5.75,2.5,3.5,1.16666666666667,2.90909090909091,1.5,6
5,4,4.33333333333333,4,0.954545454545455,4,7.66666666666667
6.5,5.25,2.83333333333333,1.33333333333333,3.18181818181818,4,7.33333333333333
5.75,2.5,4.83333333333333,5,2.77272727272727,1.25,5.33333333333333
5.75,4.75,4.83333333333333,2.83333333333333,0.863636363636364,1.5,4
6.75,5.25,5,5.16666666666667,3.72727272727273,2.75,10
6,4.75,4.83333333333333,1.5,2.31818181818182,2.5,7.33333333333333
4.75,6.5,4,4.83333333333333,4.63636363636364,3.5,2.33333333333333
4.5,1.5,4.16666666666667,1,0.363636363636364,7,8.33333333333333
5.25,2.75,5,2.33333333333333,3.18181818181818,7,8.66666666666667
2.5,1.5,2.16666666666667,1.66666666666667,0.636363636363636,5,2.66666666666667
6.25,6,6.83333333333333,6,5.22727272727273,6.5,9.33333333333333
6.75,1.25,7,1.33333333333333,4.68181818181818,7,9.33333333333333
4.75,3.75,5.83333333333333,2.83333333333333,3.31818181818182,6,8.33333333333333
5.75,3.5,5.66666666666667,6.5,5.36363636363636,5.75,8.66666666666667
4.75,2.5,5.33333333333333,2.33333333333333,0.272727272727273,6.5,7
5.5,5,4.4,3.66666666666667,3.31818181818182,5.25,7
7,5,7,3.5,4.59090909090909,6.75,9
4.5,3.75,4,4.5,1.59090909090909,4.25,8.33333333333333
6.75,5.75,3.33333333333333,1.83333333333333,2.18181818181818,4.25,10
7,5,5,2.83333333333333,0.454545454545455,5,7.33333333333333
4.25,3,5,2.33333333333333,1.5,1.25,5
6,4,6.16666666666667,5.83333333333333,1.5,4.25,9
5,5,3.16666666666667,1.16666666666667,2.04545454545455,4.25,7.66666666666667
5.5,3.75,4.66666666666667,1.33333333333333,1.5,2.5,7.66666666666667
6.5,4.5,4,2.83333333333333,3.31818181818182,2.5,5.66666666666667
3.5,4,3.5,2.5,1.31818181818182,2,8.66666666666667
6,5.75,5.33333333333333,4.5,1,4,8
4.75,2.75,5.33333333333333,1.33333333333333,4.40909090909091,6,8
6.5,3.25,6,6.5,3.54545454545455,1.5,7.33333333333333
6.5,4,5.83333333333333,5.66666666666667,3.09090909090909,1.5,4.66666666666667
7,5,1.66666666666667,4.5,4.68181818181818,2.5,10
5,4,4.83333333333333,3.16666666666667,0.909090909090909,4,9
6.5,5.75,4.5,4.66666666666667,2.77272727272727,1.25,5.66666666666667
5.75,4.75,5.8,6.16666666666667,1.18181818181818,6,10
4,4,5,2.5,1.09090909090909,2,7.33333333333333
4.25,5.75,5,6.16666666666667,3.36363636363636,4.25,6
6.75,1.25,5.33333333333333,2.83333333333333,3.63636363636364,1,7.33333333333333
5.75,3,5.66666666666667,6.5,3.54545454545455,3.25,7
4,4,5,2.83333333333333,1.31818181818182,2,7.33333333333333
6,6,3.33333333333333,2.16666666666667,3.18181818181818,4,10
5,4,4.83333333333333,2.83333333333333,2.90909090909091,5.5,6.66666666666667
5.75,4.25,3.5,2.83333333333333,3.86363636363636,1.5,6
1.5,4.5,7,5.16666666666667,0,7,10
5.25,5.5,6.16666666666667,5.83333333333333,5.40909090909091,6.75,8
4.25,2.75,6,4.16666666666667,3.77272727272727,5.75,7
5,4,4.33333333333333,3.33333333333333,0.772727272727273,3.5,7.66666666666667
6,4,6.16666666666667,6,3.09090909090909,1.5,7.33333333333333
3,3.75,5.5,3,2.09090909090909,4.75,6.33333333333333
6.75,5.75,6,4.33333333333333,1,1,9.33333333333333
3.25,2.75,4.33333333333333,1.66666666666667,1.09090909090909,4,5
6,2.25,6,3.83333333333333,1.63636363636364,4.5,7.66666666666667
5.25,3,5.66666666666667,1.33333333333333,3.72727272727273,3.25,6.66666666666667
4.5,3.75,5.83333333333333,5.16666666666667,2.18181818181818,5,7.66666666666667
6,4,5.16666666666667,4.5,2.04545454545455,3.75,7.33333333333333
4,1.75,6.33333333333333,5,3.52380952380952,6.5,9.33333333333333
