"performance_exam","test_anxiety","performance_mock_exams","working_memory_trait","performance_exam_prepare","cg"
0.86,1.6,0.742605915267786,1.93333333333333,0.725831104317921,0
0.85,1.6,0.883297644539615,NA,NA,0
0.87,3.8,0.860111910471623,NA,0.683498429572361,1
0.82,3.2,0.815347721822542,2.06666666666667,0.73541842772612,0
0.79,2.4,NA,4,0.869920597851471,0
0.88,1.8,0.857632933104631,NA,0.924867724867725,0
0.82,3.4,0.828936850519584,NA,0.631131458469588,0
0.92,3.6,0.872120730738681,NA,0.617577756833176,0
0.85,2.4,0.741806554756195,0.4,NA,0
0.67,2,0.869704236610711,NA,0.735557212076034,0
0.83,4.2,0.745803357314149,NA,0.777127244340359,0
0.81,2.4,0.54140127388535,2.26666666666667,0.759153590109368,0
0.74,2.8,0.690647482014389,1.73333333333333,0.913373860182371,0
0.8,2.2,0.81858407079646,2.2,0.832825322391559,1
0.81,2.8,0.828693790149893,NA,0.683569979716024,1
NA,3.8,0.770583533173461,1.46666666666667,0.809757505773672,0
0.83,4,0.784172661870504,NA,0.821029572836802,0
0.76,1.8,0.899103139013453,NA,0.826429618768328,1
0.79,3.4,0.896083133493205,2.4,0.846921797004992,0
0.84,1.4,NA,3.2,0.777127244340359,0
0.86,3.4,0.820143884892086,NA,0.941284741395178,0
0.83,2.2,0.754596322941647,4,0.844890510948905,1
NA,3.2,0.763389288569145,2.2,0.717386231038506,1
0.68,2.8,0.767386091127098,3.26666666666667,0.789531478770132,0
0.85,3,0.831905781584582,1.93333333333333,0.875628140703518,1
0.82,2.4,0.832134292565947,NA,0.671094369547978,0
0.82,2.4,0.836131095123901,NA,0.858321114369501,1
0.78,4.6,0.928104575163399,2.2,0.802368313597387,1
0.82,4.6,0.819776714513557,1.86666666666667,0.920280446637237,0
NA,2.2,0.726618705035971,NA,0.792712066905615,0
0.88,3.4,0.872120730738681,1.13333333333333,0.701171408080325,0
0.84,2.6,NA,1.53333333333333,0.808588731877409,0
0.85,3.2,0.918465227817746,NA,0.892107892107892,0
0.8,1.6,0.737752161383285,1.93333333333333,0.759844559585492,1
0.8,2.4,0.714285714285714,NA,0.830144557823129,1
0.82,3.2,0.705835331734612,2,0.913373860182371,1
0.78,3.8,0.820125130344108,NA,0.856351981351981,1
0.82,1.6,0.844924060751399,2.2,0.712383488681758,1
0.78,2.8,NA,NA,0.683219494184973,0
0.82,3.8,0.828137490007994,2.4,0.78594313175811,0
0.7,2,0.787370103916866,1.53333333333333,0.671094369547978,0
0.67,2,0.815142576204523,NA,0.844890510948905,0
0.83,4.6,0.8088,1.2,0.773971171923961,0
0.88,3.4,0.774839743589744,NA,0.754628350373031,0
0.84,1.6,0.745803357314149,2.13333333333333,0.749935149156939,0
0.79,3.4,0.789768185451639,2.8,0.832825322391559,0
0.83,4.8,NA,1.13333333333333,0.793640204580832,1
0.82,4.2,0.928057553956835,2.6,0.780834564254062,0
0.86,3,0.756195043964828,1.86666666666667,0.790282485875706,1
0.8,2.6,0.821086261980831,NA,0.881877444589309,1
0.67,2.8,0.742605915267786,1.73333333333333,0.772972972972973,0
0.8,3.4,0.726618705035971,2.8,0.734551195308976,0
0.78,3,0.828137490007994,NA,0.772972972972973,0
0.77,3.2,0.868904876099121,1.8,0.760302365276762,0
0.83,3.8,0.769724182168056,1.4,0.826429618768328,0
0.84,2.4,0.891075514874142,NA,0.86404833836858,0
NA,3.8,0.611587982832618,3.4,0.767407130856823,0
0.78,4,0.8272,3.26666666666667,0.890340763515245,0
0.81,1.6,0.745803357314149,1.26666666666667,0.86404833836858,1
0.84,1.6,0.690647482014389,1.73333333333333,0.809828206152617,1
0.77,2,0.81294964028777,2.13333333333333,0.612595419847328,0
0.75,1.6,0.737809752198241,1.46666666666667,0.832825322391559,1
NA,3,0.928856914468425,NA,0.589300244100895,0
NA,2.8,0.779376498800959,1.73333333333333,0.715693430656934,0
0.79,3.6,0.490291262135922,NA,0.87382614977125,0
0.85,1.2,0.928057553956835,NA,0.883919062832801,1
0.83,1.6,0.943245403677058,1.2,0.532502226179875,1
0.81,3.6,0.833333333333333,1.73333333333333,0.7686630113876,1
0.82,3.6,NA,1.06666666666667,0.838141025641026,1
0.76,4.2,0.828693790149893,1.86666666666667,0.87093461143444,1
0.81,4.6,0.676190476190476,1.8,0.834435869165748,1
0.72,2.6,0.952569169960474,NA,0.717042497831743,0
0.83,2,0.721822541966427,1.93333333333333,0.80978792822186,1
0.71,2.4,0.899103139013453,NA,0.819160624038673,0
0.8,3,0.54140127388535,NA,0.754077791718946,0
0.79,4,0.809574468085106,1.86666666666667,0.561847988077496,1
0.73,4.2,0.823170731707317,NA,0.790132547864507,0
0.7,1.8,0.779376498800959,2,0.86404833836858,0
0.9,4.4,0.804156674660272,1.46666666666667,0.761838440111421,0
0.77,1.2,0.821086261980831,NA,0.873353989155693,0
0.85,4.6,0.798878205128205,NA,0.628741287412874,0
0.74,2.4,0.727707006369427,2.66666666666667,0.671094369547978,0
NA,3,0.655063291139241,1.93333333333333,0.798179396092362,0
0.76,3.2,0.927258193445244,1.53333333333333,0.875628140703518,0
0.81,4.4,0.896251089799477,3.93333333333333,0.761392949269132,0
0.78,2.4,0.805755395683453,1.4,0.734551195308976,0
0.8,1.8,0.653038674033149,2.26666666666667,0.727272727272727,0
NA,1.6,0.891286970423661,1.8,0.882616910722721,0
0.78,2.8,0.849720223820943,1.4,0.709893048128342,0
0.91,2.4,0.867894315452362,1.26666666666667,0.774860094705123,0
0.79,3,0.763389288569145,2.6,0.883919062832801,0
0.81,1.6,0.760991207034373,NA,0.827296713840249,0
0.93,2.6,0.821742605915268,1.8,0.825309043591412,0
0.86,4.4,0.815852682145717,1.93333333333333,0.617117117117117,0
0.93,4.8,0.823170731707317,1.33333333333333,0.746569972559781,1
0.87,3.2,0.611587982832618,1.73333333333333,0.736594803758983,1
0.72,2.8,0.860111910471623,2.8,0.86404833836858,0
0.8,3.8,0.800959232613909,NA,0.892107892107892,0
0.84,4.6,0.778577138289368,2.73333333333333,0.759153590109368,0
0.81,3.4,0.854516386890488,2.66666666666667,0.825309043591412,0
0.9,3.2,0.852118305355715,NA,0.652503293807642,0
0.89,2.6,0.95483288166215,2.2,0.671094369547978,1
0.92,3.2,0.787085514834206,1.53333333333333,0.772210376687989,0
0.83,4.8,0.772727272727273,3.73333333333333,0.717386231038506,1
0.89,2.2,0.726618705035971,1.46666666666667,0.681592039800995,0
0.75,2.4,0.896882494004796,1.8,0.624868835257083,1
0.71,1.6,0.77742193755004,NA,0.689376443418014,0
0.73,2.2,0.729816147082334,2.2,0.440446650124069,0
0.78,2,0.826538768984812,1.6,0.710670314637483,1
NA,3.2,0.864108713029576,1.4,0.761838440111421,1
0.52,3.4,0.928856914468425,1.46666666666667,0.695104895104895,1
0.84,3.6,0.681744749596123,1.86666666666667,0.762146289375334,0
NA,3.2,0.958433253397282,NA,0.746731234866828,1
0.77,2.4,0.878497202238209,1.66666666666667,0.776470588235294,0
0.86,2.6,0.721822541966427,NA,0.817791256002022,0
0.89,2,0.836131095123901,NA,0.777097902097902,1
0.76,2,0.611587982832618,NA,0.687039928619228,0
0.76,1.4,0.928856914468425,2.33333333333333,0.748355663824604,0
0.82,2.4,0.729816147082334,NA,0.783783783783784,0
0.75,3.8,0.826538768984812,1.53333333333333,0.817626758693921,0
0.85,2.2,0.852118305355715,NA,0.751800180018002,0
NA,1.6,0.820125130344108,1.2,0.755376344086022,0
0.77,3.4,0.805755395683453,NA,0.793640204580832,0
0.78,3.4,0.767386091127098,NA,0.817626758693921,0
0.73,1.6,0.690647482014389,NA,0.717253610336965,0
0.77,2.6,0.802867383512545,NA,0.830328009617036,0
0.79,2.6,0.892885691446842,NA,0.716727980956503,0
0.82,2.2,0.676908752327747,NA,0.823844608171467,1
0.86,3.2,NA,1.33333333333333,0.823844608171467,0
0.79,3,0.852917665867306,NA,0.813766019016122,1
0.89,3,0.882494004796163,NA,0.724785626786443,1
0.83,3,0.677857713828937,2.13333333333333,0.825309043591412,0
0.85,2.8,0.822916666666667,2.2,NA,0
0.84,1.8,0.901702786377709,3,0.885825075398535,0
0.77,2.4,0.749000799360512,1.26666666666667,0.812929197253138,1
0.84,1.6,0.821086261980831,NA,0.776470588235294,0
0.89,4.4,0.778577138289368,NA,NA,1
0.79,1.8,0.928104575163399,1.46666666666667,0.704794667813374,0
0.76,4.6,0.800959232613909,4,0.736594803758983,0
0.71,3.8,0.899103139013453,3.93333333333333,0.809828206152617,0
0.82,2.4,0.844924060751399,NA,0.716727980956503,0
0.77,3.6,0.672262190247802,1.13333333333333,0.762016021361816,0
0.84,2.2,0.822916666666667,NA,0.817791256002022,0
0.85,3.2,0.843325339728217,2,0.717042497831743,1
0.93,3,0.685695958948044,NA,0.717253610336965,0
0.89,1.2,0.963229416466827,1.46666666666667,0.786411716842962,0
0.86,2,0.819776714513557,2.6,0.774484536082474,0
0.87,4,0.654175588865096,0.4,0.617577756833176,0
0.78,1.8,0.896882494004796,1,0.832825322391559,0
0.79,3.6,0.864217252396166,3.93333333333333,0.873353989155693,0
0.8,3.4,0.817745803357314,2.13333333333333,0.76837416481069,1
0.84,2.6,0.916067146282974,1.53333333333333,0.747260046496181,1
0.81,4.4,0.884892086330935,1.8,0.681593212349753,1
0.82,3.2,0.844924060751399,NA,0.826645264847512,1
0.83,4.6,0.681744749596123,NA,0.760302365276762,0
0.77,4,0.331615120274914,NA,0.87178179964313,0
0.81,4.4,0.702355460385439,2.66666666666667,0.75251256281407,1
0.74,2.6,0.819776714513557,3.2,0.765741857659831,0
0.83,4,0.776179056754596,3.26666666666667,0.838141025641026,0
0.91,1.8,0.86038961038961,1.4,0.709893048128342,1
0.71,4,0.928104575163399,1.66666666666667,0.812929197253138,0
0.84,1.4,0.765787370103917,2.73333333333333,0.885825075398535,0
0.77,4,0.779376498800959,2.4,0.771407968271138,0
0.75,2,0.760991207034373,1.66666666666667,0.663633930960664,0
0.6,3,NA,1.53333333333333,0.741355140186916,0
0.83,3.8,0.787370103916866,1.46666666666667,0.729447696614915,1
0.76,1.4,0.738782051282051,2.53333333333333,0.628741287412874,0
0.83,3.6,0.885691446842526,4,0.689376443418014,1
0.83,4,0.772981614708233,2,0.702985653354013,0
0.78,2,0.764878765613519,1.8,0.923431734317343,0
0.88,2.4,0.856115107913669,2,0.683498429572361,0
0.79,2,0.722488038277512,1.73333333333333,0.00206015657189946,0
0.86,1.4,0.808952837729816,1.33333333333333,0.923431734317343,0
0.83,1.4,NA,1.33333333333333,0.82026082026082,0
0.74,4.2,0.797761790567546,NA,0.861751152073733,1
0.7,2,0.768219832735962,NA,0.885825075398535,1
0.85,1,0.655063291139241,1.6,0.890625,1
0.79,3.2,0,2.33333333333333,0.737043098745226,1
0.83,2.6,0.837729816147082,1.86666666666667,0.557181571815718,0
0.82,1.8,0.794564348521183,NA,0.793640204580832,0
0.61,2.2,0.773738872403561,1.33333333333333,0.797491039426523,1
0.84,1.8,0.76978417266187,NA,0.717151945192072,0
0.85,4.6,0.829736211031175,2.4,0.792710706150342,0
0.84,3.6,0.832268370607029,2.2,0.790282485875706,1
0.75,4.6,0.928856914468425,NA,0.794718581341557,0
