"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
4.12,3.812,2,4,6.25,5.5,3.25,5.5,5.5,6.25,92.6,89,89,0
3,2.152,4,6,4.75,5.5,4,7,4,4,65.6,58,64,0
4.1,3.816,2,2,6.25,5.5,6.25,5.5,4,5.5,98.8,97,99,1
3.5,1.966,3,5,7,7,7,7,7,4,58.5,49,58,0
3.7,2.95,3,3,6.25,7,6.25,6.25,6.25,7,90.5,85,93,0
3.2,2.568,2,2,4.75,4.75,4,5.5,4,4.75,64.4,76,76,1
3,2.152,4,6,4.75,5.5,4,7,4,4,65.6,58,64,0
3.7,2.95,3,3,6.25,7,6.25,6.25,6.25,7,90.5,85,93,0
3.65,3.58,1,2,4,7,6.25,7,2.5,7,90.8,85,94,1
3.89,2.61,4,4,5.5,5.5,7,6.25,4.75,5.5,87.8,81,92,1
4.3,3.783,1,1,6.25,6.25,5.5,6.25,5.5,6.25,96.2,94,96,1
4.3,3.783,1,1,6.25,6.25,5.5,6.25,5.5,6.25,96.2,94,96,1
NA,NA,NA,5,NA,4,NA,4,NA,4,83.9,84,87,0
NA,3.4,NA,2,NA,5.5,NA,6.25,NA,4,87.3,87,85,1
3.99,2.414,2,2,6.25,6.25,6.25,5.5,6.25,6.25,80.9,82,74,0
3.85,2.932,4,3,5.5,5.5,5.5,6.25,4.75,4.75,86.4,85,84,0
3.4,3.112,5,3,7,7,7,7,5.5,4.75,75.2,67,79,1
NA,NA,NA,3,NA,4,NA,5.5,NA,4.75,78.7,77,79,1
4.1,3.816,2,2,6.25,5.5,6.25,5.5,4,5.5,98.8,97,99,1
NA,3.4,NA,2,NA,5.5,NA,6.25,NA,4,87.3,87,85,1
3.97,3.356,2,2,6.25,7,6.25,6.25,4,4.75,85.9,82,87,0
4,3.254,1,2,7,7,7,7,5.5,6.25,93.7,90,95,1
4,3.277,2,2,5.5,7,7,6.25,4,5.5,85.4,87,82,1
3.2,2.568,2,2,4.75,4.75,4,5.5,4,4.75,64.4,76,76,1
3.9,3.336,3,2,5.5,6.25,7,6.25,4.75,4,88.5,84,88,1
3.9,3.768,2,2,5.5,5.5,4.75,5.5,4,4,93.7,91,97,1
3.9,2.49,3,5,6.25,7,6.25,7,5.5,5.5,58.7,57,43,0
