"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
3.9,2.036,3,2,7,5.5,6.25,4,6.25,4.75,84.1,92,92,1
3.86,2.69,6,7,5.5,4.75,6.25,5.5,5.5,4,72.4,57,76,1
3.78,3.506,2,1,7,7,7,6.25,6.25,5.5,98.4,91,96,1
3.7,2.928,4,3,7,6.25,7,5.5,5.5,6.25,92.5,91,96,1
4.037,3.32,1,NA,5.5,NA,6.25,NA,4.75,NA,78.7,80,82,NA
4,3.74,2,2,5.5,4.75,6.25,6.25,5.5,5.5,94.6,93,95,0
3.9,3.362,2,2,6.25,7,6.25,7,4,6.25,79.1,74,81,1
3.7,3.58,2,2,7,7,5.5,5.5,6.25,6.25,93.6,91,93,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,50,74,NA
NA,NA,4,NA,3.25,NA,7,NA,4.75,NA,85.3,91,86,1
NA,3.208,NA,3,NA,5.5,NA,6.25,NA,6.25,83.9,88,85,NA
3.994,2.95,4,4,6.25,6.25,6.25,6.25,3.25,4,75.1,72,76,1
3.5,2.859,2,4,7,7,6.25,6.25,5.5,5.5,77.7,69,92,0
4,2.863,1,2,6.25,7,7,7,5.5,5.5,85.7,92,94,1
NA,2.488,NA,NA,NA,NA,NA,NA,NA,NA,80.1,77,81,NA
3,2.012,2,1,6.25,7,6.25,7,4,4.75,74.7,69,90,1
3.85,3.33,2,1,3.25,5.5,3.25,5.5,1.75,5.5,91.7,87,96,0
3.8,2.517,4,NA,4,NA,5.5,NA,1.75,NA,75.1,70,83,NA
3.8,3.42,1,1,7,7,7,7,4.75,5.5,90.2,83,93,1
3.7,2.576,2,1,5.5,6.25,6.25,7,4.75,6.25,89.8,94,91,1
3.8,3.42,2,3,5.5,5.5,7,5.5,5.5,4.75,78.3,72,84,1
3.2,2.488,2,2,6.25,3.25,7,5.5,6.25,4.75,80.3,88,84,1
3.4,3.065,1,2,5.5,6.25,6.25,5.5,3.25,3.25,83.6,83,85,1
3.5,2.763,1,1,6.25,4.75,5.5,4,6.25,4,94.5,93,94,1
4.2,3.14,2,2,6.25,6.25,4,6.25,5.5,6.25,94.5,88,88,0
NA,2.928,NA,2,NA,5.5,NA,6.25,NA,2.5,69.9,69,78,1
NA,3.057,NA,2,NA,5.5,NA,4.75,NA,2.5,78.9,80,86,NA
3.8,3.511,3,2,6.25,5.5,6.25,5.5,5.5,5.5,88.6,85,95,NA
3.7,3.881,2,2,5.5,7,6.25,7,5.5,4.75,96.2,87,99,0
3.7,3.112,2,2,6.25,7,7,7,4.75,6.25,83.7,80,84,1
4.6,3.833,2,4,7,5.5,6.25,4,5.5,4.75,96.1,86,98,0
