model,term,estimate,std.error,conf.low,conf.high,statistic
CFA,approach =~ PES_3,1,0,1,1,NA
CFA,approach =~ PES_7,0.21499482811339504,NA,NA,NA,NA
CFA,approach =~ PES_18,-0.23817579213745288,NA,NA,NA,NA
CFA,approach =~ PES_15,-0.49927882034836024,NA,NA,NA,NA
CFA,avoidance =~ PES_4,1,0,1,1,NA
CFA,avoidance =~ PES_6,2032.4857190800508,NA,NA,NA,NA
CFA,avoidance =~ PES_12,3366.998541970873,NA,NA,NA,NA
CFA,avoidance =~ PES_17,-636.6655798357368,NA,NA,NA,NA
CFA,approach ~~ avoidance,1.6787100331534256e-5,NA,NA,NA,NA
CFA,PES_3 ~~ PES_3,1.0022746749451905,NA,NA,NA,NA
CFA,PES_7 ~~ PES_7,1.2032850044531018,NA,NA,NA,NA
CFA,PES_18 ~~ PES_18,1.10164120478094,NA,NA,NA,NA
CFA,PES_15 ~~ PES_15,0.990093020593037,NA,NA,NA,NA
CFA,PES_4 ~~ PES_4,1.2999876511251658,NA,NA,NA,NA
CFA,PES_6 ~~ PES_6,1.1440084881197154,NA,NA,NA,NA
CFA,PES_12 ~~ PES_12,1.0732695438441042,NA,NA,NA,NA
CFA,PES_17 ~~ PES_17,1.2409880581049122,NA,NA,NA,NA
CFA,approach ~~ approach,0.15559466077349926,NA,NA,NA,NA
CFA,avoidance ~~ avoidance,1.7620190055356067e-8,NA,NA,NA,NA
rlm,(Intercept),3.471153846153843,0.04687919854936281,3.379095447432761,3.5632122448749253,74.04464994210153
rlm,PA_profileLight PA,0.048893323657473786,0.059542258093761236,-0.06803198876179213,0.1658186360767397,0.8211533324866759
rlm,PA_profileModerate PA,0.03405448717948653,0.060709617950048485,-0.08516321253364316,0.15327218689261624,0.560940561469294
rlm,PA_profileVigorous PA,-0.09865384615384559,0.0710958247033561,-0.23826732037000553,0.040959628062314346,-1.3876180009933636
