"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
9.364,37.405,174.152,26,4,2,4,3,1,2,4,1,3,2,3,2,2,1,4,3,2,5,"Female","Telfer School of Management","B.Com, Marketing","Other","No","Light PA"
56.681,231.661,189.269,22,4,4,3,1,3,2,1,2,1,3,2,2,4,3,5,2,2,4,"Female","Faculty of Social Sciences","biomedical science","2nd year","Yes","Inactive"
7.298,138.379,82.679,18,2,3,4,2,4,3,3,2,4,3,4,1,5,2,4,4,3,5,"Female","Faculty of Science","Nursing","1st year","Yes","Moderate PA"
1.911,116.992,120.887,23,5,3,2,3,4,4,3,2,5,2,4,1,2,4,4,5,3,3,"Female","Telfer School of Management","Human Kinetics","2nd year","Yes","Vigorous PA"
0.795,131.214,55.356,22,3,2,2,3,3,2,1,4,2,3,1,1,3,1,3,2,2,4,"Female","Faculty of Arts","Health Sciences","1st year","No","Moderate PA"
12.091,67.393,166.8,26,4,2,2,4,5,4,3,2,5,2,4,1,3,2,4,2,3,4,"Female","Faculty of Science","Finance","2nd year","Yes","Moderate PA"
4.706,211.801,55.356,27,2,2,4,2,5,1,3,2,5,3,2,5,4,2,2,3,1,5,"Female","Telfer School of Management","Psychology","2nd year","Yes","Moderate PA"
5.629,43.036,300.143,21,4,3,5,4,3,4,5,1,4,2,3,2,3,3,4,3,2,4,"Female","Faculty of Science","Nursing","1st year","Yes","Inactive"
13.948,70.308,144.417,24,2,3,3,4,3,2,5,2,4,3,5,3,3,2,3,4,3,5,"Female","Faculty of Arts","Criminology","2nd year","No","Moderate PA"
128.702,341.046,81.719,19,4,2,4,5,4,4,1,2,2,3,3,4,2,3,4,4,3,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Vigorous PA"
5.228,58.461,107.891,18,3,3,5,4,4,2,4,2,2,1,3,2,4,2,2,4,3,5,"Female","Faculty of Arts","bachelor or commerce in Human resource management","1st year","Yes","Vigorous PA"
