"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
9.364,64.074,67.127,20,5,1,5,1,5,1,5,1,4,1,4,1,4,1,5,1,1,5,"Female","Faculty of Health Sciences","Honours BSc in Biomedical Science","2nd year","No","Moderate PA"
56.681,304.95,306.479,26,4,2,3,2,4,2,3,2,3,2,2,3,3,2,4,3,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
7.298,98.616,99.522,21,4,2,5,2,5,2,5,1,4,1,4,1,5,2,5,3,1,4,"Female","Faculty of Arts","psychology and linguistics","1st year","Yes","Moderate PA"
1.911,137.222,138.656,33,4,2,4,2,4,2,3,3,3,2,4,2,4,2,4,5,2,4,"Male","Telfer School of Management","BCom (Finance)","1st year","Yes","Moderate PA"
0.795,100.669,102.345,26,4,2,4,1,4,2,4,2,4,1,4,2,4,1,4,2,1,4,"Male","Telfer School of Management","finance","2nd year","No","Moderate PA"
12.091,137.27,138.301,21,3,3,4,2,4,2,3,2,3,3,4,2,4,2,4,2,2,4,"Female","Faculty of Arts","Linguistics","1st year","Yes","Light PA"
4.706,47.357,48.161,18,4,2,4,2,4,2,4,2,4,2,3,2,3,2,4,2,2,4,"Male","Faculty of Health Sciences","HSS","1st year","Yes","Moderate PA"
5.629,34.901,35.542,23,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,"Female","Faculty of Social Sciences","poli sci","2nd year","No","Light PA"
13.948,126.517,128.69,25,2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,3,3,2,"Female","Faculty of Arts","Interdisciplinary Studies","2nd year","No","Inactive"
128.702,228.394,230.331,21,4,2,2,2,5,2,2,4,2,1,2,3,2,2,4,4,2,4,"Female","Faculty of Science","biomedical sciences","3rd year","No","Inactive"
5.228,87.078,87.525,20,4,2,4,2,4,2,3,2,3,1,2,3,2,2,4,2,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Light PA"
7.916,93.152,94.241,19,5,1,5,1,5,1,5,1,4,1,3,1,4,1,1,3,1,5,"Male","Faculty of Arts","Psychology","1st year","Yes","Moderate PA"
24.492,492.1,493.229,27,4,1,4,1,4,1,5,2,4,1,4,1,4,1,4,1,1,4,"Female","Telfer School of Management","Management","5th year","Yes","Moderate PA"
3.742,33.383,34.579,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Perfer not to disclose","Faculty of Health Sciences","interdisciplinary health sciences","1st year","Yes","Light PA"
1.299,121.872,122.772,31,3,2,4,2,4,2,3,2,3,2,3,2,3,2,3,3,2,4,"Female","Faculty of Health Sciences","Honours Health Science","1st year","Yes","Moderate PA"
