"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
415,6,"Varied",2,34,27.26283836,30.86615181,86.7798966,84.71422112
463,51,"Varied",2,4,15.50718784,18.10942014,71.16673923,84.2228902
179,61,"Varied",2,2,27.30041695,42.546267,74.5553539,90.78519349
526,21,"Fixed",2,28,30.63859558,51.65722275,65.80577109,81.62464998
195,6,"Fixed",1,6,38.16045761,36.464502,56.57197589,91.57949605
938,53,"Varied",2,8,55.547874,16.48212814,109.4743526,94.85076976
1142,12,"Fixed",1,14,35.60828781,27.14801725,81.53406845,57.52282114
1323,56,"Varied",2,40,23.89334488,35.46110534,97.55382295,88.60757697
1253,6,"Varied",2,10,16.790889,30.09789022,76.53464876,83.35488399
1268,12,"Varied",2,10,25.16160202,17.988763,93.26596111,76.7244692
1038,6,"Fixed",2,10,36.40681839,28.58375168,85.6504994,92.49493881
1398,55,"Varied",1,30,50.388972,41.76377106,86.25843775,81.95116885
665,57,"Varied",1,12,48.65098572,29.89121183,76.8539328,94.85076976
602,71,"Varied",2,22,26.518452,30.89036624,118.6113965,89.0990351
709,15,"Fixed",2,18,36.30034637,40.72620137,76.5302875,96.14932909
1011,74,"Varied",2,6,28.40270424,31.658875,97.20980147,121.5746213
1115,74,"Varied",2,12,21.05620575,30.51542346,83.13012089,104.1968779
953,53,"Varied",1,28,26.70543289,26.76806195,105.9267391,96.14932909
348,21,"Fixed",1,20,17.981073,30.86615181,102.0474832,92.49493881
1017,25,"Varied",1,4,13.741854,16.48212814,100.1657034,71.30196516
1379,63,"Varied",1,16,28.891219,20.53011386,91.21415493,76.7244692
840,51,"Fixed",1,6,21.092148,24.83142853,89.32761148,107.4699378
26,6,"Fixed",1,30,15.62618542,27.47995631,102.9947541,90.78519349
519,14,"Varied",2,16,24.43196297,27.71795019,89.69762423,72.82909433
1450,25,"Varied",1,16,16.48421669,32.46112824,91.64717002,82.52759993
