"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
415,12,"Fixed",2,34,32.727396,39.28418,83.30935252,88.70503597
463,14,"Varied",1,10,20.661637,26.27537282,78.63499079,83.60241488
179,6,"Fixed",2,38,22.69656,24.83142789,91.40255686,90.3243744
526,16,"Fixed",2,18,46.201848,42.546267,108.5920135,102.7201656
195,6,"Varied",1,30,21.809568,25.49014918,85.56077034,87.99787063
938,54,"Varied",2,2,25.39020157,22.89335251,110.906437,90.96024107
1142,59,"Varied",1,10,39.23143387,45.949543,85.3793777,84.71422112
1323,64,"Fixed",1,12,41.44227219,50.12487666,82.6780532,84.39983331
1253,62,"Fixed",1,32,35.46110535,43.83264796,80.90112508,84.96332945
1268,62,"Varied",2,22,33.98929977,45.09568786,75.37150752,79.79075041
1038,57,"Fixed",2,2,17.72429085,19.00402959,93.26596111,85.12907862
1398,70,"Fixed",1,4,30.48828316,35.46110534,85.97668591,84.2228902
665,21,"Varied",1,16,17.961588,16.11586253,111.4528494,96.14932909
602,19,"Fixed",1,10,43.271067,48.93699392,88.4219964,87.90751323
709,24,"Varied",2,24,20.60952,26.796724,76.91059549,86.12891449
1011,56,"Fixed",1,28,23.14178467,30.86615181,74.97463504,80.37301348
1115,58,"Varied",2,36,36.6385498,47.52990723,77.08525419,72.82909433
953,54,"Varied",2,32,21.27541161,22.89335251,92.93270439,90.96024107
348,10,"Varied",1,20,29.6751,28.58375168,103.8180724,95.91078598
1017,56,"Fixed",1,40,22.70337486,30.86615181,73.55427719,80.37301348
1379,65,"Varied",1,6,22.38396263,27.71795019,80.75619762,90.78519349
840,52,"Fixed",1,6,19.7973423,24.59480095,80.49401311,81.62464998
26,1,"Varied",2,12,48.921522,53.64562352,91.1938734,92.86918546
519,16,"Fixed",2,4,50.388972,42.546267,118.4333563,102.7201656
1450,71,"Fixed",2,28,35.60828781,43.96104177,80.99964509,82.52759993
211,7,"Fixed",1,24,28.152213,32.37629445,86.95316582,95.64948962
932,54,"Fixed",1,30,18.56979561,27.14801725,68.4020326,76.7244692
593,18,"Varied",1,32,15.773457,31.658875,49.82317597,75.75244635
555,16,"Varied",1,36,35.623164,49.93678,71.3365259,76.38180235
373,11,"Fixed",1,30,13.741854,17.96811,76.47912886,78.87477314
844,52,"Fixed",1,14,21.7952404,24.59480095,88.61726689,81.62464998
1167,60,"Fixed",1,20,28.61564636,46.85350291,61.07472139,68.79695221
544,16,"Varied",1,14,38.395014,49.93678,76.88724423,76.38180235
490,15,"Fixed",1,24,28.966375,26.2983373,110.1452714,103.7139783
905,53,"Varied",1,16,19.33388138,16.48212814,117.3020936,111.9233709
937,54,"Fixed",1,40,18.80778885,27.14801725,69.27868314,76.7244692
1047,57,"Fixed",2,20,13.57192135,19.00402959,71.41601882,85.12907862
923,54,"Fixed",1,12,20.55516624,27.14801725,75.71516568,76.7244692
956,54,"Varied",2,38,18.78899956,22.89335251,82.07185712,90.96024107
309,9,"Varied",2,22,25.233618,30.89036624,81.68766212,88.29403831
1159,60,"Fixed",1,4,35.36089706,46.85350291,75.47119183,68.79695221
1248,62,"Fixed",1,22,35.28574371,43.83264796,80.50105424,84.96332945
166,6,"Fixed",2,12,22.820478,24.83142789,91.90159381,90.3243744
217,7,"Fixed",1,36,32.326293,32.37629445,99.84556154,95.64948962
1314,63,"Varied",1,34,23.81818962,30.09789022,79.13574489,81.95116885
581,18,"Varied",1,8,30.565353,31.658875,96.54592275,75.75244635
72,3,"Varied",2,24,35.949264,45.8714002,78.36966791,79.95284326
588,18,"Varied",1,22,12.088527,31.658875,38.18369099,75.75244635
141,5,"Varied",2,2,27.11847687,26.94890404,100.6292383,88.10745431
722,25,"Fixed",2,10,48.217146,47.249716,102.0474832,92.49493881
859,52,"Varied",2,4,24.01234245,25.67621231,93.5198002,84.40930178
153,5,"Varied",2,26,24.535764,26.94890404,91.04549842,88.10745431
294,9,"Fixed",1,32,29.05551,32.53608386,89.30241921,89.83763182
277,8,"Varied",1,38,15.463662,20.5638663,75.19822282,85.25848274
1487,72,"Fixed",1,22,23.71171761,32.70329857,72.50558399,57.52282114
41,3,"Fixed",1,2,38.434146,39.69615173,96.82083609,88.60757697
431,12,"Varied",1,26,32.355642,36.464502,88.73189054,93.4340905
90,4,"Fixed",2,20,45.940968,56.34573237,81.53406845,84.11297112
316,9,"Varied",2,36,28.853328,30.89036624,93.40558729,88.29403831
1247,62,"Fixed",1,20,36.16256332,43.83264796,82.50143444,84.96332945
528,16,"Fixed",2,22,39.71898,42.546267,93.35479421,102.7201656
1140,59,"Varied",1,6,43.31490707,45.949543,94.26624128,84.71422112
774,50,"Fixed",1,34,14.24832535,14.14185397,100.7528813,101.029673
747,25,"Varied",1,20,41.499486,43.3147761,95.80907425,93.06941355
456,14,"Fixed",2,36,19.985233,26.45282428,75.55046974,74.10977839
598,19,"Fixed",1,2,47.498592,48.93699392,97.06070643,87.90751323
1063,57,"Varied",1,12,16.48421669,16.55519708,99.57125011,102.614751
1183,60,"Varied",2,12,33.12500763,40.72620137,81.33586368,80.97062644
752,25,"Varied",1,30,38.812422,43.3147761,89.60550069,93.06941355
1233,61,"Varied",1,32,31.65320206,24.42152468,129.6118996,116.019833
374,11,"Fixed",1,32,13.285314,17.96811,73.93829401,78.87477314
34,1,"Varied",2,28,50.304186,53.64562352,93.77127657,92.86918546
516,15,"Varied",2,38,29.830669,22.8495121,130.5527613,123.3584165
13,1,"Fixed",1,26,51.403143,40.44618225,127.0902225,121.5746213
69,3,"Varied",2,18,37.286274,45.8714002,81.28435984,79.95284326
755,25,"Varied",1,36,37.429758,43.3147761,86.4133706,93.06941355
409,12,"Fixed",2,22,30.901236,39.28418,78.6607637,88.70503597
1332,64,"Fixed",1,30,42.51324463,50.12487666,84.81466183,84.39983331
1302,63,"Varied",1,10,24.43196297,30.09789022,81.17500195,81.95116885
1113,58,"Varied",2,32,31.27742195,47.52990723,65.80577109,72.82909433
928,54,"Fixed",1,22,20.76810837,27.14801725,76.4995402,76.7244692
1006,56,"Fixed",1,18,23.76808548,30.86615181,77.00372118,80.37301348
537,16,"Fixed",2,40,40.30596,42.546267,94.73442171,102.7201656
983,55,"Varied",1,12,22.34638405,26.76806195,83.48151648,86.71502142
291,9,"Fixed",1,26,29.303346,32.53608386,90.06414579,89.83763182
1448,71,"Fixed",2,24,34.70641327,43.96104177,78.94811377,82.52759993
1310,63,"Varied",1,26,24.06870842,30.09789022,79.96809161,81.95116885
671,21,"Varied",1,28,12.659202,16.11586253,78.55119127,96.14932909
121,5,"Fixed",1,2,24.764034,24.83142853,99.72859183,91.81754314
1134,59,"Fixed",2,34,36.07487869,43.74079132,82.47422509,84.52606078
1182,60,"Varied",2,10,32.89327621,40.72620137,80.76686531,80.97062644
1088,58,"Fixed",1,22,40.0080452,51.65722275,77.44908276,77.44301849
1507,72,"Varied",2,22,23.89334488,32.30873045,73.95321497,73.72932027
1501,72,"Varied",2,10,25.19604874,32.30873045,77.98526402,73.72932027
480,15,"Fixed",1,4,25.033211,26.2983373,95.18932971,103.7139783
67,3,"Varied",2,14,38.08848,45.8714002,83.033175,79.95284326
1014,56,"Fixed",1,34,24.16265488,30.86615181,78.2820451,80.37301348
1109,58,"Varied",2,24,31.03942871,47.52990723,65.30504796,72.82909433
165,6,"Fixed",2,10,21.548688,24.83142789,86.77989881,90.3243744
1075,57,"Varied",1,36,16.00196457,16.55519708,96.65825476,102.614751
1098,58,"Varied",2,2,40.34624481,47.52990723,84.88601633,72.82909433
1202,61,"Fixed",2,10,28.13965988,34.23146947,82.20406636,83.35488399
1386,65,"Varied",1,20,24.03113174,27.71795019,86.69880557,90.78519349
236,7,"Varied",2,36,26.074956,34.73617172,75.06571596,86.00450688
610,19,"Fixed",1,26,41.855629,48.93699392,85.5296283,87.90751323
330,10,"Fixed",2,24,27.275004,25.687984,106.1780636,94.91029113
726,25,"Fixed",2,18,46.201848,47.249716,97.78227662,92.49493881
127,5,"Fixed",1,14,23.694426,24.83142853,95.42111512,91.81754314
212,7,"Fixed",1,26,30.937107,32.37629445,95.55481109,95.64948962
686,24,"Fixed",1,18,22.253064,27.21630605,81.763719,81.37311272
814,51,"Fixed",2,34,28.60938454,32.46112824,88.1342889,89.43758732
1334,64,"Fixed",1,34,40.25230026,50.12487666,80.30403852,84.39983331
931,54,"Fixed",1,28,14.57400131,27.14801725,53.68348331,76.7244692
878,53,"Fixed",2,2,20.73052979,20.53011386,100.9762047,91.70225833
243,8,"Fixed",2,10,19.194246,18.10942014,105.9903953,104.1968779
847,52,"Fixed",1,20,19.17730522,24.59480095,77.97300437,81.62464998
1137,59,"Fixed",2,40,36.85149384,43.74079132,84.24971914,84.52606078
983,55,"Varied",1,12,22.34638405,26.76806195,83.48151648,86.71502142
