"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
239,8,"Fixed",1,40,18.313776,20.5638663,87.75768981,94.91029113
159,5,"Varied",2,22,22.050882,26.94890404,82.10107896,88.10745431
1492,72,"Fixed",1,32,21.19399261,32.70329857,63.01660322,57.52282114
469,14,"Varied",2,22,19.922603,22.89335251,92.60080321,92.86918546
1004,56,"Fixed",1,14,23.56140518,30.86615181,78.55309459,80.37301348
806,51,"Varied",2,20,29.35468102,32.46112824,88.31972367,94.91029113
1177,60,"Varied",1,32,31.12710953,43.74079132,66.66221222,79.95284326
1406,70,"Fixed",1,24,27.06242371,35.46110534,78.35148391,83.35488399
1259,62,"Varied",2,8,43.9850502,43.83264796,95.80112243,93.06941355
1134,59,"Varied",2,4,38.37340164,43.74079132,85.13118713,80.97062644
931,54,"Varied",1,12,21.05620575,20.53011386,95.14948663,91.70225833
952,54,"Varied",2,30,21.27541161,25.67621231,84.03122037,88.54136496
1458,71,"Varied",1,4,42.04664993,41.76377106,98.00049726,80.97062644
111,4,"Varied",1,14,43.488696,54.94458962,80.15664736,84.71422112
285,9,"Fixed",2,28,29.851194,32.53608386,91.1248324,90.3256497
484,15,"Varied",2,28,27.131316,26.2983373,97.95406255,103.7139783
1523,73,"Fixed",2,20,39.06859589,40.65104548,94.7360346,97.06399015
17,1,"Fixed",1,32,52.407531,40.44618225,122.5913108,121.5746213
2,1,"Fixed",1,4,43.550655,40.44618225,107.4981879,90.91947836
1317,63,"Varied",1,2,22.86621284,30.09789022,75.97280964,68.79695221
1273,62,"Varied",2,36,32.11040115,45.09568786,69.84360287,79.95284326
1129,59,"Varied",2,22,35.65525818,43.74079132,82.60309742,86.5506652
794,50,"Varied",2,10,15.6762886,20.70965322,82.95683175,84.40930178
478,14,"Fixed",1,14,24.024868,26.2983373,89.42400473,88.70503597
1335,64,"Fixed",1,4,48.76371765,50.12487666,94.08955997,84.39983331
656,21,"Fixed",2,40,18.630093,22.89335251,89.01769672,85.12907862
966,55,"Varied",2,24,22.7096386,22.89335251,92.85063122,90.96024107
164,6,"Fixed",1,16,21.692172,24.83142853,87.43652415,89.83763182
644,21,"Fixed",2,2,16.060425,17.988763,97.14786392,104.1968779
220,7,"Fixed",1,28,30.767535,32.37629445,96.72318445,95.64948962
464,14,"Fixed",1,18,21.651191,26.45282428,81.07252961,87.99787063
889,53,"Varied",2,2,19.4841938,20.70965322,90.11489905,84.40930178
64,3,"Varied",1,40,32.270856,39.69615173,83.30935252,86.00450688
1424,70,"Varied",2,24,30.32231522,35.46110534,85.22625648,87.76181066
525,16,"Varied",2,24,30.601018,22.8495121,137.2542356,107.4699378
877,52,"Fixed",2,20,20.51758766,24.83142789,82.02591525,81.62464998
340,10,"Varied",1,20,29.779452,28.58375168,103.8928426,90.43184777
1532,73,"Fixed",2,38,44.40467072,41.76377106,108.5920135,102.7201656
743,25,"Varied",1,6,42.601704,43.3147761,94.48403912,87.90751323
590,18,"Varied",1,12,20.638869,27.21630605,78.63499079,83.60241488
359,11,"Fixed",2,28,13.82664,17.96811,75.89592107,78.87477314
1418,70,"Varied",2,6,40.65000153,43.96104177,90.4594536,84.71422112
374,11,"Varied",1,20,12.607026,17.96811,73.09284592,78.87477314
1082,58,"Varied",1,26,42.63850403,51.65722275,77.34583568,77.44301849
1203,61,"Varied",2,6,27.25031281,34.23146947,77.52028058,68.79695221
489,15,"Fixed",1,22,29.135476,26.2983373,112.7431317,103.7139783
1095,58,"Varied",1,34,37.7596283,47.52990723,79.71929593,76.38180235
264,8,"Fixed",2,40,16.833282,18.10942014,89.07441016,104.1968779
1231,61,"Varied",1,40,26.88705826,24.42152468,110.906437,116.019833
233,7,"Varied",1,4,27.216306,34.73617172,78.35148391,68.79695221
325,10,"Varied",1,12,28.592448,28.58375168,97.88561107,90.43184777
209,7,"Varied",2,18,31.145811,32.37629445,96.0584203,94.91029113
1557,74,"Fixed",1,6,21.82655525,27.04780897,80.06230515,68.79695221
1219,61,"Varied",1,6,16.070858,16.55519708,97.15005797,102.614751
735,25,"Varied",2,32,40.99077,43.3147761,94.99501801,92.49493881
31,1,"Varied",2,26,39.97986,45.8714002,90.04089279,86.00450688
582,18,"Fixed",1,2,32.352381,36.464502,99.02242985,90.78519349
1473,71,"Varied",1,32,33.56654739,41.76377106,81.61266811,87.76181066
947,54,"Varied",2,26,19.68460846,17.988763,114.690405,111.9233709
894,53,"Varied",2,2,21.26288414,16.48212814,124.1585594,111.9233709
571,18,"Fixed",2,20,28.931592,34.047014,84.97541664,86.00450688
