...1,sub_num,condition,session,repetition,peak_force,peak_force_pretest,peak_force_percent,mean_peak
1,1,Fixed,1,2,44.98712921,43.2167867,104.0964233,82.08009458
2,1,Fixed,1,4,36.68239212,43.2167867,84.87996198,82.08009458
3,1,Fixed,1,6,35.76173019,43.2167867,82.74962792,82.08009458
4,1,Fixed,1,8,34.46529007,43.2167867,79.7497748,82.08009458
5,1,Fixed,1,10,35.74294281,43.2167867,82.70615549,82.08009458
6,1,Fixed,1,12,34.57175827,43.2167867,79.99613323,82.08009458
7,1,Fixed,1,14,34.09577179,43.2167867,78.89474066,82.08009458
8,1,Fixed,1,16,32.3296051,43.2167867,74.80797988,82.08009458
9,1,Fixed,1,18,33.51331329,43.2167867,77.54698082,82.08009458
10,1,Fixed,1,20,33.06237793,43.2167867,76.50355441,82.08009458
11,1,Fixed,1,22,30.81395912,43.2167867,71.3009029,82.08009458
12,1,Fixed,1,24,32.48617935,43.2167867,75.17027949,82.08009458
13,1,Fixed,1,26,32.78054047,43.2167867,75.85140629,82.08009458
14,1,Fixed,1,28,34.15840149,43.2167867,79.0396605,82.08009458
15,1,Fixed,1,30,36.68239212,43.2167867,84.87996198,82.08009458
16,1,Fixed,1,32,39.29406357,43.2167867,90.92314947,82.08009458
17,1,Fixed,1,34,36.45066071,43.2167867,84.34375502,82.08009458
18,1,Fixed,1,36,36.04982758,43.2167867,83.41626096,82.08009458
19,1,Fixed,1,38,38.75544357,43.2167867,89.67682822,82.08009458
20,1,Fixed,1,40,36.7638092,43.2167867,85.06835424,82.08009458
21,1,Varied,2,2,43.54037476,44.77627563,97.239831,87.0962308
22,1,Varied,2,4,43.94747162,44.77627563,98.14901082,87.0962308
23,1,Varied,2,6,36.563392639999996,44.77627563,81.65795864,87.0962308
24,1,Varied,2,8,41.88694382,44.77627563,93.54718146,87.0962308
25,1,Varied,2,10,34.67196655,44.77627563,77.43378845,87.0962308
26,1,Varied,2,12,39.16254044,44.77627563,87.4627018,87.0962308
27,1,Varied,2,14,39.72620773,44.77627563,88.72155437,87.0962308
28,1,Varied,2,16,42.51950836,44.77627563,94.95990401,87.0962308
29,1,Varied,2,18,36.66360092,44.77627563,81.88175636,87.0962308
30,1,Varied,2,20,38.22308731,44.77627563,85.36459714,87.0962308
31,1,Varied,2,22,40.12704086,44.77627563,89.61674524,87.0962308
