model,term,estimate,std.error,conf.low,conf.high,statistic
mixed1,(Intercept),93.01115187009732,0.6195920398667603,91.79677378685076,94.22552995334388,150.1167637500618
mixed1,repetition_centered,-0.15132821362587076,0.6097360877656219,-1.3463889857208429,1.0437325584691015,-0.24818641484779594
mixed1,conditionVaried,-1.344819465346208,0.8816932482186389,-3.072906477266874,0.38326754657445816,-1.5252690979127526
mixed1,repetition_centered:conditionVaried,-0.3128515132939068,0.833821722374028,-1.9471120586741568,1.3214090320863434,-0.3752019225442664
mixed1,sd__(Intercept),2.971534631384063,NA,NA,NA,NA
mixed1,cor__(Intercept).repetition,-0.9999722590262036,NA,NA,NA,NA
mixed1,cor__(Intercept).conditionVaried,-0.9998805671513598,NA,NA,NA,NA
mixed1,sd__repetition,0.08491707123647595,NA,NA,NA,NA
mixed1,cor__repetition.conditionVaried,0.9997383802599591,NA,NA,NA,NA
mixed1,sd__conditionVaried,1.7048957670377671,NA,NA,NA,NA
mixed1,sd__Observation,15.393372097817604,NA,NA,NA,NA
quadrartic1,(Intercept),93.45126997533171,0.9082494287644661,91.67113380597428,95.23140614468915,102.89163638941983
quadrartic1,repetition_centered,-0.14622322308669058,0.6081640755855684,-1.3382029079254996,1.0457564617521182,-0.24043383842740157
quadrartic1,I(repetition_centered^2),-0.440467260569064,0.6572861371532746,-1.7287244169269362,0.8477898957888081,-0.670130154390203
quadrartic1,conditionVaried,-1.5991291281269608,1.2870970463450535,-4.1217929835711455,0.9235347273172241,-1.2424308894717606
quadrartic1,repetition_centered:conditionVaried,-0.3176814742052152,0.8345437168114898,-1.9533571026799288,1.3179941542694984,-0.3806648684852233
quadrartic1,I(repetition_centered^2):conditionVaried,0.2556885616858227,0.9387568700167281,-1.584241093786513,2.0956182171581585,0.2723693107899881
quadrartic1,sd__(Intercept),1.36166327527621,NA,NA,NA,NA
quadrartic1,cor__(Intercept).conditionVaried,-1,NA,NA,NA,NA
quadrartic1,cor__(Intercept).repetition_centered,-0.9926739031032531,NA,NA,NA,NA
quadrartic1,cor__(Intercept).I(repetition_centered^2),-0.9844737583116132,NA,NA,NA,NA
quadrartic1,sd__conditionVaried,1.7584715829833646,NA,NA,NA,NA
quadrartic1,cor__conditionVaried.repetition_centered,0.9926739031032531,NA,NA,NA,NA
quadrartic1,cor__conditionVaried.I(repetition_centered^2),0.9844737583116132,NA,NA,NA,NA
quadrartic1,sd__repetition_centered,0.9488462924366782,NA,NA,NA,NA
quadrartic1,cor__repetition_centered.I(repetition_centered^2),0.9560531090931788,NA,NA,NA,NA
quadrartic1,sd__I(repetition_centered^2),0.1508738495703638,NA,NA,NA,NA
quadrartic1,sd__Observation,15.401425716253081,NA,NA,NA,NA
