"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
239,8,"Fixed",2,26,21.07499504,27.72630119,79.36261218,87.16822512
159,5,"Fixed",1,16,22.42153931,24.55568511,92.17579891,85.948354
469,12,"Varied",2,28,32.87761688,44.77627563,68.88299232,79.45739057
1004,29,"Fixed",1,2,16.85373306,15.51971404,103.1298295,123.8830809
806,18,"Varied",2,40,16.01449013,27.72630119,53.194522,74.34488935
1177,32,"Fixed",1,6,19.89278144,24.11460821,81.28119506,88.421638
1259,33,"Varied",1,30,25.93508339,24.55568511,100.8878142,95.22103858
1134,30,"Fixed",1,22,20.17938614,22.87206536,92.34477031,95.98112632
931,24,"Varied",1,14,18.01865005,26.4955833,70.01749455,79.74097177
952,29,"Fixed",1,2,27.63861847,25.40690358,155.4963579,127.9864648
111,4,"Fixed",2,4,37.1583786,53.73236465,58.51424803,69.20397959
285,4,"Varied",2,40,35.79617691,41.4527092,75.39236124,80.89323208
484,13,"Varied",2,28,27.98934746,25.85728185,126.7296693,123.8830809
17,3,"Fixed",1,2,15.85270583,16.06668282,93.28222396,92.10375233
2,2,"Fixed",2,24,27.0250071,24.16682943,133.0694576,127.9864648
1317,35,"Fixed",1,26,19.42156219,20.30047035,97.54071083,93.51720417
1273,34,"Fixed",1,10,16.5906868,16.35060533,99.06456597,88.59066225
1129,30,"Fixed",1,16,10.8135402,15.51971404,79.16380838,83.8193647
794,26,"Fixed",1,2,21.03115463,15.51971404,134.5476649,127.9864648
478,8,"Varied",2,40,35.12603378,41.45375315,78.2767284,81.72674937
1335,33,"Varied",1,36,19.14599037,22.18262124,80.31714104,85.40678922
656,21,"Fixed",1,2,24.47580338,19.48640835,136.82432,152.5423441
966,29,"Fixed",1,2,16.85999584,12.32267157,135.713662,152.5423441
164,5,"Fixed",2,22,23.63656235,25.44178018,93.51741663,90.72764679
644,16,"Varied",2,40,17.5761009,19.89755122,87.96116415,95.11574296
220,4,"Varied",2,40,38.43289948,55.38997269,53.194522,69.20397959
464,15,"Fixed",2,2,23.20694659,23.55514272,99.77411448,102.7704987
889,24,"Fixed",1,34,26.08539581,24.11460821,112.8378452,91.0912509
64,4,"Fixed",2,2,23.22320366,23.41526922,101.3393556,96.20387035
