"...1","sub_num","condition","session","repetition","peak_force","peak_force_pretest","peak_force_percent","mean_peak"
239,7,"Fixed",1,16,29.29518318,36.91307831,78.75179997,76.13788766
159,5,"Fixed",1,28,17.74307823,18.53847949,97.73648562,105.8834485
469,13,"Fixed",1,6,33.45068359,36.11454646,90.82027848,81.72674937
1004,26,"Varied",1,6,22.60290012,24.55568511,91.91399954,74.34488935
806,21,"Fixed",2,26,21.10630989,26.39436976,79.75072885,81.72674937
1177,31,"Varied",2,24,31.22191929,31.06081751,95.09780534,88.421638
1259,33,"Fixed",1,8,12.27537388,7.379482401,165.5604866,152.5423441
1134,30,"Varied",1,22,17.52534732,19.48640835,91.66400279,92.21923093
931,24,"Fixed",1,34,24.55943318,26.4955833,92.34477031,85.40678922
952,25,"Fixed",1,2,17.16061974,17.0823675,101.557519,94.98132155
111,4,"Fixed",2,36,21.28167343,19.2837766,112.8378452,105.8834485
285,8,"Varied",1,14,33.85151672,55.38997269,59.55449906,69.20397959
484,13,"Varied",2,20,35.19805908,42.64267858,81.65795864,83.8193647
17,1,"Fixed",1,32,36.66360092,43.2167867,83.53226558,82.08009458
2,1,"Fixed",1,14,36.68239212,43.2167867,81.65795864,83.53457134
1317,35,"Varied",1,14,22.3896072,22.18262124,100.4091789,89.62137362
1273,34,"Fixed",1,20,17.47439651,20.34860547,85.7363224,86.02601779
1129,30,"Varied",1,22,17.86202189,19.48640835,89.83317177,92.21923093
794,21,"Fixed",1,20,21.14388847,23.55514272,89.76336388,87.72135164
478,13,"Fixed",1,4,34.70954514,36.11454646,101.4856363,83.53457134
1335,35,"Varied",1,30,21.85096774,22.18262124,97.44657218,89.62137362
656,17,"Varied",2,16,13.20240402,15.51971404,88.0145284,94.02945976
966,25,"Varied",2,22,21.31105953,15.68795363,135.0311845,123.8830809
164,5,"Varied",2,2,21.5447197,25.20231183,84.18873718,87.13966255
644,17,"Varied",2,26,13.64707661,15.51971404,85.99676953,94.02945976
220,6,"Varied",1,22,37.1583786,36.91307831,86.87550148,79.74097177
464,13,"Fixed",1,40,35.3671608,36.11454646,96.82061966,91.08387589
889,23,"Varied",2,30,20.10423088,30.44235547,70.26453586,74.27581966
64,3,"Fixed",1,14,20.84952736,21.23783302,95.69562635,96.61158139
525,14,"Varied",1,38,26.47370148,23.41526922,115.9504265,117.814729
877,23,"Varied",1,36,16.45290184,20.30047035,83.04644084,87.56736073
340,9,"Varied",2,12,30.7450676,31.77846209,97.97004389,93.78793882
743,20,"Fixed",2,8,24.25033569,26.39436976,95.18473731,87.16822512
590,16,"Fixed",2,36,18.07501793,25.35471153,70.6710611,79.45739057
359,10,"Fixed",2,10,25.75345612,31.0102005,87.6815832,88.421638
374,10,"Varied",1,14,29.36094475,35.928744,81.0923843,83.53457134
1082,29,"Fixed",2,26,17.63173707,21.11145551,85.64095719,95.22103858
1203,32,"Fixed",2,30,13.04247245,16.56529327,86.62251929,119.1160736
489,13,"Varied",2,18,35.47363281,42.64267858,82.54185772,83.8193647
1095,29,"Varied",2,18,17.80843927,19.71224948,88.44881576,95.22103858
264,8,"Fixed",2,2,44.24809647,53.73236465,96.05404614,69.20397959
1231,33,"Varied",2,6,16.57986685,12.32267157,120.5486856,108.4290967
233,7,"Fixed",1,26,27.90166473,36.98719152,74.20467456,76.13788766
325,9,"Varied",2,4,30.98932457,31.77846209,97.58987361,93.78793882
209,6,"Varied",1,24,35.2325058,41.4527092,86.19560949,83.72910025
1219,32,"Varied",2,6,10.7805152,12.32267157,99.45255048,152.5423441
735,19,"Varied",2,36,15.50718784,18.10215759,87.46395962,91.41679198
31,1,"Varied",2,24,38.20429993,44.77627563,90.3104818,87.0962308
582,16,"Varied",2,28,19.60318947,24.5426089,80.926084,86.40311549
947,25,"Fixed",1,30,17.34842861,17.0823675,102.5479138,94.98132155
894,23,"Varied",2,8,27.87661362,30.44235547,88.34462087,76.7850369
571,15,"Varied",2,8,21.19399261,24.5426089,85.36108721,86.40311549
242,7,"Varied",2,10,29.48307228,36.91307831,78.2767284,79.74097177
316,9,"Fixed",1,28,29.40478516,27.72630119,107.7253178,102.7728011
124,4,"Varied",1,12,21.07499504,16.35060533,125.983144,127.9864648
110,4,"Fixed",2,16,22.23365021,21.23783302,104.6593899,104.3718668
1348,36,"Varied",1,18,18.62962944,18.55650301,98.47353304,89.62137362
1009,26,"Varied",1,18,22.29900996,24.11460821,93.29965832,95.42518749
209,6,"Varied",1,18,35.25442886,41.4527092,87.16257435,83.72910025
1195,32,"Fixed",2,10,16.42475727,15.65518086,103.7292031,119.1160736
989,26,"Fixed",2,6,25.26944979,25.44178018,99.7370551,95.43537165
434,12,"Fixed",2,36,21.97060394,30.11250432,75.44232623,83.8193647
338,9,"Varied",2,2,31.7033062,31.77846209,98.27568187,93.78793882
103,4,"Fixed",2,6,21.66371727,21.23783302,102.8537108,104.3718668
900,23,"Fixed",2,10,24.61218581,30.44235547,81.22342603,81.72674937
383,11,"Fixed",1,4,24.58853722,24.16682943,101.744986,85.13173705
49,2,"Fixed",2,40,46.96936798,53.43278376,82.4884271,80.89323208
985,26,"Fixed",2,14,25.71904985,25.44178018,99.7370551,95.43537165
252,7,"Varied",2,38,27.82964134,36.91307831,74.49311438,79.74097177
665,18,"Varied",2,6,23.96850014,24.5426089,94.55765541,84.9956495
1023,28,"Varied",2,38,18.3032459,24.55568511,70.6710611,74.27581966
973,25,"Fixed",2,26,16.85183253,15.68795363,110.9678266,119.1160736
502,14,"Fixed",2,40,26.02902794,25.40690358,102.5225964,102.7704987
280,8,"Fixed",2,24,44.71781921,53.73236465,85.4961554,85.99015531
539,14,"Varied",1,34,24.63864136,23.41526922,103.1298295,117.814729
871,23,"Fixed",1,34,21.23156929,26.46535047,80.22402467,81.72674937
226,7,"Fixed",1,8,26.79311371,36.98719152,72.43889738,76.13788766
1073,29,"Varied",1,12,20.63245396,19.71224948,102.7069535,91.27928758
586,16,"Varied",2,26,21.4194603,24.5426089,87.01939833,86.40311549
1090,29,"Varied",2,20,19.74311572,19.71224948,100.1565841,95.22103858
266,8,"Fixed",2,6,48.37541199,53.73236465,83.22324823,76.13788766
16,1,"Fixed",1,36,36.45066071,43.2167867,82.98247052,83.53457134
1316,35,"Fixed",2,20,17.73766862,20.8672942,84.24008808,92.10375233
265,8,"Fixed",2,38,44.71781921,53.73236465,80.18105277,83.8193647
1085,29,"Varied",2,38,17.63173707,19.71224948,89.83317177,95.22103858
562,15,"Varied",2,34,21.50714111,24.5426089,85.15651937,86.40311549
851,22,"Fixed",1,12,20.94973564,26.46535047,79.15910906,81.72674937
687,18,"Varied",1,38,20.73052979,16.06668282,129.5837583,139.1826903
686,18,"Varied",1,22,21.07499504,16.06668282,131.2499963,139.1826903
546,15,"Fixed",1,20,23.38604164,25.6678613,91.1102073,85.948354
556,15,"Fixed",1,8,22.02697182,25.6678613,85.83977209,85.948354
837,22,"Fixed",2,4,20.04159927,19.92260297,99.46557496,100.227915
1205,32,"Fixed",1,26,13.19570566,16.56529327,83.66902113,99.45650811
643,17,"Varied",2,40,13.53434277,15.51971404,88.0145284,94.02945976
1132,30,"Varied",1,18,17.86202189,19.48640835,90.50350434,92.21923093
93,3,"Varied",2,24,18.79526329,19.2837766,95.37299518,94.83273951
1145,31,"Varied",1,28,27.44056147,31.06081751,88.34462087,92.12428433
1291,34,"Fixed",2,32,17.8709505,20.8672942,83.51739207,92.10375233
979,25,"Varied",2,20,20.63785261,15.68795363,129.5837583,123.8830809
163,5,"Varied",2,8,23.69919205,21.23783302,112.5331788,105.8834485
369,10,"Varied",1,18,30.36928749,35.928744,87.31718262,83.53457134
933,24,"Varied",1,10,27.87661362,26.4955833,108.7099382,90.72764679
484,13,"Varied",2,14,35.19805908,42.64267858,82.70615549,82.6050141
340,9,"Varied",2,4,31.7033062,31.77846209,97.51675358,93.78793882
611,16,"Varied",1,14,21.19399261,27.54258664,75.65375783,76.7850369
1258,33,"Fixed",2,18,12.75336581,7.379482401,172.8219557,152.5423441
258,7,"Varied",2,12,34.61873245,36.91307831,83.18895947,85.99015531
256,7,"Varied",2,22,32.95903778,36.91307831,83.87579985,82.6050141
400,11,"Fixed",1,14,18.87668228,24.16682943,74.86375657,85.13173705
1072,29,"Fixed",1,28,19.12353895,21.11145551,88.30428129,91.27928758
767,20,"Varied",1,18,23.63656235,24.57183647,93.87017348,87.72135164
971,25,"Varied",2,4,21.27420704,15.68795363,137.8911164,123.8830809
582,16,"Fixed",2,26,18.07501793,25.6678613,65.41828936,79.45739057
1005,26,"Fixed",1,30,23.52419846,25.44178018,91.21589145,95.43537165
845,22,"Varied",1,4,18.47584915,20.30047035,90.1789418,87.56736073
431,12,"Fixed",2,26,23.22946739,28.74299431,80.81784084,83.8193647
96,3,"Varied",2,18,18.1313858,19.2837766,96.0051971,94.83273951
378,10,"Varied",1,2,31.7033062,36.11454646,87.31718262,87.0962308
381,11,"Fixed",1,4,24.58853722,24.16682943,101.744986,85.13173705
1013,26,"Fixed",1,22,24.25366747,25.44178018,97.72350829,95.43537165
1234,33,"Fixed",1,38,12.21750697,7.379482401,165.5604866,152.5423441
278,8,"Fixed",2,18,41.68026352,53.73236465,78.9105582,80.89323208
982,26,"Varied",2,22,23.33793606,24.11460821,98.47651773,95.43537165
257,7,"Varied",2,36,32.95903778,36.91307831,82.44623514,85.99015531
842,22,"Fixed",1,24,19.6094532,20.30047035,98.48914285,100.227915
1209,32,"Fixed",2,20,20.43472801,15.65518086,129.9246317,119.1160736
377,10,"Varied",1,28,29.63651657,36.11454646,82.55665071,82.69238676
1140,30,"Fixed",1,12,16.57205825,19.71224948,87.01564686,92.21923093
699,18,"Varied",1,32,21.5447197,16.06668282,136.4734948,139.1826903
1234,33,"Fixed",2,28,12.21750697,18.06457965,75.26869535,93.51720417
1019,26,"Fixed",1,20,21.41745946,24.11460821,89.93152973,95.43537165
765,20,"Fixed",1,2,22.91631699,23.55514272,96.58896484,87.72135164
146,5,"Fixed",1,10,19.60318947,18.53847949,103.8851338,105.8834485
150,5,"Fixed",1,24,20.91842079,18.53847949,113.9527068,105.8834485
1133,30,"Varied",1,4,18.10460512,19.48640835,94.7833117,92.21923093
74,3,"Fixed",1,26,19.24619865,19.89755122,96.72646871,96.61158139
943,25,"Fixed",1,6,15.46200866,15.68795363,97.41727291,119.1160736
994,26,"Varied",2,2,23.33793606,24.11460821,98.93036481,95.42518749
1162,31,"Fixed",2,12,30.646479,23.41526922,122.9850205,102.7728011
1367,36,"Varied",1,10,18.41152849,19.42486305,94.19840673,89.62137362
554,15,"Fixed",1,10,22.02697182,25.6678613,85.8153765,85.948354
883,23,"Varied",2,32,19.22114754,26.46535047,75.75136037,74.27581966
1188,32,"Fixed",2,2,19.64773978,15.65518086,122.4941911,119.1160736
379,10,"Varied",1,18,29.36094475,35.928744,83.6199883,83.53457134
701,19,"Varied",1,22,13.24624538,16.06668282,83.77724215,94.02945976
1068,29,"Fixed",1,20,18.91426086,21.11145551,90.58370671,91.27928758
897,23,"Fixed",2,26,22.38396263,25.85728185,84.57837223,85.40678922
435,12,"Fixed",2,30,21.64492798,30.11250432,69.7229473,83.8193647
94,3,"Varied",2,40,17.84328651,19.2837766,89.15232188,96.61158139
578,15,"Varied",2,22,20.11675644,24.5426089,83.57434991,86.40311549
994,26,"Varied",2,18,22.28576838,25.44178018,86.69378113,95.42518749
1222,33,"Fixed",1,12,9.087374271,7.379482401,98.70433174,123.8830809
1061,29,"Varied",1,26,16.08513148,19.48640835,81.04689968,92.21923093
640,17,"Varied",1,24,14.17316914,18.06457965,77.82006251,88.59066225
732,19,"Fixed",2,6,17.64913368,18.06457965,96.90924126,96.81931641
862,23,"Fixed",1,2,23.04784012,26.39436976,85.56139656,85.40678922
987,26,"Fixed",2,20,23.33793606,25.44178018,91.73075116,95.42518749
951,25,"Varied",1,34,16.23902564,17.0823675,94.49572296,94.98132155
1270,34,"Varied",1,20,20.03861617,22.18262124,94.60601963,95.11574296
1240,33,"Fixed",1,28,12.21750697,7.379482401,162.9171765,152.5423441
537,14,"Varied",1,10,28.4152317,23.41526922,119.7753191,117.814729
1332,35,"Varied",2,26,21.3568306,23.75802647,87.87190807,91.72171235
533,14,"Varied",1,16,28.4152317,23.41526922,133.149072,117.814729
1347,36,"Varied",1,6,16.79590188,18.55650301,85.04419057,89.62137362
697,18,"Fixed",1,2,22.8161087,16.06668282,142.9443862,139.1826903
1284,34,"Varied",1,6,22.41453444,22.18262124,102.4163779,95.11574296
715,19,"Fixed",1,30,15.04372597,16.06668282,94.43099446,96.20387035
282,8,"Varied",1,28,41.799263,55.38997269,75.12438061,69.20397959
7,1,"Fixed",1,8,34.09577179,43.2167867,78.89474066,82.08009458
869,23,"Fixed",1,40,21.23156929,26.46535047,81.95839725,81.72674937
348,10,"Fixed",2,28,25.32757187,31.0102005,85.68783659,88.421638
1245,33,"Varied",2,34,12.67752161,12.32267157,102.9944103,108.4290967
248,7,"Varied",2,6,27.42880821,36.91307831,76.29160293,79.74097177
1331,35,"Fixed",1,16,18.95572846,18.55650301,97.44166281,89.62137362
719,19,"Fixed",1,2,16.66584206,16.06668282,103.5353328,96.20387035
1054,28,"Varied",1,18,16.78939884,24.55568511,71.87765254,74.34488935
925,24,"Varied",1,10,26.42985916,26.4955833,102.857203,90.69123437
196,6,"Fixed",2,18,35.25442886,41.4527092,87.16257435,84.58665869
764,20,"Varied",1,18,20.30464554,24.57183647,84.00816731,87.16822512
387,11,"Fixed",1,30,19.14599037,24.16682943,79.97581025,85.13173705
551,15,"Fixed",1,14,21.50087929,25.6678613,83.86335796,85.948354
1014,26,"Varied",1,28,20.51774889,24.55568511,82.83430115,95.42518749
689,18,"Varied",1,26,22.37143517,16.06668282,136.82432,139.1826903
1127,30,"Fixed",1,36,18.24925796,19.48640835,94.11190398,92.21923093
518,14,"Fixed",2,30,24.63864136,25.40690358,97.72350829,102.7728011
893,23,"Varied",2,8,25.56556511,30.44235547,87.81231654,74.27581966
813,21,"Varied",2,8,23.30462265,25.21901385,91.73075116,90.72764679
1045,28,"Varied",1,20,18.3032459,24.11460821,80.02445607,79.79069751
132,4,"Varied",1,40,22.39022446,16.35060533,140.4885625,127.9864648
974,25,"Fixed",2,16,20.78689766,15.68795363,125.9065379,119.1160736
11,1,"Fixed",1,40,34.57175827,43.2167867,77.43378845,82.08009458
1000,26,"Fixed",2,40,24.90094458,25.44178018,98.23850846,95.42518749
1316,35,"Varied",1,32,21.85096774,22.18262124,95.69802756,86.02601779
648,17,"Varied",2,32,13.7598114,15.51971404,85.99676953,94.02945976
1165,31,"Fixed",2,2,32.87369928,33.03254708,106.8069986,92.12428433
685,18,"Varied",1,6,22.64074516,16.06668282,136.938199,139.1826903
930,24,"Varied",1,2,27.21273422,26.4955833,104.0755972,90.69123437
689,18,"Fixed",1,26,21.88918495,16.06668282,136.2396034,139.1826903
762,20,"Varied",1,30,23.63656235,24.57183647,93.87017348,87.72135164
667,18,"Varied",2,12,22.00818253,22.56558927,95.11517935,91.41679198
609,16,"Fixed",1,40,19.25872421,27.54258664,71.33328484,79.45739057
1225,33,"Varied",2,10,18.59834098,15.65518086,121.8014868,123.8830809
1071,29,"Varied",1,26,18.92793142,19.71224948,98.47353304,91.27928758
95,3,"Varied",2,32,19.40903664,19.2837766,104.2255846,96.61158139
698,18,"Fixed",1,24,22.60943031,16.06668282,139.2411578,139.1826903
524,14,"Varied",1,28,23.99355316,23.41526922,102.4696874,117.814729
1041,28,"Varied",1,30,17.64287186,24.55568511,67.4739285,74.34488935
1052,28,"Fixed",1,32,13.06227932,19.71224948,74.19391924,92.21923093
698,18,"Fixed",1,36,21.25035858,16.06668282,135.0311845,139.1826903
804,21,"Varied",2,12,23.01026154,25.21901385,89.826156,90.72764679
879,23,"Varied",1,20,21.85567512,26.4955833,84.04257125,74.27581966
1086,29,"Varied",2,40,20.12232314,19.71224948,102.8958138,95.22103858
619,16,"Fixed",1,8,18.08128166,27.54258664,66.97168386,79.45739057
294,8,"Varied",1,2,34.63439178,55.38997269,85.35192117,83.72910025
706,19,"Fixed",1,14,16.01449013,16.06668282,99.67514957,96.20387035
