"STUDY","METHOD","MIN_CI_OVERLAP","MAX_CI_OVERLAP","MEAN_CI_OVERLAP"
"Study 1","Bootstrap",0.641220001261253,0.975337341710636,0.86032745825539
"Study 1","CART",0.423241725395593,0.97525020001666,0.78200702735555
"Study 1","Independent",0.083372689173829,0.983260925829017,0.716441196096151
"Study 1","Parametric",0.534344514588204,0.959997569592253,0.78620487129963
"Study 2","Bootstrap",0.408622487236153,0.975517383205694,0.801872828508653
"Study 2","CART",0.345259472634788,0.939777675188482,0.659387579097042
"Study 2","Independent",-0.426555581996722,0.727190636456987,0.291882789388066
"Study 2","Parametric",0.0547882653588812,0.776904331687498,0.470226938368757
"Study 3","Bootstrap",0.663800286763497,0.988583395219518,0.865723333538115
"Study 3","CART",0.484289441444162,0.961858203205546,0.773903731444498
"Study 3","Independent",0.0719959392933955,0.756453527828026,0.521790133964549
"Study 3","Parametric",-2.50027101656472,0.891601412470559,-0.0376597226651171
"Study 4","Bootstrap",0.76251415356233,0.879438212814306,0.820976183188318
"Study 4","CART",0.827509850751495,0.905172975906318,0.866341413328906
"Study 4","Independent",-0.327100302656445,0.538840424568123,0.105870060955839
"Study 4","Parametric",0.651575442149838,0.865974702257775,0.758775072203806
"Study 5","Bootstrap",0.400993652621267,0.990915234623492,0.835318479657825
"Study 5","CART",0.38708310889215,0.988240943944458,0.744837204892468
"Study 5","Independent",-2.9179118084652,0.968339513782005,0.0639560135193672
"Study 5","Parametric",0.607095922969386,0.97807655137946,0.808897370396828
"Study 6","Bootstrap",0.329410380677135,0.969102563886904,0.699788404628233
"Study 6","CART",-0.799920919294228,0.986634891057965,0.513686042971261
"Study 6","Independent",-2.72714263408658,0.909038199534226,-0.532711299048143
"Study 6","Parametric",-1.10055626097621,0.997338455928293,0.449201961428959
