"sujet","trialNo","homo","population","populationC"
"THK0250",3,1,"THK",0.5
"THK0154",11,0,"THK",0.5
"ENG2010",10,1,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"ENG2008",8,1,"ENG",-0.5
"ENG2008",6,0,"ENG",-0.5
"THK0154",2,0,"THK",0.5
"ENG4020",6,0,"ENG",-0.5
"THK0250",15,0,"THK",0.5
"THK0076",15,1,"THK",0.5
"ENG3004",5,1,"ENG",-0.5
"ENG4016",8,NA,"ENG",-0.5
"ENG2022",9,1,"ENG",-0.5
"THK0076",14,1,"THK",0.5
"THK0295",6,0,"THK",0.5
"ENG2006",1,1,"ENG",-0.5
"ENG2010",14,1,"ENG",-0.5
"ENG2002",13,0,"ENG",-0.5
"THK0034",13,1,"THK",0.5
"THK0022",1,0,"THK",0.5
"THK0328",15,1,"THK",0.5
"THK0283",9,1,"THK",0.5
"THK0076",8,1,"THK",0.5
"ENG3008",6,1,"ENG",-0.5
"ENG2008",12,1,"ENG",-0.5
"THK0331",11,1,"THK",0.5
"ENG2018",3,1,"ENG",-0.5
"ENG2014",0,1,"ENG",-0.5
"THK0178",14,1,"THK",0.5
"ENG2014",3,1,"ENG",-0.5
"THK0202",8,1,"THK",0.5
"ENG2010",7,1,"ENG",-0.5
"ENG2020",5,1,"ENG",-0.5
"THK0049",11,1,"THK",0.5
"ENG4022",1,1,"ENG",-0.5
"ENG4008",2,1,"ENG",-0.5
"ENG5006",9,1,"ENG",-0.5
"ENG2002",1,0,"ENG",-0.5
"ENG4012",6,NA,"ENG",-0.5
"ENG2018",3,1,"ENG",-0.5
"ENG5002",8,0,"ENG",-0.5
"ENG4022",14,1,"ENG",-0.5
"ENG4014",4,1,"ENG",-0.5
"ENG4020",13,0,"ENG",-0.5
"THK0049",10,1,"THK",0.5
"THK0181",2,1,"THK",0.5
"ENG2006",3,1,"ENG",-0.5
"THK0055",4,NA,"THK",0.5
"ENG2018",15,1,"ENG",-0.5
"THK0286",8,1,"THK",0.5
"THK0193",9,1,"THK",0.5
"THK0250",15,0,"THK",0.5
"ENG2016",14,1,"ENG",-0.5
"ENG5004",14,1,"ENG",-0.5
"THK0202",0,1,"THK",0.5
"ENG4006",0,NA,"ENG",-0.5
"THK0193",15,1,"THK",0.5
"ENG4010",5,1,"ENG",-0.5
"THK0034",13,1,"THK",0.5
"ENG2018",5,1,"ENG",-0.5
"ENG2020",5,1,"ENG",-0.5
"ENG4014",11,1,"ENG",-0.5
"ENG4002",15,1,"ENG",-0.5
"THK0283",1,1,"THK",0.5
"ENG2006",0,1,"ENG",-0.5
"THK0331",1,1,"THK",0.5
"THK0082",13,1,"THK",0.5
"THK0076",8,1,"THK",0.5
"ENG5004",11,1,"ENG",-0.5
"ENG2014",1,1,"ENG",-0.5
"THK0202",10,1,"THK",0.5
"THK0178",3,1,"THK",0.5
"ENG4022",5,1,"ENG",-0.5
"ENG2022",12,1,"ENG",-0.5
"ENG5006",15,1,"ENG",-0.5
"THK0076",3,1,"THK",0.5
"ENG4020",10,0,"ENG",-0.5
"THK0049",4,1,"THK",0.5
"ENG5002",15,0,"ENG",-0.5
"THK0283",15,1,"THK",0.5
"ENG4018",12,1,"ENG",-0.5
"ENG2002",13,0,"ENG",-0.5
"THK0295",6,0,"THK",0.5
"ENG5008",5,1,"ENG",-0.5
"ENG4006",15,0,"ENG",-0.5
"ENG4002",1,1,"ENG",-0.5
"THK0250",6,1,"THK",0.5
"ENG4008",1,1,"ENG",-0.5
"THK0049",4,1,"THK",0.5
"ENG2018",7,1,"ENG",-0.5
"THK0055",0,1,"THK",0.5
"THK0286",14,0,"THK",0.5
"THK0022",6,0,"THK",0.5
"THK0328",6,1,"THK",0.5
"THK0286",10,1,"THK",0.5
"ENG4006",15,NA,"ENG",-0.5
"THK0049",1,1,"THK",0.5
"ENG4002",2,1,"ENG",-0.5
"ENG5010",6,1,"ENG",-0.5
"ENG5010",6,1,"ENG",-0.5
"ENG5010",5,1,"ENG",-0.5
"ENG4004",11,1,"ENG",-0.5
"ENG4004",4,1,"ENG",-0.5
"THK0181",12,1,"THK",0.5
"ENG3008",1,1,"ENG",-0.5
"ENG2014",5,1,"ENG",-0.5
"ENG2016",15,1,"ENG",-0.5
"THK0076",7,1,"THK",0.5
"ENG3008",0,1,"ENG",-0.5
"THK0073",3,0,"THK",0.5
"THK0082",8,1,"THK",0.5
"ENG2020",14,1,"ENG",-0.5
"ENG2006",6,1,"ENG",-0.5
"THK0286",11,1,"THK",0.5
"ENG3008",3,1,"ENG",-0.5
