model,term,estimate,std.error,conf.low,conf.high,statistic
path1,HP ~ SOP,0.18577942965162828,0.08817219046259557,0.012965111906934945,0.3585937473963216,2.1070070809961297
path1,HP ~ SPP,-0.18372096901346982,0.07103515080000672,-0.32294730621785456,-0.04449463180908508,-2.5863388328789534
path1,OP ~ SOP,0.11242419528582509,0.08369595987278451,-0.05161687171634208,0.2764652622879923,1.3432451871835474
path1,OP ~ SPP,0.4365910254479347,0.08246257358175153,0.27496735115521764,0.5982146997406518,5.294414259519905
path1,PHYS_H ~ HP,0.7553573673313041,0.1104204381368001,0.5389372854260429,0.9717774492365653,6.840738726244596
path1,PHYS_H ~ OP,-0.10470949700501926,0.0698991606526032,-0.24170933443370074,0.03229034042366223,-1.4980079306734801
path1,psy_wb ~ HP,0.6383966696925083,0.10421219758403212,0.43414451567803336,0.8426488237069832,6.125930404430186
path1,psy_wb ~ OP,0.01198950172417242,0.08006832207438974,-0.14494152584418482,0.16892052929252968,0.1497408889502297
path1,eat_disorder ~ HP,-0.1561394434941388,0.09884442058712054,-0.34987094791762446,0.03759206092934686,-1.5796485281282922
path1,eat_disorder ~ OP,0.2309005053158434,0.07186108265412405,0.09005537142370429,0.37174563920798254,3.213150940505517
path1,SOP ~~ SPP,0.7992569206719895,0.13897354884161314,0.5268737701387096,1.0716400712052694,5.751144209340838
path1,HP ~~ OP,0.7964017997946814,0.10468422938560334,0.5912244804495693,1.0015791191397936,7.607657853229669
path1,PHYS_H ~~ psy_wb,1.1562009997673566,0.18039052480557724,0.802642067996146,1.509759931538567,6.409433095299746
path1,psy_wb ~~ eat_disorder,-0.4528935186363413,0.15317528349034223,-0.7531115575991247,-0.15267547967355788,-2.956701031109216
path1,PHYS_H ~~ eat_disorder,-0.554393814740041,0.14681598051938494,-0.8421478489129697,-0.2666397805671124,-3.776113559156057
path1,HP ~~ HP,1.3374852734271854,0.1254641215635693,1.0915801138106345,1.5833904330437363,10.66030078367478
path1,OP ~~ OP,1.9540536115920526,0.1612122375271476,1.6380834321717268,2.2700237910123784,12.1210004994999
path1,PHYS_H ~~ PHYS_H,2.4241895576598207,0.23777859835307133,1.958152068593386,2.890227046726255,10.195154544818218
path1,psy_wb ~~ psy_wb,2.8582327040296844,0.21765973184993798,2.4316274687191606,3.2848379393402083,13.131655909602275
path1,eat_disorder ~~ eat_disorder,2.062694095229598,0.14910593550992135,1.7704518317490003,2.3549363587101957,13.83374906019317
path1,SOP ~~ SOP,1.4715048580545678,0.15519390736822025,1.1673303889928108,1.7756793271163247,9.481717955352508
path1,SPP ~~ SPP,1.7826945096946445,0.15130480867669144,1.4861425340006058,2.079246485388683,11.78214047052471
path1,ind_sohp_hpwb := sohp*hpwb,0.11860096918697312,0.05793225799215906,0.005055829979258686,0.23214610839468755,2.047235396953203
path1,ind_sohp_hpeat := sohp*hpeat,-0.029007496758463747,0.01974828342306017,-0.06771342102415104,0.009698427507223547,-1.4688616796228249
path1,ind_sohp_hph := sohp*hph,0.14032986088596514,0.071625257030548,-5.3063277333231795e-5,0.2807127850492635,1.9592231386494678
path1,ind_soop_opwb := soop*opwb,0.0013479100832180968,0.00889010918527283,-0.01607638373854537,0.018772203904981563,0.1516190695892708
path1,ind_soop_opeat := soop*opeat,0.025958803501224075,0.02272127919315461,-0.018574085400038253,0.0704916924024864,1.1424886460197565
path1,ind_soop_oph := soop*oph,-0.011771880939572803,0.011799899851621847,-0.03489925966993115,0.01135549779078554,-0.997625495775272
path1,ind_sphp_hpwb := sphp*hpwb,-0.11728685477087965,0.0506191447020924,-0.21649855531520223,-0.018075154226557075,-2.317045368133837
path1,ind_sphp_hpeat := sphp*hpeat,0.028686089859967095,0.021598632644435976,-0.013646452238438515,0.07101863195837271,1.328143791887535
path1,ind_sphp_hph := sphp*hph,-0.13877498747757067,0.05754219633366961,-0.2515556198828958,-0.025994355072245512,-2.4117082127497693
path1,ind_spop_opwb := spop*opwb,0.005234508852366218,0.03500019355505265,-0.06336460996746787,0.07383362767220031,0.14955656871247677
path1,ind_spop_opeat := spop*opeat,0.10080908839229037,0.03517571607046807,0.03186595176376618,0.16975222502081455,2.865871676651526
path1,ind_spop_oph := spop*oph,-0.045715226671558806,0.031741856144031064,-0.10792812151631112,0.0164976681731935,-1.4402190742760135
path1,indtot := sohp*hpwb+sohp*hpeat+sohp*hph+soop*opwb+soop*opeat+soop*oph+sphp*hpwb+sphp*hpeat+sphp*hph+spop*opwb+spop*opeat+spop*oph,0.07841078414395847,0.13558622878561952,-0.18733334107546368,0.3441549093633806,0.5783093522568336
path2,HP ~ SOP,0.08599065753970819,0.08240884807386564,-0.07552771669250144,0.24750903177191783,1.0434638943458119
path2,OP ~ SOP,0.053006037393855045,0.08001297539070451,-0.10381651266781541,0.2098285874555255,0.6624680201558035
path2,OP ~ SPP,0.545986467579712,0.06892752717189908,0.4108909967793839,0.6810819383800402,7.921167202445413
path2,PHYS_H ~ HP,0.6664133051033592,0.1000399524593201,0.47033860126799265,0.8624880089387257,6.661471629290779
path2,psy_wb ~ HP,0.617706735935694,0.09543540491104262,0.43065677946005354,0.8047566924113345,6.472511291920139
path2,eat_disorder ~ OP,0.16932913988194914,0.062620915608262,0.04659440061083353,0.29206387915306475,2.704034877759092
path2,SOP ~~ SPP,0.799257056099688,0.13897351410683648,0.5268739736453194,1.0716401385540566,5.751146621256592
path2,HP ~~ OP,0.8235051696388971,0.10995584224017166,0.6079956789583927,1.0390146603194015,7.489417141111533
path2,PHYS_H ~~ psy_wb,1.1549577130605324,0.18430649039087985,0.7937236297774304,1.5161917963436344,6.266505919629209
path2,psy_wb ~~ eat_disorder,-0.4560691297981161,0.15655563105554696,-0.7629125282439284,-0.14922573135230371,-2.913144207737247
path2,PHYS_H ~~ eat_disorder,-0.5731805685099426,0.1507362383089117,-0.8686181667604562,-0.27774297025942896,-3.8025399528366464
path2,HP ~~ HP,1.3830043640650598,0.12444195430559357,1.1391026154603172,1.6269061126698023,11.113650310158258
path2,OP ~~ OP,1.9701925958197204,0.1678342524530619,1.6412435056395158,2.299141685999925,11.738918409224738
path2,PHYS_H ~~ PHYS_H,2.4477866969852395,0.23580047758157344,1.9856262533880114,2.9099471405824677,10.380753771537403
path2,psy_wb ~~ psy_wb,2.8595335763732894,0.21732418432307068,2.433586002130527,3.285481150616052,13.15791698600075
path2,eat_disorder ~~ eat_disorder,2.091655769642983,0.14231775691867657,1.8127180917218508,2.370593447564115,14.697082183765728
path2,SOP ~~ SOP,1.471505630391548,0.15519406427562252,1.1673308537969336,1.7756804069861623,9.48171334554506
path2,SPP ~~ SPP,1.7826926565779067,0.15130453176010353,1.486141223630407,2.0792440895254063,11.782149786527233
path2,ind_sohp_hpwb := sohp*hpwb,0.05311700838981723,0.05074327637381974,-0.046337985760431674,0.15257200254006614,1.0467792422095585
path2,ind_sohp_hph := sohp*hph,0.05730531829904803,0.05682160664993145,-0.05406298427851923,0.1686736208766153,1.0085128118973588
path2,ind_soop_opeat := soop*opeat,0.008975466720451908,0.014848526643764622,-0.02012711072481015,0.03807804416571396,0.6044685062555346
path2,ind_spop_opeat := spop*opeat,0.09245141894245634,0.034954108532637,0.023942625106783633,0.16096021277812905,2.644937113934218
path2,indtot := sohp*hpwb+sohp*hph+soop*opeat+spop*opeat,0.2118492123517735,0.12000459592686172,-0.023355473644157465,0.4470538983477045,1.7653424913899767
boot1,HP ~ SOP,0.18577959287146084,0.08807979158880956,0.01887423708691143,0.3590149556473634,2.109219260403699
boot1,HP ~ SPP,-0.1837207709544476,0.07082576030745258,-0.3231600047389563,-0.04798359571629812,-2.5939823329382
boot1,OP ~ SOP,0.1124240834459251,0.08651000984374962,-0.05523046720736526,0.28376990118268003,1.299550001774133
boot1,OP ~ SPP,0.43659088973586535,0.0847668258711581,0.26368831727505554,0.6031591320199464,5.150492368317113
boot1,PHYS_H ~ HP,0.7553573673314227,0.10600900211031919,0.5490618078279316,0.9611905875184124,7.125407770043467
boot1,PHYS_H ~ OP,-0.10470949700479525,0.0693079426709706,-0.234321250402438,0.041015094462145546,-1.5107863971938742
boot1,psy_wb ~ HP,0.6383966696924271,0.10422725003865195,0.4196585128892512,0.8230858812919052,6.125045700195315
boot1,psy_wb ~ OP,0.011989501724019082,0.07893089867257141,-0.1392290733408396,0.162197286762042,0.15189871046261696
boot1,eat_disorder ~ HP,-0.15613944349409364,0.10127210211843338,-0.3443542053138174,0.05221105987807921,-1.5417814010762338
boot1,eat_disorder ~ OP,0.23090050531592876,0.074538784000241,0.0788857069608791,0.36989502001491104,3.0977229963287596
boot1,SOP ~~ SPP,0.7992565073386749,0.13384412655990474,0.5401050316875892,1.0496282629213494,5.971547111415091
boot1,HP ~~ OP,0.7964019938907191,0.09929191072402692,0.5942251067157747,0.9847785883958315,8.02081446598654
boot1,PHYS_H ~~ psy_wb,1.1562011259632208,0.18449351514831924,0.7880126979241606,1.4951858849027908,6.266893039756546
boot1,psy_wb ~~ eat_disorder,-0.45289344348580973,0.15551771677742457,-0.7453491598076084,-0.13848178580111006,-2.9121662333429597
boot1,PHYS_H ~~ eat_disorder,-0.5543937990693332,0.14457733125054464,-0.8407835696703104,-0.263518934529255,-3.834583155422885
boot1,HP ~~ HP,1.3374852804398785,0.12165519788645976,1.0836104830633357,1.5685662447501314,10.994066046303647
boot1,OP ~~ OP,1.9540536218422164,0.16043365230683712,1.6060705732263107,2.2525038954478003,12.1798238321284
boot1,PHYS_H ~~ PHYS_H,2.4241899555486977,0.23420751297531023,1.9611689079474872,2.8597410505345335,10.350607137885675
boot1,psy_wb ~~ psy_wb,2.858232828770454,0.20560835870134253,2.4300349427070502,3.2246464603958023,13.90134548431562
boot1,eat_disorder ~~ eat_disorder,2.062693579643783,0.147920357935827,1.736991303695149,2.321082385882486,13.94462269039838
boot1,SOP ~~ SOP,1.4715044401838924,0.15354967417796905,1.1836127341904663,1.783348737826031,9.583246907306172
boot1,SPP ~~ SPP,1.7826961011505895,0.14800587487143213,1.4787071147374087,2.0763457449385263,12.044765808784005
boot1,ind_sohp_hpwb := sohp*hpwb,0.11860107338595557,0.05846906669441721,0.01294041604372093,0.23937993506729902,2.0284413638037417
boot1,ind_sohp_hpeat := sohp*hpeat,-0.029007522243509182,0.022261416898481812,-0.0781337515180281,0.012397397370561109,-1.3030402501238563
boot1,ind_sohp_hph := sohp*hph,0.1403299841752902,0.07163485170819954,0.013225836810353558,0.2848116742806457,1.9589624439639568
boot1,ind_soop_opwb := soop*opwb,0.001347908742296184,0.011878911855316249,-0.025079460829633134,0.026366132410227502,0.11347072515677818
boot1,ind_soop_opeat := soop*opeat,0.025958777677344246,0.02424172037484943,-0.010154656571161621,0.08299666995746474,1.0708306702636603
boot1,ind_soop_oph := soop*oph,-0.011771869228847945,0.013840264404723775,-0.045480912973293014,0.00964880111651884,-0.8505523366179426
boot1,ind_sphp_hpwb := sphp*hpwb,-0.11728672833064456,0.050309840304799604,-0.22497610002872265,-0.029405591598457206,-2.331288026757169
boot1,ind_sphp_hpeat := sphp*hpeat,0.028686058935133294,0.022936586458304663,-0.009222052288719447,0.07994348141149867,1.250668184094452
boot1,ind_sphp_hph := sphp*hph,-0.13877483787225084,0.05732169128562981,-0.26116945947516484,-0.03431361882950601,-2.420982960547098
boot1,ind_spop_opwb := spop*opwb,0.005234507225179183,0.035117747889503,-0.058685335810124147,0.07342257803220896,0.14905589167190939
boot1,ind_spop_opeat := spop*opeat,0.10080905705634224,0.03644000456174189,0.033295698725038146,0.17813467329451949,2.7664391996860775
boot1,ind_spop_oph := spop*oph,-0.04571521246111848,0.03149064447222454,-0.10967027974191108,0.017201190911800134,-1.4517077445474427
boot1,indtot := sohp*hpwb+sohp*hpeat+sohp*hph+soop*opwb+soop*opeat+soop*oph+sphp*hpwb+sphp*hpeat+sphp*hph+spop*opwb+spop*opeat+spop*oph,0.07841119706116986,0.13914129110864595,-0.17438211909991005,0.3635097351965071,0.5635365062118326
boot2,HP ~ SOP,0.08599059702245981,0.08191523416632225,-0.08083936557751181,0.24425943821510804,1.0497509760866077
boot2,OP ~ SOP,0.05300551800306633,0.08251046831939413,-0.09924975287732678,0.22206417213621849,0.6424096127764598
boot2,OP ~ SPP,0.5459866336102346,0.07114712121084209,0.40912702049804817,0.6877868278586111,7.674050956920965
boot2,PHYS_H ~ HP,0.6664133089052907,0.09967377497546531,0.47271644553127656,0.8519667688834686,6.685944312526823
boot2,psy_wb ~ HP,0.6177067016916556,0.09712623069369929,0.43004796226017317,0.8103481297155692,6.359833973581012
boot2,eat_disorder ~ OP,0.1693291531682719,0.06339413876340544,0.04231068887627857,0.29237348634471216,2.6710537672927255
boot2,SOP ~~ SPP,0.799256256576899,0.13428973260082705,0.5321283613317297,1.053819726104567,5.951730196326094
boot2,HP ~~ OP,0.8235059304479697,0.10956093936915702,0.5875569404618618,1.0228923296559942,7.516419037566216
