"SOP","SPP","HP","OP","eat_disorder","psy_wb","PHYS_H"
5.5,4.5,4.83333333333333,3.83333333333333,4.13636363636364,6,7.33333333333333
5.5,4.5,3.16666666666667,2.33333333333333,0.863636363636364,1.75,4
4.75,3.25,3.16666666666667,2.33333333333333,0.454545454545455,4.5,7.33333333333333
6,3.5,5,3.16666666666667,2.72727272727273,1.5,5
6.5,7,2.16666666666667,2.66666666666667,0.318181818181818,5,7
2.5,1.5,2.83333333333333,3.16666666666667,2.04545454545455,5.25,8.33333333333333
6,3.75,2.83333333333333,1.16666666666667,3.18181818181818,1.25,5.66666666666667
4.75,4,4,4,3.86363636363636,2.25,6.33333333333333
4.5,3.5,5.66666666666667,1.66666666666667,0.318181818181818,6.5,10
7,5,4.83333333333333,4.83333333333333,4.81818181818182,6,8.66666666666667
5,3,5.16666666666667,3,3.59090909090909,3.5,10
3.75,3,5.83333333333333,3.16666666666667,3.09090909090909,6.5,9
6.75,6,5.66666666666667,6.66666666666667,0.904761904761905,6.5,10
4.5,5.75,5.83333333333333,2.33333333333333,1.5,5.25,8
5.5,5.25,5.16666666666667,5.83333333333333,2.09090909090909,6.17814462035932,7.66666666666667
6.75,5.5,4.66666666666667,3.16666666666667,0.681818181818182,6.25,10
6.25,4.25,4.66666666666667,4.66666666666667,5.13636363636364,5.25,9.66666666666667
4.25,4.75,3.83333333333333,4.6,3.13636363636364,5.25,9.66666666666667
5.5,5,3.5,3.5,0.954545454545455,3.5,8.66666666666667
5,3.5,3.16666666666667,2.16666666666667,0.636363636363636,5,6.33333333333333
5.25,1.5,5.5,1.66666666666667,3.36363636363636,4.5,9
4,2.75,3.16666666666667,1.66666666666667,0.181818181818182,4.75,8.66666666666667
5,6.25,5.5,4.6,2.45454545454545,7,10
5.25,5.75,3.83333333333333,3,1.04545454545455,3.5,7
6.5,4,5.83333333333333,5.16666666666667,3.95454545454545,2,7.33333333333333
5.75,3.5,4.16666666666667,4.5,2.86363636363636,4.5,7.66666666666667
1.25,1.25,4.16666666666667,1.83333333333333,0.136363636363636,6,7.33333333333333
3.75,3.5,4,5.66666666666667,4.95238095238095,1.25,4.33333333333333
4.25,2.5,4.66666666666667,2.5,0.636363636363636,5.75,8
2,3,3.83333333333333,4.16666666666667,1.90909090909091,4.5,5
6,1.75,5,1,0,6,7
2,1.25,5.33333333333333,1.66666666666667,0.0909090909090909,7,10
3.25,4.5,6.83333333333333,4.16666666666667,0.772727272727273,6.75,8
6.5,4.25,5.16666666666667,4.6,1.33333333333333,3.5,9
4.5,6.5,5.83333333333333,7,3.31818181818182,6,8.66666666666667
5.75,4.25,3.16666666666667,4.5,3.72727272727273,4.5,7.33333333333333
4.75,2.75,4.66666666666667,2.33333333333333,1.63636363636364,1.25,7
4.25,2.75,3.16666666666667,1,3.95454545454545,4.75,6.66666666666667
4,4,4.16666666666667,1.66666666666667,1.22727272727273,5,8.33333333333333
3.75,2.25,5.33333333333333,2.5,0,7,7.66666666666667
6.5,6,4.66666666666667,5.83333333333333,1.22727272727273,6.75,7.66666666666667
4.75,2.5,3.33333333333333,1,0.0454545454545455,4.75,9.33333333333333
6.5,6,4.5,5,1.18181818181818,4,7.33333333333333
5,1.25,4.66666666666667,1.66666666666667,2.04545454545455,4.75,5.66666666666667
4,3,5.5,3.66666666666667,1.54545454545455,6.75,9
5.25,2,4.5,1,2.36363636363636,1.5,7
6.5,3.25,7,2.5,0.181818181818182,6.75,9.33333333333333
5,4.25,5.33333333333333,4.5,3.09090909090909,6.75,8.33333333333333
5.5,4,5,4.66666666666667,0.954545454545455,5,10
5.25,5.25,5.33333333333333,4.16666666666667,0.590909090909091,5,10
5.5,4.5,3.66666666666667,2.5,0.863636363636364,1,7.33333333333333
5.75,5.5,4.16666666666667,4.66666666666667,2.47619047619048,3.75,7
5,5.25,3.4,1.83333333333333,1.40909090909091,5.75,9
1.25,2,4.16666666666667,1,3.45454545454545,1.75,4.66666666666667
5.25,5.75,4.83333333333333,4.16666666666667,0.454545454545455,4.75,8
6,3.75,5.5,2.5,3.86363636363636,5,3
4.75,2.5,5.66666666666667,2.16666666666667,3.77272727272727,2,6.33333333333333
4,4,5.5,4.66666666666667,2.45454545454545,5.25,5
5.5,3.75,4.5,3,1.40909090909091,5.25,8
5,3.25,5.83333333333333,5,0.0454545454545455,7,8
