"performance_exam","test_anxiety","performance_mock_exams","working_memory_trait","performance_exam_prepare","cg"
0.86,1.8,0.832134292565947,1.8,0.748581847649919,0
0.85,3.4,0.825739408473221,NA,0.719555648710962,1
0.87,2.2,0.837729816147082,1.2,0.798179396092362,0
0.82,3.4,0.842612419700214,2.13333333333333,0.753521126760563,0
0.79,3.2,NA,3.86666666666667,NA,0
0.88,4,0.918803418803419,1.86666666666667,0.798311139980513,0
0.82,3.6,0.867894315452362,1.26666666666667,0.774484536082474,0
0.92,3.2,0.920063948840927,1.73333333333333,0.853223287976801,0
0.85,3.4,0.825739408473221,NA,0.719555648710962,1
0.67,3.2,0.721822541966427,1.8,0.672939778129952,0
0.83,1.6,0.864147909967846,NA,0.772784810126582,1
0.81,2.2,0.860111910471623,NA,0.860842063648942,1
0.74,2.2,NA,4,NA,0
0.8,4.4,0.896083133493205,NA,0.868839884947267,1
0.81,2.2,0.860111910471623,NA,0.860842063648942,1
NA,4,0.690647482014389,NA,0.696030977734753,1
0.83,2.6,0.854516386890488,NA,0.849077490774908,1
0.76,1.8,0.726618705035971,1.8,0.768796992481203,0
0.79,2,0.781774580335731,NA,0.692582475309939,1
0.84,3.2,0.77742193755004,NA,0.717253610336965,1
0.86,4,0.788169464428457,NA,0.741369390103567,1
0.83,2.6,0.854516386890488,NA,0.849077490774908,1
NA,4,0.714285714285714,NA,0.00206015657189946,0
0.68,3.8,0.654175588865096,2,0.557181571815718,0
0.85,2.2,0.856115107913669,NA,0.783863368669022,1
0.82,4.6,0.878497202238209,2.86666666666667,0.792712066905615,0
0.82,2.6,0.830434782608696,2.26666666666667,0.753409407180629,0
0.78,2.6,0.82414068745004,1.86666666666667,0.741817293600391,0
0.82,3.4,0.944376776289078,NA,0.901991341991342,1
NA,2.2,NA,2.8,0.561679790026247,0
0.88,1,0.861884368308351,1.73333333333333,0.832825322391559,0
0.84,4.2,0.779376498800959,NA,0.738030524775246,1
0.85,4,0.846473029045643,1.93333333333333,0.832853025936599,0
0.8,2,0.776179056754596,1.6,0.756044434763668,0
0.8,2,0.784172661870504,NA,0.722722513089005,1
0.82,1.6,NA,2.73333333333333,0.811204481792717,0
0.78,2.2,0.756195043964828,NA,0.732324200038322,1
0.82,1.6,NA,2.73333333333333,0.811204481792717,0
0.78,2.2,0.809574468085106,1.06666666666667,0.834435869165748,0
0.82,2,0.835838607594937,2.4,0.740972843927186,0
0.7,3.4,0.655063291139241,1.26666666666667,0.619535519125683,0
0.67,3,0.8088,NA,0.85098923115452,1
0.83,1,0.871302957633893,NA,0.799020531173479,1
0.88,4.2,0.892885691446842,1.46666666666667,0.897357334354653,0
0.84,1.6,0.916067146282974,3.4,0.848125,0
0.79,3,0.857713828936851,NA,0.836569890405691,1
0.83,2.2,0.920063948840927,NA,0.880492424242424,1
0.82,2.6,0.799360511590727,NA,0.730046115643845,1
0.86,3.2,0.888089528377298,1.93333333333333,0.826645264847512,0
0.8,3.8,0.742605915267786,1.33333333333333,0.734551195308976,0
0.67,3.2,0.721822541966427,1.8,0.672939778129952,0
