"performance_exam","test_anxiety","performance_mock_exams","working_memory_trait","performance_exam_prepare","cg"
0.89,2,0.883297644539615,1.33333333333333,0.793640204580832,0
0.86,3.2,0.832268370607029,2.33333333333333,0.755792867217409,0
0.88,1.8,0.913669064748201,NA,0.892046503044842,1
0.86,2.4,0.832134292565947,1.6,0.858401639344262,0
0.8,2.2,0.790616854908775,NA,0.776134521880065,1
0.86,2,0.888089528377298,2,0.864117519982718,0
0.79,2.8,0.772981614708233,NA,0.7585092632486,1
NA,3,0.952569169960474,NA,0.872148084373655,0
0.85,4.2,0.744204636290967,2.06666666666667,0.741355140186916,0
0.78,2,0.784172661870504,NA,0.767407130856823,1
0.83,3.8,0.843325339728217,1.26666666666667,0.83205268935236,0
0.72,3.4,NA,NA,NA,1
0.9,1.4,0.952884615384615,2.6,0.892107892107892,0
0.83,2.4,0.820943245403677,NA,0.783995186522262,1
0.79,1.6,0.711430855315747,1.26666666666667,0.652503293807642,0
0.92,2.2,0.921153846153846,1.2,0.813662495772743,0
0.86,2.4,0.89048760991207,NA,0.871464226289517,1
0.82,2,0.833333333333333,3.2,0.770344627859832,0
0.78,1.6,NA,3,0.802058590657165,0
0.79,4,NA,3.93333333333333,0.805841354132094,0
0.8,2.6,0.769807280513919,2,0.792213473315835,0
0.76,4.2,0.912869704236611,1.66666666666667,0.809757505773672,0
0.87,1.8,0.849720223820943,3.33333333333333,0.788645690834473,0
0.75,1.8,0.775574940523394,NA,0.764991554054054,1
0.89,1.4,0.883297644539615,1.93333333333333,0.826645264847512,0
0.52,4.2,0.690647482014389,NA,0.693326128073494,1
0.72,3.4,0.788968824940048,1.33333333333333,0.681593212349753,0
0.92,3.2,0.921397379912664,2.93333333333333,0.882616910722721,0
0.84,2.2,0.856115107913669,1.4,0.78594313175811,0
0.88,1.6,0.894484412470024,1.33333333333333,0.820288587669436,0
0.68,3.8,0.709832134292566,NA,0.696030977734753,1
0.83,3.8,0.744204636290967,1.13333333333333,0.685201997276441,0
0.79,1.2,NA,2.26666666666667,NA,0
0.72,2.8,NA,0.4,0.619535519125683,0
0.83,3.2,NA,3,NA,0
0.82,2.8,0.816147082334133,NA,0.814146620847652,1
0.78,4.4,0.783373301358913,NA,0.765907639923388,1
0.78,4.6,0.792965627498002,1.46666666666667,0.751800180018002,0
0.7,2.8,0.800959232613909,1.73333333333333,0.749935149156939,0
0.91,2.2,0.844924060751399,NA,0.76837416481069,1
0.69,3,0.724839400428266,0.866666666666667,0.672939778129952,0
0.83,3.8,0.829736211031175,2.06666666666667,0.856351981351981,0
0.88,3.8,0.928057553956835,2.66666666666667,0.809757505773672,0
0.72,2.8,0.7585931254996,NA,0.724131042748702,1
0.79,4.4,0.816147082334133,1.53333333333333,0.701476793248945,0
0.78,3.6,0.783373301358913,NA,0.767407130856823,1
0.82,3.2,0.899103139013453,NA,0.850844444444444,1
NA,3.4,0.681744749596123,NA,0.617577756833176,0
0.84,2.6,0.864108713029576,NA,0.797297297297297,1
0.69,2.6,0.805755395683453,NA,0.806763285024155,1
0.83,4.6,0.789768185451639,2.13333333333333,0.748504320850875,0
NA,3,0.729816147082334,NA,0.679646596858639,0
0.87,2.2,0.891286970423661,NA,0.880492424242424,1
0.8,2.4,0.769807280513919,2,0.830144557823129,0
0.85,2.8,0.8496,NA,0.780834564254062,1
0.79,2.8,0.78017585931255,NA,0.761838440111421,1
NA,3.2,0.728525980911983,NA,0.683219494184973,1
0.81,2.6,0.869704236610711,NA,0.772784810126582,1
NA,3.2,0.490291262135922,NA,0.690148305084746,1
0.84,2,0.852472089314195,NA,0.836569890405691,1
0.84,3.4,0.83533173461231,1.6,0.753103771375029,0
0.85,2.8,0.8496,NA,0.825149150986691,1
0.69,4,0.654175588865096,2,0.561847988077496,0
0.89,2.6,0.928057553956835,2.06666666666667,0.819160624038673,0
0.94,2.6,0.921153846153846,2.73333333333333,0.891898148148148,0
0.8,1.6,0.711430855315747,2,0.731701738334858,0
0.82,1.4,0.799360511590727,1.8,0.75161199887861,0
NA,4,0.755030621172353,NA,0.63097609561753,0
0.89,2.4,0.837729816147082,NA,0.793379207736656,1
0.85,1.2,0.808952837729816,3.73333333333333,0.830328009617036,0
0.77,4.8,0.806784660766962,1.33333333333333,0.717042497831743,0
