"performance_exam","test_anxiety","performance_mock_exams","working_memory_trait","performance_exam_prepare","cg"
0.89,2.6,0.8496,3.33333333333333,0.860842063648942,0
0.86,1.2,0.756195043964828,NA,0.725831104317921,1
0.88,2,0.952884615384615,1.73333333333333,0.866447985004686,0
0.86,2.2,0.822541966426859,3.33333333333333,0.81453428863869,0
0.8,4.6,NA,NA,NA,1
0.86,1.8,0.896251089799477,1.86666666666667,0.860842063648942,0
0.79,4.2,0.785771382893685,NA,0.715606190885641,1
NA,4,0.828137490007994,2.73333333333333,0.766761584260937,0
0.85,3.4,0.776179056754596,NA,0.783783783783784,1
0.78,3.4,0.732173913043478,2,0.727735887507642,0
0.83,3,0.860911270983213,2.8,0.834258231594525,0
0.72,1.8,0.779376498800959,1.73333333333333,0.746731234866828,0
0.9,1.4,0.843325339728217,1.86666666666667,0.825309043591412,0
0.83,2,0.799360511590727,NA,0.752009744214373,1
0.79,4.2,0.776179056754596,2.06666666666667,0.741369390103567,0
0.92,2.8,0.918803418803419,0.4,0.852182792953791,0
0.86,1.6,0.831905781584582,NA,0.772282921219091,1
0.82,1.4,NA,2.2,NA,0
0.78,2.4,0.788968824940048,NA,0.753409407180629,1
0.79,3.2,0.775379696243006,1.86666666666667,0.748581847649919,0
0.8,3,0.809574468085106,NA,0.727390852390852,1
0.76,3.8,0.842612419700214,NA,0.80978792822186,1
0.87,1.8,NA,1.8,0.827296713840249,0
0.75,3.4,0.9136,NA,0.838141025641026,1
0.89,2,0.836131095123901,NA,0.777937649880096,1
0.52,3.8,0.595022624434389,NA,0.440446650124069,1
0.72,3.6,0.754596322941647,0.8,0.692582475309939,0
0.92,1,NA,3.86666666666667,NA,0
0.84,3.8,0.781774580335731,2.06666666666667,0.631131458469588,0
0.88,2.2,0.905250452625226,2.26666666666667,0.799020531173479,0
0.68,3.6,0.717307692307692,1.6,0.561224489795918,0
0.83,1.6,0.9552,1,0.871464226289517,0
0.79,4,0.331615120274914,2.53333333333333,0,0
0.72,3.6,0.742605915267786,NA,0.678564346619076,1
0.83,3.6,0.82414068745004,1.33333333333333,0.784313725490196,0
0.82,3.4,0.811350919264588,1.6,0.789702820367216,0
0.78,3.2,0.856115107913669,NA,0.780209324452902,1
0.78,4,0.921153846153846,NA,0.80978792822186,1
0.7,1.2,0.802867383512545,NA,0.75161199887861,1
0.91,3.4,0.8272,1.33333333333333,0.838141025641026,0
0.69,2.2,0.71405750798722,1.46666666666667,0.695242177453922,0
0.83,3,0.7488,2,0.761838440111421,0
0.88,2.4,0.842612419700214,2.13333333333333,0.823844608171467,0
0.72,4,0.709832134292566,NA,0.557181571815718,1
0.79,2.4,NA,2.2,0.772972972972973,0
0.78,1.2,0.820143884892086,0.866666666666667,0.748581847649919,0
0.82,3.2,0.803357314148681,2,0.771407968271138,0
NA,1.8,0.76978417266187,3.2,0.727272727272727,0
0.84,2.6,0.856115107913669,3.06666666666667,0.861072584373555,0
0.69,2.8,0.832268370607029,1.73333333333333,0.786411716842962,0
0.83,4,0.764878765613519,1.4,0.732324200038322,0
NA,1.8,NA,1.8,NA,0
0.87,3.8,0.819776714513557,NA,0.800434928069588,0
0.8,1.8,0.771382893685052,1.73333333333333,0.683219494184973,0
0.85,2.6,0.883297644539615,NA,0.892046503044842,1
0.79,2.2,0.816147082334133,NA,0.79350619014249,1
NA,1.6,NA,1.33333333333333,NA,0
0.81,2.6,0.776179056754596,NA,0.777937649880096,1
NA,3.2,0.891075514874142,NA,0.827416375949107,1
0.84,2.2,0.822916666666667,NA,0.770344627859832,1
0.84,2.8,0.749000799360512,2.26666666666667,0.681593212349753,0
0.85,2.6,0.9136,1.46666666666667,0.869920597851471,0
0.69,2.2,NA,2.66666666666667,NA,0
0.89,4.4,0.892885691446842,NA,0.780209324452902,1
0.94,1.4,0.921662669864109,3.86666666666667,0.883919062832801,0
0.8,3.8,0.788169464428457,1.86666666666667,0.678307417792506,0
0.82,1.6,0.810551558752998,1.53333333333333,0.741209208196307,0
NA,3.6,0.611587982832618,1.6,0,0
0.89,2.4,0.90167865707434,3.13333333333333,0.866447985004686,0
0.85,2.6,0.832268370607029,NA,0.817626758693921,1
0.77,4.6,0.785771382893685,1.33333333333333,0.728240835551915,0
0.92,1,0.905250452625226,NA,0.905609492988134,1
0.77,4.2,0.843325339728217,2.2,0.862561094819159,0
0.7,2.2,0.726618705035971,1.4,0.664092664092664,0
0.83,3.6,0.754596322941647,1.6,0.626540673788003,0
0.86,3.8,0.842612419700214,2.66666666666667,0.805841354132094,0
0.79,3,0.787085514834206,2.06666666666667,0.754628350373031,0
0.77,2.8,0.722222222222222,1.33333333333333,0.695242177453922,0
0.79,2,0.815142576204523,2.73333333333333,0.690148305084746,0
0.84,2.6,0.915559030492572,2,0.852182792953791,0
0.83,2.4,0.800959232613909,1.8,0.798179396092362,0
0.75,2.2,0.769480519480519,1.46666666666667,0.725831104317921,0
0.69,4,0.690647482014389,NA,0.557181571815718,1
0.84,4,0.853932584269663,1.73333333333333,0.841040462427746,0
0.83,3.4,0.732173913043478,2,0.715693430656934,0
0.84,4.8,0.799360511590727,NA,0.709893048128342,1
0.74,3,0.84796573875803,2.8,0.81453428863869,0
0.76,4.6,0.738782051282051,1.66666666666667,0.734551195308976,0
0.74,1,NA,3.4,NA,0
0.83,2.6,0.912869704236611,NA,0.881877444589309,1
NA,2.6,0.787370103916866,2.2,0.805841354132094,0
0.79,3.4,0.794564348521183,1.6,0.77200488997555,0
0.74,4.6,0.840127897681854,2.53333333333333,0.75161199887861,0
0.92,3.8,0.888888888888889,1.06666666666667,0.825149150986691,0
0.89,2.2,0.820143884892086,NA,0.753521126760563,1
0.77,1.4,NA,2.26666666666667,NA,0
0.83,1.8,0.837729816147082,NA,0.77200488997555,1
0.77,2.8,0.771382893685052,NA,NA,1
0.79,3.8,0.750398724082935,NA,0.686723768736617,1
0.82,1.4,0.749800159872102,1.8,0.747260046496181,0
0.79,3.2,0.825739408473221,NA,0.827296713840249,1
0.81,2.6,0.776179056754596,1.66666666666667,0.830144557823129,0
0.89,2.8,0.928057553956835,1.26666666666667,0.830328009617036,0
0.83,1.4,0.84572342126299,2.06666666666667,0.890340763515245,0
0.73,1.8,0.836131095123901,NA,0.840608279357927,1
0.89,3,0.892885691446842,NA,0.820288587669436,1
0.74,4,0.764611689351481,2,0.688656325920389,0
0.8,2.6,0.844124700239808,1.86666666666667,0.890340763515245,0
0.7,2.6,0.745003996802558,2.06666666666667,0.681593794076164,0
0.74,3.6,0.778846153846154,NA,0.754716981132076,0
0.76,2,0.749800159872102,1.6,0.729447696614915,0
0.83,1.6,0.81858407079646,1.73333333333333,0.754628350373031,0
0.83,2.4,0.891286970423661,2.6,0.874769419963107,0
0.81,1.8,NA,1.93333333333333,NA,0
0.82,2,0.775574940523394,2.06666666666667,0.841485275288092,0
0.86,3.4,0.878497202238209,1.6,0.792710706150342,0
0.76,2.8,0.837729816147082,NA,0.797297297297297,1
0.85,3.8,0.916067146282974,1.26666666666667,0.890340763515245,0
0.87,2,0.876898481215028,NA,0.892107892107892,1
0.77,2.8,0.816147082334133,1.8,0.767407130856823,0
0.76,2.8,0.819776714513557,NA,0.701476793248945,1
0.84,2.6,0.735489220563847,3.86666666666667,0.696030977734753,0
0.74,5,0.765787370103917,1.46666666666667,0.725831104317921,0
0.75,2.8,0.78302642113691,NA,0.719207813347802,1
0.86,2.2,0.913669064748201,NA,0.825149150986691,1
0.93,2.2,0.912869704236611,NA,0.911029728565274,1
0.89,2.8,0.849720223820943,NA,0.783863368669022,1
0.86,3.2,0.799360511590727,2.6,0.790282485875706,0
0.74,3,0.331615120274914,NA,0,1
0.78,2.6,0.832106038291605,NA,0.845854922279793,1
0.7,4.4,0.825739408473221,NA,0.774860094705123,1
0.85,1.8,NA,2,NA,0
0.81,2.8,0.769807280513919,NA,0.741369390103567,1
0.76,3.6,0.859106529209622,NA,0.860842063648942,1
0.87,3.2,0.875299760191847,1,0.874769419963107,0
0.83,3,0.765787370103917,2.33333333333333,0.7585092632486,0
0.78,1.2,0.815852682145717,NA,0.706716244480595,1
0.86,2.4,0.918465227817746,1.13333333333333,0.830328009617036,0
0.86,2.2,0.928057553956835,NA,0.830144557823129,1
0.83,3.8,0.808153477218225,NA,0.703526189661075,1
0.68,2.2,NA,1.53333333333333,NA,0
0.77,4,0.832106038291605,NA,0.793379207736656,1
