"id","simon_famil_rt","simon_famil_correct","alt_famil_rt","alt_famil_correct","digit_famil_correct","simon_main_rt","simon_main_correct","alt_main_rt","alt_main_correct","digit_main_correct","commit_to_answer","aerobic_per_week","any_exercise_per_week","resistance_per_week","previous_knowledge","attention_check","age","sex","sex_quant","belief_type","score"
70,515.5625,8,1043.55,5,3,517.0625,23,1522.929167,24,6,1,1,2,1,1,4,46,"Female",2,"walking_belief",1
78,585.925,8,1163.5875,7,4,493.5,23,2013.666667,23,5,1,6,8,4,1,4,50,"Female",1,"lectures_belief",2
30,1450.1575,8,1877.375,7,4,648.8458333,24,1503.466667,24,4,1,8,1,1,1,4,58,"Female",1,"resistance_belief",3
88,652.25,7,1374.525,7,4,694.4583333,23,1935.333333,24,4,1,1,3,1,2,4,52,"Female",2,"walking_belief",1
33,616.9375,7,2175,8,4,594.411375,23,1512.091667,24,7,1,8,1,2,2,4,52,"Female",1,"stretch_balance_belief",1
157,1314.25,8,1079.5375,6,4,585.7833334,24,1733.620833,15,7,1,4,1,1,2,4,42,"Male",2,"stretch_balance_belief",2
191,546.5375,8,1374.525,6,4,472.9541667,23,1245.508333,21,5,1,7,3,2,2,4,56,"Male",1,"resistance_belief",2
173,719.0375,8,1113.6,5,4,479.5958333,24,1595.733333,24,6,1,1,1,1,2,4,41,"Female",1,"relaxation_belief",2
111,582.25,8,3580.5,8,4,613.35,22,1308.654167,22,5,1,3,1,2,2,4,51,"Male",2,"resistance_belief",4
101,515.5625,8,1515.5,8,4,594.411375,24,1325.625,20,5,1,1,1,3,2,4,50,"Female",2,"resistance_belief",2
119,662.25,8,1837.375,8,4,621.2,21,1003.0875,16,4,1,1,2,1,2,4,52,"Male",2,"stretch_balance_belief",1
169,594.1875,8,1131.775,8,4,535.25,24,1319.916667,13,6,1,1,1,1,2,4,46,"Female",1,"walking_belief",2
186,592.625,7,1953.075,3,4,557.7375,24,953.9208333,21,5,1,4,1,1,2,4,44,"Male",1,"stretch_balance_belief",1
159,454.3875,8,1851.1,6,4,516.1291667,10,1245.508333,12,6,1,1,1,3,1,4,47,"Female",2,"walking_belief",3
58,585.625,8,1704.225,4,4,460.75,22,1987.079167,16,4,1,6,1,1,2,4,59,"Female",2,"relaxation_belief",1
170,774.2125,8,1821.2375,4,4,545.3083333,23,1191.475,15,5,1,4,1,1,2,4,45,"Female",2,"stretch_balance_belief",2
