"id","simon_famil_rt","simon_famil_correct","alt_famil_rt","alt_famil_correct","digit_famil_correct","simon_main_rt","simon_main_correct","alt_main_rt","alt_main_correct","digit_main_correct","commit_to_answer","aerobic_per_week","any_exercise_per_week","resistance_per_week","previous_knowledge","attention_check","age","sex","sex_quant","belief_type","score"
70,564,8,1744.875,5,3,487.5416667,22,2514.791667,20,7,1,1,1,1,2,4,41,"Male",1,"stretch_balance_belief",1
78,498.5875,8,1477.3125,8,4,502.1291667,23,832.8083334,24,5,1,3,3,1,2,4,49,"Male",1,"stretch_balance_belief",2
30,745.15,8,1079.5375,6,4,569.8125,24,1059.641667,24,6,1,6,1,6,1,4,43,"Male",1,"lectures_belief",1
88,485.85,8,1856.6375,8,4,521.4041667,24,1557.595833,23,6,1,1,1,1,2,4,42,"Male",1,"resistance_belief",1
33,561.5,8,2221.5375,6,4,576.3041667,24,1010.541667,24,6,1,4,1,1,2,4,46,"Female",2,"walking_belief",1
157,823.154375,7,1240.8375,4,4,638.5791667,24,1004.3875,13,3,1,1,1,1,2,4,54,"Male",1,"relaxation_belief",4
191,785.225,4,1715.575,6,4,560.3833333,23,869.3541667,23,7,1,3,4,4,1,4,46,"Male",1,"relaxation_belief",4
173,683.875,8,1704.225,8,4,688.1625,24,1033.4625,23,6,1,2,2,1,2,4,55,"Male",1,"yoga_taichi_belief",1
111,529.85,8,3054.5375,8,4,430.2583333,24,1419.520833,24,7,1,4,1,2,2,4,55,"Female",2,"lectures_belief",2
101,449.725,7,705.7,7,2,397.35,23,481.8166667,18,5,1,8,3,1,1,4,47,"Female",2,"relaxation_belief",2
119,678.3124999,8,1953.075,8,4,568.3291666,24,1005.925,24,6,1,3,1,1,2,4,51,"Male",1,"stretch_balance_belief",1
169,829.5375,8,860.75,6,4,644.0833333,24,860.3625,16,4,1,5,1,1,2,4,45,"Female",2,"walking_belief",4
186,527.675,8,1281.5125,6,4,555.65,24,1113.483333,24,5,1,1,1,1,2,4,41,"Female",2,"lectures_belief",2
159,455.525,8,1889.7125,4,4,450.5291667,24,1307.975,17,4,1,1,1,1,2,4,48,"Female",2,"lectures_belief",1
58,711.875,8,1553.3875,8,4,630.1875,24,1225.1875,24,5,1,3,2,1,2,4,49,"Female",2,"yoga_taichi_belief",4
170,774.3124995,8,2064.925,3,4,751.9541663,21,1599.891667,14,5,1,1,3,1,2,4,53,"Female",2,"walking_belief",2
140,708.216375,7,1692.4375,5,4,621.5333333,23,1630.825,18,7,1,1,1,1,2,4,44,"Female",2,"yoga_taichi_belief",1
5,556.4125,8,943.4625,7,4,466.0833333,24,946.9916667,18,5,1,1,1,1,2,4,44,"Female",2,"relaxation_belief",3
87,827.195625,5,2112.075,3,3,556.5583333,21,1123.808333,9,2,1,4,4,1,2,4,51,"Female",2,"walking_belief",2
36,629.15,8,1510.675,3,4,563.9,24,1668.183333,19,4,1,3,2,2,2,4,50,"Female",2,"stretch_balance_belief",2
156,581.8,7,2075.075,8,4,613.35,23,1019.533333,24,7,1,8,1,2,2,4,55,"Female",2,"relaxation_belief",2
99,616.9375,8,2181.2375,7,4,491.4,24,1321.429167,23,6,1,8,6,8,2,4,54,"Female",2,"lectures_belief",1
93,560.0625,8,1043.7875,6,4,478.6916667,24,831.6666667,18,5,1,6,1,1,2,4,53,"Male",1,"walking_belief",2
63,540.35,8,1608.05,8,4,541.2041667,24,1496.4125,24,7,1,7,5,6,1,4,51,"Male",1,"stretch_balance_belief",1
141,631.1375,8,3567.3875,6,4,557.7375,23,1832.820833,24,6,1,4,1,3,2,4,45,"Female",2,"resistance_belief",1
195,709.8,8,1681.7875,5,4,664.1942083,21,903.3458333,18,5,1,1,3,1,2,4,58,"Female",2,"walking_belief",1
91,453.3375,8,1389.2875,8,4,455.8541667,22,884.9,24,6,1,1,1,1,2,4,53,"Female",2,"resistance_belief",1
82,896.470875,7,3406.9,7,3,678.9083333,24,1725.645833,24,4,1,3,1,1,2,4,54,"Female",2,"resistance_belief",1
151,815.3875,8,2111.525,3,4,578.6666667,22,947.6166667,20,6,1,4,1,2,2,4,58,"Male",1,"lectures_belief",1
157,823.154375,7,1240.8375,4,4,638.5791667,24,1004.3875,13,3,1,1,1,1,2,4,54,"Male",1,"stretch_balance_belief",4
175,549.2,8,4002.075,8,4,525.0708333,24,2293.020833,20,7,1,4,1,1,2,4,54,"Male",1,"walking_belief",2
154,478.625,8,1302.125,5,4,535.0416667,24,1157.416667,24,4,1,1,1,1,1,4,44,"Male",1,"lectures_belief",2
160,1314.25,2,1369.375,4,3,718.875,20,1098.75,7,5,1,6,1,1,1,4,44,"Female",2,"relaxation_belief",3
52,904.8375001,8,2483.3125,8,3,617.7958333,24,1441.2875,24,4,1,8,1,8,2,4,46,"Female",2,"walking_belief",1
194,1450.1575,1,4825.125,5,4,1314.315833,4,1325.625,14,6,1,2,1,1,2,4,51,"Male",1,"stretch_balance_belief",1
28,462.6,7,1139.2625,7,4,464.8166667,21,615.2375,18,6,1,6,1,5,2,4,40,"Male",1,"resistance_belief",1
37,709.5,8,1837.375,4,4,631.5,24,1586.875,22,5,1,4,3,2,1,4,43,"Female",2,"stretch_balance_belief",3
97,609.07575,6,523.9875,7,4,522.3916667,24,1089.175,16,6,1,6,6,3,2,4,45,"Female",2,"lectures_belief",2
12,545.375,8,2432.375,7,3,617.3333333,23,1242.416667,24,6,1,2,4,1,1,4,43,"Female",2,"yoga_taichi_belief",4
98,572.9125,8,2426.225,8,4,612.325,23,1544.825,24,5,1,3,1,1,1,4,50,"Female",2,"yoga_taichi_belief",4
24,440.0625,8,2480.3125,8,4,485.2416667,23,1161.429167,24,5,1,3,1,1,2,4,51,"Male",1,"walking_belief",3
121,675.725,8,573.5625,7,4,516.1291667,23,603.8833333,18,6,1,1,2,1,1,4,56,"Female",2,"relaxation_belief",2
144,507.9375,8,1262.2125,8,4,493.2625,24,1003.0875,24,6,1,8,4,4,2,4,48,"Male",1,"stretch_balance_belief",1
26,558.8875,7,1378.15,5,4,476.7625,23,1044.675,21,5,1,5,2,1,1,4,47,"Male",1,"walking_belief",1
49,599.5375,8,972.5125,7,4,482.2791667,24,1506.316667,15,4,1,2,3,1,2,4,42,"Female",2,"yoga_taichi_belief",3
47,574.8625,7,3934.3875,7,3,585.6791667,24,1305.2625,15,3,1,4,3,3,2,4,45,"Male",1,"stretch_balance_belief",4
7,550.7625,8,1600.85,6,4,483.5708333,23,1688.908333,22,7,1,5,1,1,1,4,49,"Female",2,"lectures_belief",2
72,511.0125,8,1106.375,8,4,416.475,23,942.625,23,6,1,8,4,2,1,4,52,"Male",1,"lectures_belief",3
15,595.45,8,1971.3,8,4,554.2708333,24,1308.633333,24,7,1,4,1,1,2,4,47,"Male",1,"yoga_taichi_belief",3
53,594.1875,8,2070.225,7,4,484.2791667,24,1057.5375,24,6,1,3,2,4,1,4,50,"Male",1,"resistance_belief",1
88,485.85,8,1856.6375,8,4,521.4041667,24,1557.595833,23,6,1,1,1,1,2,4,42,"Male",1,"yoga_taichi_belief",2
190,639.425,8,1586.6625,8,4,574.9875,24,1171.254167,24,7,1,3,1,1,2,4,49,"Male",1,"yoga_taichi_belief",2
129,828.375,6,2962.75,7,4,677.4166667,23,1878.75,22,4,1,2,3,1,1,4,43,"Female",2,"yoga_taichi_belief",3
125,442.75,7,1847.625,6,3,447.5833333,24,1219.208333,22,6,1,3,1,1,2,4,42,"Male",1,"walking_belief",1
76,1115.5025,6,3825.25,8,4,713.2083333,23,1891.375,23,5,1,3,2,3,2,4,44,"Female",2,"yoga_taichi_belief",3
100,848.35,6,2175,8,4,594.411375,22,1652.395833,24,6,1,1,1,1,2,4,54,"Male",1,"resistance_belief",1
178,581.8375,8,1604.675,8,4,503.2916667,24,886.1958333,24,5,1,1,1,1,2,4,40,"Female",2,"stretch_balance_belief",1
198,623.2625,8,1682.75,7,4,487.3,24,1026.225,19,6,1,2,1,1,2,4,44,"Male",1,"stretch_balance_belief",1
126,680.0125,8,1104.2125,7,4,683.6958333,23,1517.8625,18,4,1,3,1,1,1,4,58,"Male",1,"relaxation_belief",3
63,540.35,8,1608.05,8,4,541.2041667,24,1496.4125,24,7,1,7,5,6,1,4,51,"Male",1,"relaxation_belief",1
6,725.8375,5,693,7,3,453.2291667,22,651.9958333,12,6,1,2,2,1,2,4,50,"Female",2,"resistance_belief",1
86,785.7375,8,1933.6625,8,4,559.7583333,22,1118.525,23,6,1,5,1,1,2,4,52,"Female",2,"yoga_taichi_belief",2
3,613.625,8,1582,6,4,561.0416667,24,1784.166667,18,6,1,1,1,1,1,4,52,"Male",1,"stretch_balance_belief",2
12,545.375,8,2432.375,7,3,617.3333333,23,1242.416667,24,6,1,2,4,1,1,4,43,"Female",2,"walking_belief",4
126,680.0125,8,1104.2125,7,4,683.6958333,23,1517.8625,18,4,1,3,1,1,1,4,58,"Male",1,"lectures_belief",1
69,1149.8685,1,2619.9375,6,3,648.8458333,23,1050.2875,8,3,1,6,6,6,2,4,52,"Female",2,"stretch_balance_belief",3
186,527.675,8,1281.5125,6,4,555.65,24,1113.483333,24,5,1,1,1,1,2,4,41,"Female",2,"walking_belief",1
155,799.5625,8,1913.2625,8,4,669.1166667,24,1503.466667,22,5,1,6,1,1,2,4,51,"Male",1,"resistance_belief",1
168,489.25,8,1022.625,6,4,450.5,24,943.4166667,18,6,1,1,1,1,2,4,50,"Female",2,"resistance_belief",4
90,880.375,7,1885.875,8,4,510.3333333,23,1116.166667,24,7,1,3,2,2,2,4,50,"Female",2,"walking_belief",3
164,636.9,8,1378.2875,5,3,529.3583333,22,974.1375,18,5,1,3,1,3,2,4,40,"Male",1,"lectures_belief",1
49,599.5375,8,972.5125,7,4,482.2791667,24,1506.316667,15,4,1,2,3,1,2,4,42,"Female",2,"walking_belief",3
112,680.660375,6,1416.1125,8,4,556.5625,24,998.3041667,22,6,1,6,6,2,2,4,41,"Male",1,"lectures_belief",2
21,796.5625,7,3798.35,7,2,705.8708333,24,1733.454167,23,5,1,2,2,1,2,4,50,"Female",2,"stretch_balance_belief",1
189,748.059875,5,1284.6625,6,4,657.3639167,19,1078.633333,23,6,1,5,6,1,2,4,55,"Male",1,"yoga_taichi_belief",2
197,629.5125,8,1412.475,6,4,546.7916667,23,1075.0125,19,5,1,4,1,4,2,4,50,"Male",1,"yoga_taichi_belief",2
182,655.2,8,2196.0125,3,4,1042.611417,10,1522.929167,21,5,1,1,1,1,2,4,58,"Male",1,"relaxation_belief",2
80,613.3375,8,1477.6125,7,4,561.6708333,24,1363.895833,17,4,1,2,1,3,2,4,47,"Male",1,"yoga_taichi_belief",3
12,545.375,8,2432.375,7,3,617.3333333,23,1242.416667,24,6,1,2,4,1,1,4,43,"Female",2,"stretch_balance_belief",3
169,829.5375,8,860.75,6,4,644.0833333,24,860.3625,16,4,1,5,1,1,2,4,45,"Female",2,"yoga_taichi_belief",4
185,655.8875,8,2201.025,4,4,537.1166667,24,1168.8125,20,4,1,8,6,3,2,4,44,"Female",2,"lectures_belief",1
28,462.6,7,1139.2625,7,4,464.8166667,21,615.2375,18,6,1,6,1,5,2,4,40,"Male",1,"walking_belief",1
180,591.6875,8,988.275,8,4,497.4583333,23,942.1416667,21,5,1,3,1,1,2,4,54,"Male",1,"stretch_balance_belief",1
183,808.1375,7,3708.175,6,4,648.075,24,1573.025,17,5,1,3,5,2,2,4,55,"Male",1,"yoga_taichi_belief",3
201,809.78,6,2592.9125,7,4,506.4666667,24,1987.079167,22,2,1,8,1,1,1,4,48,"Male",1,"relaxation_belief",2
40,645.375,8,1539,5,4,562.2083333,23,1081.375,23,5,1,6,4,1,2,4,52,"Female",2,"relaxation_belief",2
102,604.875,6,940.5,7,4,585.375,23,832.2916667,17,4,1,3,3,1,2,4,46,"Female",2,"resistance_belief",3
55,662.25,7,2073,7,4,617.7083333,24,1346.333333,7,5,1,3,1,4,1,4,47,"Male",1,"yoga_taichi_belief",2
121,675.725,8,573.5625,7,4,516.1291667,23,603.8833333,18,6,1,1,2,1,1,4,56,"Female",2,"yoga_taichi_belief",2
22,834.6625,8,1912.9375,8,4,682.0833333,22,1435.175,24,7,1,4,1,1,2,4,51,"Female",2,"stretch_balance_belief",2
36,629.15,8,1510.675,3,4,563.9,24,1668.183333,19,4,1,3,2,2,2,4,50,"Female",2,"relaxation_belief",2
115,685.1875,8,1921.2875,8,4,578.8958333,23,1417.683333,23,5,1,8,1,1,2,4,55,"Male",1,"relaxation_belief",2
136,499.6375,8,1491.1375,8,3,493.1375,24,1279.566667,23,3,1,1,1,1,2,4,46,"Male",1,"resistance_belief",1
156,581.8,7,2075.075,8,4,613.35,23,1019.533333,24,7,1,8,1,2,2,4,55,"Female",2,"stretch_balance_belief",1
147,712.875,7,1079.625,6,4,535.25,23,1180.583333,15,7,1,6,2,4,1,4,58,"Female",2,"relaxation_belief",4
41,497.5375,8,1969.85,8,4,501.45,22,1380.566667,24,7,1,6,1,1,1,4,46,"Male",1,"walking_belief",1
142,613.65,8,2474.2375,7,4,570.0083333,24,2259.445833,19,6,1,3,2,1,2,4,55,"Female",2,"stretch_balance_belief",1
190,639.425,8,1586.6625,8,4,574.9875,24,1171.254167,24,7,1,3,1,1,2,4,49,"Male",1,"walking_belief",2
164,636.9,8,1378.2875,5,3,529.3583333,22,974.1375,18,5,1,3,1,3,2,4,40,"Male",1,"lectures_belief",1
104,609.4624999,8,1415.4875,7,4,558.6333333,24,1169.495833,20,7,1,2,1,1,2,4,45,"Male",1,"stretch_balance_belief",4
80,613.3375,8,1477.6125,7,4,561.6708333,24,1363.895833,17,4,1,2,1,3,2,4,47,"Male",1,"walking_belief",1
26,558.8875,7,1378.15,5,4,476.7625,23,1044.675,21,5,1,5,2,1,1,4,47,"Male",1,"stretch_balance_belief",1
111,529.85,8,3054.5375,8,4,430.2583333,24,1419.520833,24,7,1,4,1,2,2,4,55,"Female",2,"yoga_taichi_belief",4
128,716.2,8,1677.3125,8,4,605.5375,24,1088.325,24,7,1,6,6,1,2,4,43,"Female",2,"lectures_belief",1
27,560.15,8,1113.6,6,4,527.0291667,24,1053.1375,19,4,1,1,1,1,1,4,43,"Male",1,"resistance_belief",2
26,558.8875,7,1378.15,5,4,476.7625,23,1044.675,21,5,1,5,2,1,1,4,47,"Male",1,"lectures_belief",2
71,467.375,7,1163.5875,8,4,501.7083333,24,953.9208333,23,5,1,1,2,1,2,4,49,"Male",1,"yoga_taichi_belief",2
172,752.3625,8,2757.1875,7,4,630.7791667,24,1074.554167,24,5,1,6,5,3,1,4,58,"Female",2,"walking_belief",2
55,662.25,7,2073,7,4,617.7083333,24,1346.333333,7,5,1,3,1,4,1,4,47,"Male",1,"relaxation_belief",2
132,738.7375,8,1778.8875,6,4,554.3541667,24,1329.295833,24,4,1,1,1,1,2,4,58,"Male",1,"walking_belief",1
165,670.4875,8,2943.175,6,4,579.2541667,24,1385.583333,24,6,1,2,1,1,2,4,42,"Female",2,"stretch_balance_belief",2
7,550.7625,8,1600.85,6,4,483.5708333,23,1688.908333,22,7,1,5,1,1,1,4,49,"Female",2,"walking_belief",3
