"id","simon_famil_rt","simon_famil_correct","alt_famil_rt","alt_famil_correct","digit_famil_correct","simon_main_rt","simon_main_correct","alt_main_rt","alt_main_correct","digit_main_correct","commit_to_answer","aerobic_per_week","any_exercise_per_week","resistance_per_week","previous_knowledge","attention_check","age","sex","sex_quant","belief_type","score"
40,645.375,8,1510.675,3,4,881.1640833,21,1609.679167,22,5,1,8,1,5,2,4,45,"Female",2,"relaxation_belief",2
27,558.8875,7,1328.575,6,4,501.45,23,970.4083333,13,4,1,1,1,1,2,4,54,"Male",1,"resistance_belief",1
79,884.785,5,2117.6625,7,1,627.2083333,22,1198.954167,15,6,1,3,5,1,2,4,52,"Female",2,"resistance_belief",1
168,489.25,8,1143.1125,6,4,456.9166667,24,772.3,24,7,1,1,3,1,2,4,40,"Female",2,"relaxation_belief",4
135,592.3874999,8,2305.1875,7,4,626.6541667,24,1735.054167,19,4,1,8,5,1,2,4,51,"Male",1,"lectures_belief",2
197,623.2625,8,1682.75,7,4,487.3,23,1026.225,19,6,1,2,1,1,2,4,50,"Male",1,"resistance_belief",1
189,639.425,8,1586.6625,8,4,574.9875,24,1171.254167,24,7,1,3,1,1,2,4,49,"Male",1,"relaxation_belief",2
156,799.5625,8,1441.2125,8,4,669.1166667,24,1169.495833,22,5,1,3,2,3,1,4,48,"Female",2,"resistance_belief",2
159,455.525,8,1889.7125,4,4,450.5291667,24,1307.975,17,4,1,1,1,1,2,4,48,"Female",2,"stretch_balance_belief",1
19,695.2,8,1079.5375,4,4,621.2,24,1004.3875,14,3,1,2,1,1,2,4,54,"Male",1,"stretch_balance_belief",2
48,606.275,7,2447.2125,8,4,585.6791667,24,1544.825,24,6,1,4,1,1,2,4,45,"Male",1,"yoga_taichi_belief",3
81,613.3375,8,1477.6125,7,4,561.6708333,24,1363.895833,17,5,1,2,1,3,2,4,47,"Male",1,"stretch_balance_belief",1
3,788.2625,8,2430.15,6,4,544.8333333,24,2720.191667,17,6,1,1,1,1,1,4,58,"Male",1,"resistance_belief",2
1,1167.619125,3,1324.4125,5,4,710.3875,24,1124.508333,14,5,1,6,2,1,2,4,59,"Female",2,"relaxation_belief",4
189,748.059875,5,1284.6625,6,4,664.1942083,19,1093.358333,23,6,1,5,6,1,2,4,55,"Male",1,"yoga_taichi_belief",5
133,741.75,8,1778.8875,6,4,554.3541667,24,1566.625,24,5,1,5,1,1,2,4,42,"Female",2,"resistance_belief",1
80,623.875,8,1452.9375,5,4,484.9833333,23,1127.216667,21,6,1,6,1,1,1,4,43,"Female",2,"yoga_taichi_belief",3
110,918.355125,6,1554.125,7,3,617.7958333,24,1225.1875,18,5,1,6,6,8,2,4,49,"Female",2,"relaxation_belief",1
161,745.960625,5,1546.8625,4,4,576.2125,11,1031.291667,8,2,1,1,1,2,2,4,52,"Male",1,"relaxation_belief",2
28,462.6,7,1163.5875,7,4,464.8166667,21,615.2375,18,6,1,6,1,4,2,4,40,"Male",1,"walking_belief",1
108,703.25,8,2771.75,7,4,694.4583333,24,2636.958333,24,7,1,2,1,1,2,4,52,"Male",1,"lectures_belief",1
37,629.15,8,1510.675,3,4,563.9,24,1595.733333,17,4,1,3,2,2,2,4,40,"Female",2,"walking_belief",2
78,498.5875,8,1491.1375,8,4,502.1291667,23,1951.25,23,7,1,8,4,8,1,4,44,"Male",1,"walking_belief",3
149,525.275,8,2082.9625,8,2,449.6708333,24,1396.55,23,7,1,5,7,1,2,4,49,"Female",2,"lectures_belief",1
11,793.5375,8,1397.3125,7,4,608.726125,22,1284.279167,21,4,1,3,2,2,2,4,50,"Male",1,"relaxation_belief",4
